NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OGDHL	oxoglutarate dehydrogenase L [Source:HGNC Symbol;Acc:HGNC:25590]	6	0.34121257066726685	0.02227807	Yes	
row_1	NEFH	neurofilament heavy chain [Source:HGNC Symbol;Acc:HGNC:7737]	15	0.3262341022491455	0.043443397	Yes	
row_2	TMOD1	tropomodulin 1 [Source:HGNC Symbol;Acc:HGNC:11871]	43	0.29242178797721863	0.061234187	Yes	
row_3	A2M	alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]	122	0.2695343494415283	0.07446951	Yes	
row_4	NSF	N-ethylmaleimide sensitive factor, vesicle fusing ATPase [Source:HGNC Symbol;Acc:HGNC:8016]	217	0.2515436112880707	0.08555852	Yes	
row_5	PEG3	paternally expressed 3 [Source:HGNC Symbol;Acc:HGNC:8826]	265	0.24610526859760284	0.09908572	Yes	
row_6	TMT1A	thiol methyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:24550]	301	0.24231690168380737	0.11307623	Yes	
row_7	SOCS2	suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]	311	0.24148982763290405	0.12856023	Yes	
row_8	PDCD4	programmed cell death 4 [Source:HGNC Symbol;Acc:HGNC:8763]	374	0.2360946238040924	0.14053006	Yes	
row_9	PNMA8A	PNMA family member 8A [Source:HGNC Symbol;Acc:HGNC:25578]	501	0.22607068717479706	0.14802358	Yes	
row_10	CDH10	cadherin 10 [Source:HGNC Symbol;Acc:HGNC:1749]	508	0.22566074132919312	0.16263616	Yes	
row_11	CHL1	cell adhesion molecule L1 like [Source:HGNC Symbol;Acc:HGNC:1939]	521	0.2246352583169937	0.1768234	Yes	
row_12	TSFM	Ts translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12367]	576	0.22047731280326843	0.18823363	Yes	
row_13	DIRAS3	DIRAS family GTPase 3 [Source:HGNC Symbol;Acc:HGNC:687]	601	0.21887274086475372	0.20132397	Yes	
row_14	SELENOP	selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]	759	0.20905174314975739	0.20584238	Yes	
row_15	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	769	0.20832575857639313	0.21912633	Yes	
row_16	LEPR	leptin receptor [Source:HGNC Symbol;Acc:HGNC:6554]	843	0.20322084426879883	0.22826031	Yes	
row_17	PEX11A	peroxisomal biogenesis factor 11 alpha [Source:HGNC Symbol;Acc:HGNC:8852]	872	0.20140168070793152	0.23995344	Yes	
row_18	API5	apoptosis inhibitor 5 [Source:HGNC Symbol;Acc:HGNC:594]	889	0.2005251795053482	0.25230306	Yes	
row_19	PDE5A	phosphodiesterase 5A [Source:HGNC Symbol;Acc:HGNC:8784]	891	0.2005038559436798	0.26554456	Yes	
row_20	SLC17A6	solute carrier family 17 member 6 [Source:HGNC Symbol;Acc:HGNC:16703]	1058	0.19040535390377045	0.26829	Yes	
row_21	COL14A1	collagen type XIV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2191]	1131	0.18707622587680817	0.27641255	Yes	
row_22	PIGN	phosphatidylinositol glycan anchor biosynthesis class N [Source:HGNC Symbol;Acc:HGNC:8967]	1149	0.18616296350955963	0.28774983	Yes	
row_23	PRDX2	peroxiredoxin 2 [Source:HGNC Symbol;Acc:HGNC:9353]	1382	0.1748197227716446	0.28553095	Yes	
row_24	GAS2	growth arrest specific 2 [Source:HGNC Symbol;Acc:HGNC:4167]	1387	0.17468571662902832	0.29688105	Yes	
row_25	TCEAL2	transcription elongation factor A like 2 [Source:HGNC Symbol;Acc:HGNC:29818]	1813	0.1574125736951828	0.28201383	Yes	
row_26	KLHL2	kelch like family member 2 [Source:HGNC Symbol;Acc:HGNC:6353]	1909	0.15423324704170227	0.2865879	Yes	
row_27	REEP2	receptor accessory protein 2 [Source:HGNC Symbol;Acc:HGNC:17975]	1960	0.15246190130710602	0.29372433	Yes	
row_28	SERPINI1	serpin family I member 1 [Source:HGNC Symbol;Acc:HGNC:8943]	2307	0.14135614037513733	0.28249657	Yes	
row_29	GAS7	growth arrest specific 7 [Source:HGNC Symbol;Acc:HGNC:4169]	2508	0.1355680376291275	0.27957946	Yes	
row_30	ERCC4	ERCC excision repair 4, endonuclease catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3436]	2534	0.13492123782634735	0.28704107	Yes	
row_31	PCSK1	proprotein convertase subtilisin/kexin type 1 [Source:HGNC Symbol;Acc:HGNC:8743]	2645	0.13188424706459045	0.2892393	Yes	
row_32	NUDT9	nudix hydrolase 9 [Source:HGNC Symbol;Acc:HGNC:8056]	2726	0.12978538870811462	0.2930848	Yes	
row_33	CNMD	chondromodulin [Source:HGNC Symbol;Acc:HGNC:17005]	2874	0.12518423795700073	0.2926351	Yes	
row_34	ITGA7	integrin subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:6143]	2900	0.12434761971235275	0.2993953	Yes	
row_35	ACOX2	acyl-CoA oxidase 2 [Source:HGNC Symbol;Acc:HGNC:120]	2905	0.12421376258134842	0.3073972	Yes	
row_36	PDE3A	phosphodiesterase 3A [Source:HGNC Symbol;Acc:HGNC:8778]	3008	0.1218537911772728	0.30940643	Yes	
row_37	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	3118	0.11899785697460175	0.3108093	Yes	
row_38	RBP4	retinol binding protein 4 [Source:HGNC Symbol;Acc:HGNC:9922]	3127	0.1187327429652214	0.3182094	Yes	
row_39	GPR88	G protein-coupled receptor 88 [Source:HGNC Symbol;Acc:HGNC:4539]	3312	0.11406457424163818	0.31481862	Yes	
row_40	CREM	cAMP responsive element modulator [Source:HGNC Symbol;Acc:HGNC:2352]	3426	0.11139436066150665	0.31547892	Yes	
row_41	KCNJ16	potassium inwardly rectifying channel subfamily J member 16 [Source:HGNC Symbol;Acc:HGNC:6262]	3436	0.11125975847244263	0.3223237	Yes	
row_42	ETFB	electron transfer flavoprotein subunit beta [Source:HGNC Symbol;Acc:HGNC:3482]	3688	0.10579956322908401	0.31439465	No	
row_43	SLC4A4	solute carrier family 4 member 4 [Source:HGNC Symbol;Acc:HGNC:11030]	3837	0.10246157646179199	0.31237805	No	
row_44	ID4	inhibitor of DNA binding 4 [Source:HGNC Symbol;Acc:HGNC:5363]	4094	0.09615221619606018	0.30351123	No	
row_45	PPARGC1A	PPARG coactivator 1 alpha [Source:HGNC Symbol;Acc:HGNC:9237]	4218	0.09338166564702988	0.30238107	No	
row_46	DOK5	docking protein 5 [Source:HGNC Symbol;Acc:HGNC:16173]	4282	0.09214433282613754	0.30474198	No	
row_47	PCDH8	protocadherin 8 [Source:HGNC Symbol;Acc:HGNC:8660]	4303	0.09154747426509857	0.30962402	No	
row_48	PCP4	Purkinje cell protein 4 [Source:HGNC Symbol;Acc:HGNC:8742]	4413	0.08942853659391403	0.30906534	No	
