NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GADD45G	growth arrest and DNA damage inducible gamma [Source:HGNC Symbol;Acc:HGNC:4097]	2227	0.14356666803359985	-0.09236552	No	
row_1	PPFIA3	PTPRF interacting protein alpha 3 [Source:HGNC Symbol;Acc:HGNC:9247]	2514	0.13548791408538818	-0.0720521	No	
row_2	EPHX2	epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402]	3343	0.11329243332147598	-0.089924164	No	
row_3	ABCB1	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]	3566	0.10822919756174088	-0.07331518	No	
row_4	KRT13	keratin 13 [Source:HGNC Symbol;Acc:HGNC:6415]	4088	0.09627737104892731	-0.07769121	No	
row_5	NOS1	nitric oxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:7872]	4236	0.09299750626087189	-0.06082948	No	
row_6	SLC6A3	solute carrier family 6 member 3 [Source:HGNC Symbol;Acc:HGNC:11049]	4356	0.0905846655368805	-0.042973507	No	
row_7	PYHIN1	pyrin and HIN domain family member 1 [Source:HGNC Symbol;Acc:HGNC:28894]	4777	0.08144111931324005	-0.045448985	No	
row_8	CCR8	C-C motif chemokine receptor 8 [Source:HGNC Symbol;Acc:HGNC:1609]	5285	0.0709947943687439	-0.055946056	No	
row_9	CDH16	cadherin 16 [Source:HGNC Symbol;Acc:HGNC:1755]	5984	0.05751311033964157	-0.08145549	No	
row_10	KIF25	kinesin family member 25 [Source:HGNC Symbol;Acc:HGNC:6390]	7003	0.03908519819378853	-0.13097322	No	
row_11	ATP6V1B1	ATPase H+ transporting V1 subunit B1 [Source:HGNC Symbol;Acc:HGNC:853]	7798	0.02564862184226513	-0.17092454	No	
row_12	KRT4	keratin 4 [Source:HGNC Symbol;Acc:HGNC:6441]	8283	0.017276965081691742	-0.19482629	No	
row_13	CGREF1	cell growth regulator with EF-hand domain 1 [Source:HGNC Symbol;Acc:HGNC:16962]	8375	0.015618639066815376	-0.19591981	No	
row_14	TUBAL3	tubulin alpha like 3 [Source:HGNC Symbol;Acc:HGNC:23534]	9482	-0.003699707565829158	-0.26037374	No	
row_15	SDS	serine dehydratase [Source:HGNC Symbol;Acc:HGNC:10691]	9626	-0.006324450485408306	-0.26710027	No	
row_16	HYAL4	hyaluronidase 4 [Source:HGNC Symbol;Acc:HGNC:5323]	9742	-0.008287748321890831	-0.27162966	No	
row_17	THRB	thyroid hormone receptor beta [Source:HGNC Symbol;Acc:HGNC:11799]	10572	-0.023230941966176033	-0.31431744	No	
row_18	IGF2-AS	IGF2 antisense RNA [Source:HGNC Symbol;Acc:HGNC:14062]	10615	-0.02396746352314949	-0.31021538	No	
row_19	TRPM2	transient receptor potential cation channel subfamily M member 2 [Source:HGNC Symbol;Acc:HGNC:12339]	10740	-0.026183022186160088	-0.3103584	No	
row_20	PSORS1C1	psoriasis susceptibility 1 candidate 1 [Source:HGNC Symbol;Acc:HGNC:17202]	11383	-0.03816067799925804	-0.33787253	No	
row_21	SPRR3	small proline rich protein 3 [Source:HGNC Symbol;Acc:HGNC:11268]	11909	-0.0484800823032856	-0.35562408	No	
row_22	TAS2R4	taste 2 receptor member 4 [Source:HGNC Symbol;Acc:HGNC:14911]	12380	-0.057475075125694275	-0.36764723	Yes	
row_23	MX2	MX dynamin like GTPase 2 [Source:HGNC Symbol;Acc:HGNC:7533]	12662	-0.06412330269813538	-0.36665487	Yes	
row_24	NCR3	natural cytotoxicity triggering receptor 3 [Source:HGNC Symbol;Acc:HGNC:19077]	12719	-0.06512467563152313	-0.3520681	Yes	
row_25	PTPRCAP	protein tyrosine phosphatase receptor type C associated protein [Source:HGNC Symbol;Acc:HGNC:9667]	12789	-0.0663600042462349	-0.33791128	Yes	
