NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APOD	apolipoprotein D [Source:HGNC Symbol;Acc:HGNC:612]	18	0.3189205527305603	0.0099391965	Yes	
row_1	KIF5C	kinesin family member 5C [Source:HGNC Symbol;Acc:HGNC:6325]	36	0.297811895608902	0.019209074	Yes	
row_2	ASTN1	astrotactin 1 [Source:HGNC Symbol;Acc:HGNC:773]	57	0.2878965139389038	0.02795667	Yes	
row_3	FGF9	fibroblast growth factor 9 [Source:HGNC Symbol;Acc:HGNC:3687]	69	0.282550185918808	0.03705878	Yes	
row_4	KIF5A	kinesin family member 5A [Source:HGNC Symbol;Acc:HGNC:6323]	76	0.2802208960056305	0.046379987	Yes	
row_5	RTN1	reticulon 1 [Source:HGNC Symbol;Acc:HGNC:10467]	85	0.27838364243507385	0.055517897	Yes	
row_6	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A [Source:HGNC Symbol;Acc:HGNC:4585]	101	0.2740074396133423	0.06408524	Yes	
row_7	SLC6A15	solute carrier family 6 member 15 [Source:HGNC Symbol;Acc:HGNC:13621]	121	0.26987147331237793	0.072270036	Yes	
row_8	A2M	alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]	122	0.2695343494415283	0.08158153	Yes	
row_9	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	123	0.26943832635879517	0.090889715	Yes	
row_10	RCAN2	regulator of calcineurin 2 [Source:HGNC Symbol;Acc:HGNC:3041]	147	0.2637556493282318	0.09862359	Yes	
row_11	KIT	KIT proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6342]	159	0.2616305947303772	0.107002996	Yes	
row_12	TAPT1	transmembrane anterior posterior transformation 1 [Source:HGNC Symbol;Acc:HGNC:26887]	160	0.2614469826221466	0.116035104	Yes	
row_13	BEX1	brain expressed X-linked 1 [Source:HGNC Symbol;Acc:HGNC:1036]	162	0.26066386699676514	0.12498024	Yes	
row_14	CHGB	chromogranin B [Source:HGNC Symbol;Acc:HGNC:1930]	181	0.2570303678512573	0.13278134	Yes	
row_15	TAGLN3	transgelin 3 [Source:HGNC Symbol;Acc:HGNC:29868]	204	0.25328996777534485	0.14021358	Yes	
row_16	NRCAM	neuronal cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:7994]	219	0.2514428198337555	0.14806129	Yes	
row_17	KCNC1	potassium voltage-gated channel subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:6233]	253	0.24819166958332062	0.15465836	Yes	
row_18	SNAP91	synaptosome associated protein 91 [Source:HGNC Symbol;Acc:HGNC:14986]	262	0.24688957631587982	0.16270825	Yes	
row_19	PEG3	paternally expressed 3 [Source:HGNC Symbol;Acc:HGNC:8826]	265	0.24610526859760284	0.17109053	Yes	
row_20	SCG5	secretogranin V [Source:HGNC Symbol;Acc:HGNC:10816]	297	0.24265232682228088	0.17761606	Yes	
row_21	SCG3	secretogranin III [Source:HGNC Symbol;Acc:HGNC:13707]	316	0.24081315100193024	0.1848569	Yes	
row_22	NAP1L2	nucleosome assembly protein 1 like 2 [Source:HGNC Symbol;Acc:HGNC:7638]	423	0.23162314295768738	0.18650797	Yes	
row_23	KCNA5	potassium voltage-gated channel subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:6224]	444	0.2302148938179016	0.19326288	Yes	
row_24	ANKRD34C	ankyrin repeat domain 34C [Source:HGNC Symbol;Acc:HGNC:33888]	460	0.22911337018013	0.20027927	Yes	
row_25	ST18	ST18 C2H2C-type zinc finger transcription factor [Source:HGNC Symbol;Acc:HGNC:18695]	478	0.22789661586284637	0.20713381	Yes	
row_26	RELN	reelin [Source:HGNC Symbol;Acc:HGNC:9957]	488	0.22693873941898346	0.21443456	Yes	
row_27	ERC2	ELKS/RAB6-interacting/CAST family member 2 [Source:HGNC Symbol;Acc:HGNC:31922]	491	0.22678259015083313	0.2221493	Yes	
row_28	NOL4	nucleolar protein 4 [Source:HGNC Symbol;Acc:HGNC:7870]	509	0.22550033032894135	0.22892106	Yes	
row_29	NME5	NME/NM23 family member 5 [Source:HGNC Symbol;Acc:HGNC:7853]	513	0.2251240611076355	0.23651859	Yes	
row_30	MGAT4A	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A [Source:HGNC Symbol;Acc:HGNC:7047]	524	0.22449032962322235	0.24367484	Yes	
row_31	LINC01140	long intergenic non-protein coding RNA 1140 [Source:HGNC Symbol;Acc:HGNC:27922]	529	0.22407333552837372	0.25117618	Yes	
row_32	CTNNA2	catenin alpha 2 [Source:HGNC Symbol;Acc:HGNC:2510]	583	0.21980828046798706	0.25559443	Yes	
row_33	LIMCH1	LIM and calponin homology domains 1 [Source:HGNC Symbol;Acc:HGNC:29191]	605	0.21877241134643555	0.2618941	Yes	
row_34	KCNK3	potassium two pore domain channel subfamily K member 3 [Source:HGNC Symbol;Acc:HGNC:6278]	635	0.21707366406917572	0.26765582	Yes	
