NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TGFBR3	transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]	134	0.2669481635093689	0.008916278	No	
row_1	MEOX1	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]	184	0.25672203302383423	0.022246668	No	
row_2	SLCO2A1	solute carrier organic anion transporter family member 2A1 [Source:HGNC Symbol;Acc:HGNC:10955]	341	0.23890751600265503	0.028078245	No	
row_3	TEK	TEK receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11724]	450	0.22974719107151031	0.036188222	No	
row_4	C2CD2	C2 calcium dependent domain containing 2 [Source:HGNC Symbol;Acc:HGNC:1266]	924	0.19793230295181274	0.020550663	No	
row_5	SLC1A4	solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942]	995	0.1934632658958435	0.028626919	No	
row_6	KCNN3	potassium calcium-activated channel subfamily N member 3 [Source:HGNC Symbol;Acc:HGNC:6292]	1028	0.19167648255825043	0.038852803	No	
row_7	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	1377	0.17496387660503387	0.02920469	No	
row_8	MT1F	metallothionein 1F [Source:HGNC Symbol;Acc:HGNC:7398]	1465	0.17122623324394226	0.034861285	No	
row_9	LPL	lipoprotein lipase [Source:HGNC Symbol;Acc:HGNC:6677]	1997	0.15098802745342255	0.012798977	No	
row_10	TIE1	tyrosine kinase with immunoglobulin like and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:11809]	2274	0.1423896998167038	0.0053764707	No	
row_11	IL7R	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	2513	0.13548913598060608	-2.2006383E-4	No	
row_12	PAPPA	pappalysin 1 [Source:HGNC Symbol;Acc:HGNC:8602]	2708	0.13015523552894592	-0.0035342008	No	
row_13	VLDLR	very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698]	2869	0.12530365586280823	-0.005130865	No	
row_14	TYRO3	TYRO3 protein tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:12446]	2961	0.12296749651432037	-0.0027667764	No	
row_15	BDKRB2	bradykinin receptor B2 [Source:HGNC Symbol;Acc:HGNC:1030]	2975	0.12255102396011353	0.0042154696	No	
row_16	CHST2	carbohydrate sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:1970]	3053	0.12086459994316101	0.007280096	No	
row_17	ITGA4	integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]	3384	0.11242765188217163	-0.005254162	No	
row_18	C2CD2L	C2CD2 like [Source:HGNC Symbol;Acc:HGNC:29000]	3553	0.10848952829837799	-0.008391364	No	
row_19	C3AR1	complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319]	3727	0.10487773269414902	-0.012054884	No	
row_20	EDN1	endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]	4150	0.09482976794242859	-0.03118107	No	
row_21	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	4163	0.0945359468460083	-0.02591237	No	
row_22	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	4324	0.09123495221138	-0.029665265	No	
row_23	CLSPN	claspin [Source:HGNC Symbol;Acc:HGNC:19715]	4496	0.08747965842485428	-0.03431083	No	
row_24	LRIG1	leucine rich repeats and immunoglobulin like domains 1 [Source:HGNC Symbol;Acc:HGNC:17360]	4543	0.08632863312959671	-0.03158611	No	
row_25	LCP1	lymphocyte cytosolic protein 1 [Source:HGNC Symbol;Acc:HGNC:6528]	4695	0.08287514001131058	-0.035332195	No	
row_26	KCNJ15	potassium inwardly rectifying channel subfamily J member 15 [Source:HGNC Symbol;Acc:HGNC:6261]	4850	0.08007487654685974	-0.03943415	No	
row_27	GFPT2	glutamine-fructose-6-phosphate transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4242]	5009	0.07659025490283966	-0.043994825	No	
row_28	VNN1	vanin 1 [Source:HGNC Symbol;Acc:HGNC:12705]	5022	0.07641579955816269	-0.039872963	No	
row_29	GAL	galanin and GMAP prepropeptide [Source:HGNC Symbol;Acc:HGNC:4114]	5109	0.07466672360897064	-0.040268134	No	
row_30	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	5791	0.06121571734547615	-0.07694395	No	
row_31	CD83	CD83 molecule [Source:HGNC Symbol;Acc:HGNC:1703]	5973	0.05767432972788811	-0.08407136	No	
row_32	KMT2A	lysine methyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:7132]	6209	0.05305659770965576	-0.09470647	No	
row_33	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]	6212	0.053018901497125626	-0.09146996	No	
row_34	FADS3	fatty acid desaturase 3 [Source:HGNC Symbol;Acc:HGNC:3576]	6265	0.05183304846286774	-0.09128576	No	
row_35	GNB3	G protein subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:4400]	6489	0.04773201048374176	-0.10154332	No	
row_36	MMP15	matrix metallopeptidase 15 [Source:HGNC Symbol;Acc:HGNC:7161]	6533	0.047153323888778687	-0.10111939	No	
row_37	TMEM51	transmembrane protein 51 [Source:HGNC Symbol;Acc:HGNC:25488]	6955	0.03994575887918472	-0.12365968	No	
row_38	CRISPLD2	cysteine rich secretory protein LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25248]	7259	0.03451387584209442	-0.13951743	No	
row_39	KIF21B	kinesin family member 21B [Source:HGNC Symbol;Acc:HGNC:29442]	7487	0.030891451984643936	-0.15107903	No	
row_40	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	7513	0.030428437516093254	-0.15064181	No	
row_41	DDX11	DEAD/H-box helicase 11 [Source:HGNC Symbol;Acc:HGNC:2736]	7647	0.02812066301703453	-0.15678154	No	
row_42	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	7695	0.027252953499555588	-0.1578553	No	
row_43	SLC7A11	solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]	7940	0.0231481920927763	-0.17091924	No	
row_44	CA12	carbonic anhydrase 12 [Source:HGNC Symbol;Acc:HGNC:1371]	8035	0.02168365567922592	-0.1751441	No	
row_45	SLC2A6	solute carrier family 2 member 6 [Source:HGNC Symbol;Acc:HGNC:11011]	8360	0.015865569934248924	-0.19343257	No	
row_46	TFEC	transcription factor EC [Source:HGNC Symbol;Acc:HGNC:11754]	8460	0.014253347180783749	-0.19842543	No	
row_47	TNFRSF8	TNF receptor superfamily member 8 [Source:HGNC Symbol;Acc:HGNC:11923]	8514	0.013213114812970161	-0.20074505	No	
row_48	FJX1	four-jointed box kinase 1 [Source:HGNC Symbol;Acc:HGNC:17166]	8576	0.012094586156308651	-0.20361182	No	
row_49	GPR3	G protein-coupled receptor 3 [Source:HGNC Symbol;Acc:HGNC:4484]	8612	0.011518635787069798	-0.20496687	No	
row_50	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	9085	0.003458990715444088	-0.23285323	No	
row_51	LHFPL2	LHFPL tetraspan subfamily member 2 [Source:HGNC Symbol;Acc:HGNC:6588]	9151	0.002287193899974227	-0.2365789	No	
row_52	SND1-IT1	SND1 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:24158]	9167	0.0020560328848659992	-0.23734196	No	
row_53	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	9185	0.0017535077640786767	-0.23824324	No	
