NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NEFM	neurofilament medium chain [Source:HGNC Symbol;Acc:HGNC:7734]	1	0.3647197186946869	0.018909423	Yes	
row_1	MTUS1	microtubule associated scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:29789]	51	0.28964272141456604	0.031047374	Yes	
row_2	RXYLT1	ribitol xylosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:13530]	79	0.2795683741569519	0.043975264	Yes	
row_3	SLC6A15	solute carrier family 6 member 15 [Source:HGNC Symbol;Acc:HGNC:13621]	121	0.26987147331237793	0.055562694	Yes	
row_4	TSPAN7	tetraspanin 7 [Source:HGNC Symbol;Acc:HGNC:11854]	161	0.261435329914093	0.06683081	Yes	
row_5	FBLN5	fibulin 5 [Source:HGNC Symbol;Acc:HGNC:3602]	201	0.25399571657180786	0.07771198	Yes	
row_6	ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	203	0.25338828563690186	0.09083103	Yes	
row_7	TAGLN3	transgelin 3 [Source:HGNC Symbol;Acc:HGNC:29868]	204	0.25328996777534485	0.10400469	Yes	
row_8	NRCAM	neuronal cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:7994]	219	0.2514428198337555	0.116246164	Yes	
row_9	NCALD	neurocalcin delta [Source:HGNC Symbol;Acc:HGNC:7655]	246	0.24882808327674866	0.12763496	Yes	
row_10	BEX4	brain expressed X-linked 4 [Source:HGNC Symbol;Acc:HGNC:25475]	337	0.23932264745235443	0.13470712	Yes	
row_11	BCHE	butyrylcholinesterase [Source:HGNC Symbol;Acc:HGNC:983]	372	0.2361234426498413	0.14495736	Yes	
row_12	PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D [Source:HGNC Symbol;Acc:HGNC:9277]	380	0.235688254237175	0.1567975	Yes	
row_13	SOX10	SRY-box transcription factor 10 [Source:HGNC Symbol;Acc:HGNC:11190]	483	0.22743836045265198	0.16253488	Yes	
row_14	CHL1	cell adhesion molecule L1 like [Source:HGNC Symbol;Acc:HGNC:1939]	521	0.2246352583169937	0.17200845	Yes	
row_15	EPB41L3	erythrocyte membrane protein band 4.1 like 3 [Source:HGNC Symbol;Acc:HGNC:3380]	585	0.2197292000055313	0.17967407	Yes	
row_16	RPS4Y1	ribosomal protein S4 Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:10425]	612	0.2184709906578064	0.189484	Yes	
row_17	CHGA	chromogranin A [Source:HGNC Symbol;Acc:HGNC:1929]	655	0.21617117524147034	0.19821875	Yes	
row_18	NALF2	NALCN channel auxiliary factor 2 [Source:HGNC Symbol;Acc:HGNC:30701]	657	0.21611256897449493	0.20939907	Yes	
row_19	NEFL	neurofilament light chain [Source:HGNC Symbol;Acc:HGNC:7739]	683	0.21459919214248657	0.21906735	Yes	
row_20	TNS2	tensin 2 [Source:HGNC Symbol;Acc:HGNC:19737]	686	0.21447177231311798	0.23010263	Yes	
row_21	HSPA12A	heat shock protein family A (Hsp70) member 12A [Source:HGNC Symbol;Acc:HGNC:19022]	695	0.21392811834812164	0.24075128	Yes	
row_22	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	698	0.21366828680038452	0.25174478	Yes	
row_23	ADCY1	adenylate cyclase 1 [Source:HGNC Symbol;Acc:HGNC:232]	803	0.20594072341918945	0.2562446	Yes	
row_24	CYFIP2	cytoplasmic FMR1 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:13760]	895	0.20020169019699097	0.26122236	Yes	
row_25	CFI	complement factor I [Source:HGNC Symbol;Acc:HGNC:5394]	1078	0.18963992595672607	0.260216	Yes	
row_26	KBTBD11	kelch repeat and BTB domain containing 11 [Source:HGNC Symbol;Acc:HGNC:29104]	1235	0.18145644664764404	0.26033682	Yes	
row_27	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	1350	0.17596739530563354	0.2626805	Yes	
row_28	STAT4	signal transducer and activator of transcription 4 [Source:HGNC Symbol;Acc:HGNC:11365]	1359	0.17573785781860352	0.27134287	Yes	
row_29	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	1377	0.17496387660503387	0.2794275	Yes	
row_30	GLDC	glycine decarboxylase [Source:HGNC Symbol;Acc:HGNC:4313]	1437	0.17252342402935028	0.28487682	Yes	
row_31	GFRA1	GDNF family receptor alpha 1 [Source:HGNC Symbol;Acc:HGNC:4243]	1462	0.17141041159629822	0.29235855	Yes	
row_32	PRAME	PRAME nuclear receptor transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:9336]	1477	0.17064990103244781	0.30039796	Yes	
row_33	SPART	spartin [Source:HGNC Symbol;Acc:HGNC:18514]	1489	0.17015297710895538	0.3085907	Yes	
row_34	FXYD2	FXYD domain containing ion transport regulator 2 [Source:HGNC Symbol;Acc:HGNC:4026]	1564	0.16601023077964783	0.31280544	Yes	
row_35	KCNJ8	potassium inwardly rectifying channel subfamily J member 8 [Source:HGNC Symbol;Acc:HGNC:6269]	1697	0.16096524894237518	0.31329384	Yes	
row_36	CDH19	cadherin 19 [Source:HGNC Symbol;Acc:HGNC:1758]	1747	0.15950815379619598	0.31866348	Yes	
row_37	GREB1	growth regulating estrogen receptor binding 1 [Source:HGNC Symbol;Acc:HGNC:24885]	1807	0.15752698481082916	0.32333285	Yes	
row_38	SLC26A2	solute carrier family 26 member 2 [Source:HGNC Symbol;Acc:HGNC:10994]	1927	0.15366213023662567	0.32421783	Yes	
row_39	MYO5A	myosin VA [Source:HGNC Symbol;Acc:HGNC:7602]	1942	0.1529589593410492	0.33133712	Yes	
row_40	SLC24A5	solute carrier family 24 member 5 [Source:HGNC Symbol;Acc:HGNC:20611]	1998	0.1509646624326706	0.33590406	Yes	
row_41	CPVL	carboxypeptidase vitellogenic like [Source:HGNC Symbol;Acc:HGNC:14399]	2011	0.1504916250705719	0.34301448	Yes	
row_42	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	2125	0.1471664309501648	0.34391996	Yes	
row_43	DDX3Y	DEAD-box helicase 3 Y-linked [Source:HGNC Symbol;Acc:HGNC:2699]	2159	0.14589424431324005	0.3495371	Yes	
row_44	STOM	stomatin [Source:HGNC Symbol;Acc:HGNC:3383]	2161	0.14582428336143494	0.3570617	Yes	
row_45	PDE1A	phosphodiesterase 1A [Source:HGNC Symbol;Acc:HGNC:8774]	2207	0.14423100650310516	0.36187568	Yes	
row_46	CD1D	CD1d molecule [Source:HGNC Symbol;Acc:HGNC:1637]	2236	0.14339657127857208	0.3676615	Yes	
row_47	ELOVL2	ELOVL fatty acid elongase 2 [Source:HGNC Symbol;Acc:HGNC:14416]	2251	0.14286205172538757	0.3742557	Yes	
row_48	TFPI2	tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]	2316	0.14111937582492828	0.37777305	Yes	
row_49	KANK1	KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:19309]	2334	0.14069977402687073	0.38407558	Yes	
row_50	TM4SF4	transmembrane 4 L six family member 4 [Source:HGNC Symbol;Acc:HGNC:11856]	2452	0.13720490038394928	0.38422406	Yes	
row_51	GAS7	growth arrest specific 7 [Source:HGNC Symbol;Acc:HGNC:4169]	2508	0.1355680376291275	0.38799024	Yes	
row_52	HGD	homogentisate 1,2-dioxygenase [Source:HGNC Symbol;Acc:HGNC:4892]	2675	0.1310746967792511	0.38489345	Yes	
row_53	VGF	VGF nerve growth factor inducible [Source:HGNC Symbol;Acc:HGNC:12684]	2699	0.13040772080421448	0.39030236	Yes	
row_54	NAV3	neuron navigator 3 [Source:HGNC Symbol;Acc:HGNC:15998]	2739	0.12941572070121765	0.3947041	Yes	
row_55	HOXB2	homeobox B2 [Source:HGNC Symbol;Acc:HGNC:5113]	2802	0.1274271458387375	0.39762878	Yes	
row_56	VLDLR	very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698]	2869	0.12530365586280823	0.40020415	Yes	
row_57	CAPN3	calpain 3 [Source:HGNC Symbol;Acc:HGNC:1480]	2879	0.12504643201828003	0.40617034	Yes	
row_58	PTPRM	protein tyrosine phosphatase receptor type M [Source:HGNC Symbol;Acc:HGNC:9675]	2998	0.1220613643527031	0.40547147	Yes	
row_59	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	3118	0.11899785697460175	0.40455353	Yes	
row_60	GAMT	guanidinoacetate N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4136]	3136	0.11852657794952393	0.40970284	Yes	
row_61	S100B	S100 calcium binding protein B [Source:HGNC Symbol;Acc:HGNC:10500]	3155	0.11793199181556702	0.4147615	Yes	
row_62	PTPN13	protein tyrosine phosphatase non-receptor type 13 [Source:HGNC Symbol;Acc:HGNC:9646]	3169	0.11759163439273834	0.42010108	Yes	
row_63	AKR1B1	aldo-keto reductase family 1 member B [Source:HGNC Symbol;Acc:HGNC:381]	3190	0.117015041410923	0.4249926	Yes	
row_64	RAD51C	RAD51 paralog C [Source:HGNC Symbol;Acc:HGNC:9820]	3284	0.11462787538766861	0.42540017	Yes	
row_65	ITGA4	integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]	3384	0.11242765188217163	0.425335	Yes	
row_66	NSG1	neuronal vesicle trafficking associated 1 [Source:HGNC Symbol;Acc:HGNC:18790]	3399	0.11217328161001205	0.43033302	Yes	
row_67	RASSF2	Ras association domain family member 2 [Source:HGNC Symbol;Acc:HGNC:9883]	3404	0.11200821399688721	0.4359197	Yes	
row_68	SLC26A4	solute carrier family 26 member 4 [Source:HGNC Symbol;Acc:HGNC:8818]	3408	0.11189472675323486	0.4415602	Yes	
row_69	GRAMD1B	GRAM domain containing 1B [Source:HGNC Symbol;Acc:HGNC:29214]	3569	0.10821188241243362	0.43763265	Yes	
row_70	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	3584	0.10781785100698471	0.44240418	Yes	
row_71	RHOQ	ras homolog family member Q [Source:HGNC Symbol;Acc:HGNC:17736]	3591	0.10768777132034302	0.4476467	Yes	
row_72	LY96	lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156]	3702	0.10549451410770416	0.44656396	Yes	
row_73	LYST	lysosomal trafficking regulator [Source:HGNC Symbol;Acc:HGNC:1968]	3758	0.10401298105716705	0.44868895	Yes	
row_74	QPCT	glutaminyl-peptide cyclotransferase [Source:HGNC Symbol;Acc:HGNC:9753]	4122	0.09542488306760788	0.4319726	No	
row_75	ZFYVE16	zinc finger FYVE-type containing 16 [Source:HGNC Symbol;Acc:HGNC:20756]	4225	0.09323088824748993	0.43072984	No	
row_76	ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10872]	4271	0.09233757108449936	0.4328448	No	
row_77	GPR143	G protein-coupled receptor 143 [Source:HGNC Symbol;Acc:HGNC:20145]	4404	0.0895828977227211	0.4296206	No	
row_78	ADAM23	ADAM metallopeptidase domain 23 [Source:HGNC Symbol;Acc:HGNC:202]	4469	0.08834647387266159	0.43039325	No	
row_79	FRMD4B	FERM domain containing 4B [Source:HGNC Symbol;Acc:HGNC:24886]	4501	0.08737847954034805	0.4330864	No	
row_80	IGFBP7	insulin like growth factor binding protein 7 [Source:HGNC Symbol;Acc:HGNC:5476]	4544	0.08632510900497437	0.43506783	No	
row_81	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18080]	4549	0.08624149113893509	0.43931437	No	
row_82	ARNT2	aryl hydrocarbon receptor nuclear translocator 2 [Source:HGNC Symbol;Acc:HGNC:16876]	4578	0.08550803363323212	0.44208944	No	
row_83	NDN	necdin, MAGE family member [Source:HGNC Symbol;Acc:HGNC:7675]	4752	0.08198574185371399	0.43602148	No	
row_84	PLCB4	phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]	4839	0.0803811326622963	0.43506593	No	
row_85	SRGN	serglycin [Source:HGNC Symbol;Acc:HGNC:9361]	5218	0.07236750423908234	0.41625452	No	
row_86	IL2RB	interleukin 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:6009]	5292	0.07086258381605148	0.41558033	No	
