NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLCO1C1	solute carrier organic anion transporter family member 1C1 [Source:HGNC Symbol;Acc:HGNC:13819]	11	0.3318944573402405	0.022671375	Yes	
row_1	GSTA4	glutathione S-transferase alpha 4 [Source:HGNC Symbol;Acc:HGNC:4629]	149	0.26335200667381287	0.03302319	Yes	
row_2	ADCY3	adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234]	171	0.25885242223739624	0.049965583	Yes	
row_3	BSN	bassoon presynaptic cytomatrix protein [Source:HGNC Symbol;Acc:HGNC:1117]	214	0.2519093155860901	0.065169625	Yes	
row_4	PDK4	pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]	226	0.2505313456058502	0.08212261	Yes	
row_5	PIPOX	pipecolic acid and sarcosine oxidase [Source:HGNC Symbol;Acc:HGNC:17804]	317	0.2407686561346054	0.093685664	Yes	
row_6	TLCD4	TLC domain containing 4 [Source:HGNC Symbol;Acc:HGNC:26477]	440	0.23054389655590057	0.102624774	Yes	
row_7	DLX1	distal-less homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2914]	480	0.22783410549163818	0.11631537	Yes	
row_8	GHRL	ghrelin and obestatin prepropeptide [Source:HGNC Symbol;Acc:HGNC:18129]	535	0.2235093116760254	0.1288089	Yes	
row_9	SPTBN4	spectrin beta, non-erythrocytic 4 [Source:HGNC Symbol;Acc:HGNC:14896]	649	0.2164795845746994	0.13729541	Yes	
row_10	SLC7A8	solute carrier family 7 member 8 [Source:HGNC Symbol;Acc:HGNC:11066]	659	0.21601347625255585	0.15194148	Yes	
row_11	SSBP2	single stranded DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15831]	732	0.2108314037322998	0.16247222	Yes	
row_12	NECAB2	N-terminal EF-hand calcium binding protein 2 [Source:HGNC Symbol;Acc:HGNC:23746]	756	0.20966507494449615	0.17583852	Yes	
row_13	RTBDN	retbindin [Source:HGNC Symbol;Acc:HGNC:30310]	1009	0.1927080601453781	0.17437804	Yes	
row_14	IL33	interleukin 33 [Source:HGNC Symbol;Acc:HGNC:16028]	1012	0.1924777626991272	0.18778674	Yes	
row_15	USP27X	ubiquitin specific peptidase 27 X-linked [Source:HGNC Symbol;Acc:HGNC:13486]	1039	0.19118286669254303	0.19967546	Yes	
row_16	GNAO1	G protein subunit alpha o1 [Source:HGNC Symbol;Acc:HGNC:4389]	1233	0.1816398650407791	0.20095003	Yes	
row_17	SLC23A2	solute carrier family 23 member 2 [Source:HGNC Symbol;Acc:HGNC:10973]	1270	0.179969921708107	0.21145524	Yes	
row_18	GPR155	G protein-coupled receptor 155 [Source:HGNC Symbol;Acc:HGNC:22951]	1286	0.17918716371059418	0.22315583	Yes	
row_19	REG1A	regenerating family member 1 alpha [Source:HGNC Symbol;Acc:HGNC:9951]	1451	0.17172455787658691	0.22546022	Yes	
row_20	KLF15	KLF transcription factor 15 [Source:HGNC Symbol;Acc:HGNC:14536]	1519	0.1687602698802948	0.23333181	Yes	
row_21	CDIP1	cell death inducing p53 target 1 [Source:HGNC Symbol;Acc:HGNC:13234]	1590	0.16492106020450592	0.24075495	Yes	
row_22	PACSIN1	protein kinase C and casein kinase substrate in neurons 1 [Source:HGNC Symbol;Acc:HGNC:8570]	1688	0.16135255992412567	0.24631967	Yes	
row_23	ELMOD3	ELMO domain containing 3 [Source:HGNC Symbol;Acc:HGNC:26158]	1793	0.15802636742591858	0.25123382	Yes	
row_24	SLC23A1	solute carrier family 23 member 1 [Source:HGNC Symbol;Acc:HGNC:10974]	1883	0.15529106557369232	0.25684884	Yes	
row_25	MUSK	muscle associated receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7525]	1919	0.15385867655277252	0.26557845	Yes	
row_26	RDH12	retinol dehydrogenase 12 [Source:HGNC Symbol;Acc:HGNC:19977]	2056	0.14935462176799774	0.2679778	Yes	
row_27	SLC2A2	solute carrier family 2 member 2 [Source:HGNC Symbol;Acc:HGNC:11006]	2134	0.1470494270324707	0.27372807	Yes	
row_28	CD36	CD36 molecule (CD36 blood group) [Source:HGNC Symbol;Acc:HGNC:1663]	2348	0.1401464343070984	0.27089557	Yes	
row_29	C3orf62	chromosome 3 open reading frame 62 [Source:HGNC Symbol;Acc:HGNC:24771]	2378	0.13942384719848633	0.2789679	Yes	
row_30	GSTT1	glutathione S-transferase theta 1 [Source:HGNC Symbol;Acc:HGNC:4641]	2492	0.13604636490345	0.28180137	Yes	
row_31	ADRA1A	adrenoceptor alpha 1A [Source:HGNC Symbol;Acc:HGNC:277]	2614	0.13254480063915253	0.2839124	Yes	
row_32	CREB3L2	cAMP responsive element binding protein 3 like 2 [Source:HGNC Symbol;Acc:HGNC:23720]	2758	0.12859459221363068	0.2844359	Yes	
row_33	PCK1	phosphoenolpyruvate carboxykinase 1 [Source:HGNC Symbol;Acc:HGNC:8724]	2764	0.12842829525470734	0.29316443	Yes	
row_34	SGK3	serum/glucocorticoid regulated kinase family member 3 [Source:HGNC Symbol;Acc:HGNC:10812]	2923	0.12382886558771133	0.29245988	Yes	
row_35	GSTM1	glutathione S-transferase mu 1 [Source:HGNC Symbol;Acc:HGNC:4632]	2937	0.12347841262817383	0.30036417	Yes	
row_36	GSTM4	glutathione S-transferase mu 4 [Source:HGNC Symbol;Acc:HGNC:4636]	2983	0.12237107753753662	0.30628535	Yes	
row_37	LEAP2	liver enriched antimicrobial peptide 2 [Source:HGNC Symbol;Acc:HGNC:29571]	2993	0.12222006916999817	0.31433937	Yes	
row_38	ENPP3	ectonucleotide pyrophosphatase/phosphodiesterase 3 [Source:HGNC Symbol;Acc:HGNC:3358]	3211	0.11635522544384003	0.3095966	Yes	
row_39	PPP6R2	protein phosphatase 6 regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:19253]	3405	0.112004354596138	0.30597702	Yes	
row_40	TEF	TEF transcription factor, PAR bZIP family member [Source:HGNC Symbol;Acc:HGNC:11722]	3529	0.10896973311901093	0.30631205	Yes	
row_41	HOXB4	homeobox B4 [Source:HGNC Symbol;Acc:HGNC:5115]	3662	0.10621635615825653	0.3059177	Yes	
row_42	DIO1	iodothyronine deiodinase 1 [Source:HGNC Symbol;Acc:HGNC:2883]	3692	0.1057141125202179	0.31162086	Yes	
row_43	CELA3A	chymotrypsin like elastase 3A [Source:HGNC Symbol;Acc:HGNC:15944]	3767	0.1039191484451294	0.31451845	Yes	
row_44	TUB	TUB bipartite transcription factor [Source:HGNC Symbol;Acc:HGNC:12406]	3778	0.10367251187562943	0.3212094	Yes	
row_45	SLC27A2	solute carrier family 27 member 2 [Source:HGNC Symbol;Acc:HGNC:10996]	3933	0.09996099770069122	0.31906548	Yes	
row_46	TET1	tet methylcytosine dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:29484]	4188	0.09401880204677582	0.31054983	Yes	
row_47	NR1I3	nuclear receptor subfamily 1 group I member 3 [Source:HGNC Symbol;Acc:HGNC:7969]	4201	0.09367448836565018	0.31641898	Yes	
row_48	NOS1	nitric oxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:7872]	4236	0.09299750626087189	0.32093066	Yes	
row_49	RDH16	retinol dehydrogenase 16 [Source:HGNC Symbol;Acc:HGNC:29674]	4256	0.09267772734165192	0.326313	Yes	
row_50	TMEM135	transmembrane protein 135 [Source:HGNC Symbol;Acc:HGNC:26167]	4269	0.09236873686313629	0.33209038	Yes	
row_51	UGT2A3	UDP glucuronosyltransferase family 2 member A3 [Source:HGNC Symbol;Acc:HGNC:28528]	4444	0.08885139971971512	0.32797483	No	
row_52	EGR3	early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]	4515	0.08706551790237427	0.3299261	No	
row_53	TUBB2B	tubulin beta 2B class IIb [Source:HGNC Symbol;Acc:HGNC:30829]	4953	0.07780242711305618	0.3093746	No	
row_54	MGMT	O-6-methylguanine-DNA methyltransferase [Source:HGNC Symbol;Acc:HGNC:7059]	4958	0.07761966437101364	0.3145917	No	
row_55	IL15	interleukin 15 [Source:HGNC Symbol;Acc:HGNC:5977]	5258	0.07147032022476196	0.3018119	No	
row_56	CXCL17	C-X-C motif chemokine ligand 17 [Source:HGNC Symbol;Acc:HGNC:19232]	5301	0.07070160657167435	0.30428025	No	
row_57	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	5308	0.07056386023759842	0.3088824	No	
row_58	PTGDS	prostaglandin D2 synthase [Source:HGNC Symbol;Acc:HGNC:9592]	5410	0.06870097666978836	0.30769715	No	
row_59	NRG4	neuregulin 4 [Source:HGNC Symbol;Acc:HGNC:29862]	5436	0.06832750886678696	0.31101084	No	
row_60	GLI2	GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318]	5689	0.0632825493812561	0.30045402	No	
row_61	SECTM1	secreted and transmembrane 1 [Source:HGNC Symbol;Acc:HGNC:10707]	5694	0.06313789635896683	0.30465335	No	
row_62	SPNS2	SPNS lysolipid transporter 2, sphingosine-1-phosphate [Source:HGNC Symbol;Acc:HGNC:26992]	5816	0.060733452439308167	0.3017173	No	
row_63	ORMDL3	ORMDL sphingolipid biosynthesis regulator 3 [Source:HGNC Symbol;Acc:HGNC:16038]	5867	0.05971107259392738	0.30293685	No	
row_64	PASK	PAS domain containing serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:17270]	5873	0.059598978608846664	0.3068279	No	
row_65	PDK2	pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]	5982	0.057530466467142105	0.3044408	No	
row_66	SP6	Sp6 transcription factor [Source:HGNC Symbol;Acc:HGNC:14530]	5990	0.05744167044758797	0.30806115	No	
row_67	FBP1	fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606]	6098	0.05510877072811127	0.3055634	No	
row_68	RAB30	RAB30, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9770]	6275	0.05165696516633034	0.29871464	No	
row_69	FBLN1	fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]	6378	0.049698006361722946	0.29613432	No	
row_70	SLC6A20	solute carrier family 6 member 20 [Source:HGNC Symbol;Acc:HGNC:30927]	6414	0.049089983105659485	0.29750052	No	
row_71	GATA4	GATA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:4173]	6538	0.047081358730793	0.2934859	No	
row_72	GSTA2	glutathione S-transferase alpha 2 [Source:HGNC Symbol;Acc:HGNC:4627]	6562	0.046528611332178116	0.29538658	No	
row_73	NMT2	N-myristoyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:7858]	6568	0.046473369002342224	0.29835513	No	
row_74	ALOX12P2	arachidonate 12-lipoxygenase pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:432]	6727	0.04356914013624191	0.2920097	No	
row_75	DKK4	dickkopf WNT signaling pathway inhibitor 4 [Source:HGNC Symbol;Acc:HGNC:2894]	6774	0.04278978332877159	0.29227817	No	
row_76	PER2	period circadian regulator 2 [Source:HGNC Symbol;Acc:HGNC:8846]	6918	0.04055323824286461	0.2866139	No	
row_77	UBD	ubiquitin D [Source:HGNC Symbol;Acc:HGNC:18795]	6966	0.0397583432495594	0.28660977	No	
row_78	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	7228	0.035111840814352036	0.2735372	No	
row_79	CYP11A1	cytochrome P450 family 11 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2590]	7416	0.03199213370680809	0.2646514	No	
row_80	CES2	carboxylesterase 2 [Source:HGNC Symbol;Acc:HGNC:1864]	7918	0.02348276600241661	0.23647152	No	
row_81	CES1	carboxylesterase 1 [Source:HGNC Symbol;Acc:HGNC:1863]	7975	0.022598424926400185	0.23472546	No	
row_82	GALNT6	polypeptide N-acetylgalactosaminyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:4128]	8287	0.017242591828107834	0.2174199	No	
row_83	SMPD3	sphingomyelin phosphodiesterase 3 [Source:HGNC Symbol;Acc:HGNC:14240]	8620	0.011319085024297237	0.19844764	No	
row_84	GFAP	glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]	8731	0.009352203458547592	0.19255537	No	
row_85	VWA1	von Willebrand factor A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30910]	8759	0.008964256383478642	0.19157778	No	
row_86	ACHE	acetylcholinesterase (Yt blood group) [Source:HGNC Symbol;Acc:HGNC:108]	8813	0.008135650306940079	0.18899387	No	
row_87	DBNDD1	dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]	8989	0.0052365693263709545	0.17894213	No	
row_88	YJEFN3	YjeF N-terminal domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24785]	9095	0.0031867532525211573	0.17291425	No	
row_89	PLPP7	phospholipid phosphatase 7 (inactive) [Source:HGNC Symbol;Acc:HGNC:28174]	9287	-9.996373410103843E-5	0.16154884	No	
row_90	ADA	adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]	9844	-0.01020787749439478	0.12916118	No	
row_91	LPO	lactoperoxidase [Source:HGNC Symbol;Acc:HGNC:6678]	10370	-0.01979508437216282	0.09929313	No	
row_92	OAS3	2'-5'-oligoadenylate synthetase 3 [Source:HGNC Symbol;Acc:HGNC:8088]	10539	-0.022737819701433182	0.09088822	No	
row_93	WNT10A	Wnt family member 10A [Source:HGNC Symbol;Acc:HGNC:13829]	10591	-0.023600934073328972	0.08951033	No	
row_94	ARSG	arylsulfatase G [Source:HGNC Symbol;Acc:HGNC:24102]	10639	-0.02441241405904293	0.08842764	No	
