NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPY	neuropeptide Y [Source:HGNC Symbol;Acc:HGNC:7955]	34	0.2984634041786194	0.017892016	No	
row_1	PPIP5K1	diphosphoinositol pentakisphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:29023]	196	0.2541085481643677	0.025257777	No	
row_2	ARHGEF15	Rho guanine nucleotide exchange factor 15 [Source:HGNC Symbol;Acc:HGNC:15590]	365	0.23625609278678894	0.031015135	No	
row_3	ALOX15	arachidonate 15-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:433]	490	0.2268396019935608	0.038765483	No	
row_4	PARM1	prostate androgen-regulated mucin-like protein 1 [Source:HGNC Symbol;Acc:HGNC:24536]	602	0.2188544124364853	0.04675745	No	
row_5	SST	somatostatin [Source:HGNC Symbol;Acc:HGNC:11329]	621	0.21786269545555115	0.060223892	No	
row_6	NCOA1	nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:7668]	647	0.2165936678647995	0.07318861	No	
row_7	ST8SIA3	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:14269]	684	0.21455533802509308	0.08536196	No	
row_8	PDE5A	phosphodiesterase 5A [Source:HGNC Symbol;Acc:HGNC:8784]	891	0.2005038559436798	0.08646951	No	
row_9	ESRRB	estrogen related receptor beta [Source:HGNC Symbol;Acc:HGNC:3473]	1169	0.18510690331459045	0.08231959	No	
row_10	KCNC4	potassium voltage-gated channel subfamily C member 4 [Source:HGNC Symbol;Acc:HGNC:6236]	1299	0.17861932516098022	0.08655412	No	
row_11	GATB	glutamyl-tRNA amidotransferase subunit B [Source:HGNC Symbol;Acc:HGNC:8849]	1379	0.17493855953216553	0.09352187	No	
row_12	VTN	vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]	1800	0.15766601264476776	0.0790212	No	
row_13	GREB1	growth regulating estrogen receptor binding 1 [Source:HGNC Symbol;Acc:HGNC:24885]	1807	0.15752698481082916	0.08917613	No	
row_14	PDE2A	phosphodiesterase 2A [Source:HGNC Symbol;Acc:HGNC:8777]	1878	0.15545259416103363	0.0953797	No	
row_15	CBX5	chromobox 5 [Source:HGNC Symbol;Acc:HGNC:1555]	2113	0.14758095145225525	0.09128734	No	
row_16	ADCY10	adenylate cyclase 10 [Source:HGNC Symbol;Acc:HGNC:21285]	2192	0.14479883015155792	0.09630333	No	
row_17	NDST2	N-deacetylase and N-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:7681]	2199	0.14446952939033508	0.10558688	No	
row_18	DAGLA	diacylglycerol lipase alpha [Source:HGNC Symbol;Acc:HGNC:1165]	2597	0.133173406124115	0.090822	No	
row_19	VGF	VGF nerve growth factor inducible [Source:HGNC Symbol;Acc:HGNC:12684]	2699	0.13040772080421448	0.093507335	No	
row_20	ETV2	ETS variant transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3491]	2824	0.12665531039237976	0.09457199	No	
row_21	CLCC1	chloride channel CLIC like 1 [Source:HGNC Symbol;Acc:HGNC:29675]	2968	0.12281952798366547	0.09424871	No	
row_22	FGFR2	fibroblast growth factor receptor 2 [Source:HGNC Symbol;Acc:HGNC:3689]	3361	0.11291999369859695	0.078430116	No	
row_23	CEBPA	CCAAT enhancer binding protein alpha [Source:HGNC Symbol;Acc:HGNC:1833]	3365	0.11285889893770218	0.0857829	No	
row_24	INS	insulin [Source:HGNC Symbol;Acc:HGNC:6081]	3576	0.10799579322338104	0.08047871	No	
row_25	P2RX7	purinergic receptor P2X 7 [Source:HGNC Symbol;Acc:HGNC:8537]	3629	0.1069222167134285	0.08451605	No	
row_26	TCTA	T cell leukemia translocation altered [Source:HGNC Symbol;Acc:HGNC:11692]	3696	0.10564417392015457	0.08763402	No	
row_27	SLC25A42	solute carrier family 25 member 42 [Source:HGNC Symbol;Acc:HGNC:28380]	3753	0.10414232313632965	0.09124753	No	
row_28	SLIT1	slit guidance ligand 1 [Source:HGNC Symbol;Acc:HGNC:11085]	3988	0.0985569953918457	0.083883606	No	
row_29	MYRF	myelin regulatory factor [Source:HGNC Symbol;Acc:HGNC:1181]	4002	0.09822295606136322	0.08966391	No	
row_30	KRT13	keratin 13 [Source:HGNC Symbol;Acc:HGNC:6415]	4088	0.09627737104892731	0.09102483	No	
row_31	GPR182	G protein-coupled receptor 182 [Source:HGNC Symbol;Acc:HGNC:13708]	4127	0.09533912688493729	0.095123254	No	
row_32	C2orf72	chromosome 2 open reading frame 72  [Source:HGNC Symbol;Acc:HGNC:27418]	4253	0.09269411116838455	0.093861975	No	
row_33	PTGIR	prostaglandin I2 receptor [Source:HGNC Symbol;Acc:HGNC:9602]	4254	0.09268688410520554	0.10004733	No	
row_34	GNG12	G protein subunit gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663]	4325	0.09123176336288452	0.1019652	No	
row_35	CYP4A11	cytochrome P450 family 4 subfamily A member 11 [Source:HGNC Symbol;Acc:HGNC:2642]	4463	0.08849748969078064	0.09970893	No	
row_36	PART1	prostate androgen-regulated transcript 1 [Source:HGNC Symbol;Acc:HGNC:17263]	4563	0.08585699647665024	0.099540375	No	
row_37	ATF6	activating transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:791]	4667	0.0835232213139534	0.09897778	No	
row_38	CDH4	cadherin 4 [Source:HGNC Symbol;Acc:HGNC:1763]	4882	0.07944725453853607	0.09153013	No	
row_39	CTSF	cathepsin F [Source:HGNC Symbol;Acc:HGNC:2531]	5166	0.07339295744895935	0.07956763	No	
row_40	HIVEP1	HIVEP zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:4920]	5190	0.0729580894112587	0.08306614	No	
row_41	ACOX3	acyl-CoA oxidase 3, pristanoyl [Source:HGNC Symbol;Acc:HGNC:121]	5204	0.07276659458875656	0.087147646	No	
row_42	HSPB6	heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]	5245	0.07171449810266495	0.08955035	No	
row_43	NRL	neural retina leucine zipper [Source:HGNC Symbol;Acc:HGNC:8002]	5295	0.0708068236708641	0.09135629	No	
row_44	LDOC1	LDOC1 regulator of NFKB signaling [Source:HGNC Symbol;Acc:HGNC:6548]	5311	0.07055909186601639	0.095171325	No	
row_45	PTGDR	prostaglandin D2 receptor [Source:HGNC Symbol;Acc:HGNC:9591]	5349	0.0697651132941246	0.09762268	No	
row_46	CHRD	chordin [Source:HGNC Symbol;Acc:HGNC:1949]	5369	0.06942537426948547	0.10112374	No	
row_47	AMOT	angiomotin [Source:HGNC Symbol;Acc:HGNC:17810]	5513	0.06662046909332275	0.09705007	No	
row_48	ANPEP	alanyl aminopeptidase, membrane [Source:HGNC Symbol;Acc:HGNC:500]	5719	0.06261371821165085	0.089015245	No	
row_49	PTH2R	parathyroid hormone 2 receptor [Source:HGNC Symbol;Acc:HGNC:9609]	5847	0.060232069343328476	0.085468486	No	
row_50	ITGAE	integrin subunit alpha E [Source:HGNC Symbol;Acc:HGNC:6147]	5915	0.05893068015575409	0.08540951	No	
row_51	GAS8	growth arrest specific 8 [Source:HGNC Symbol;Acc:HGNC:4166]	6137	0.05432252585887909	0.075868145	No	
row_52	KMT2A	lysine methyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:7132]	6209	0.05305659770965576	0.075178854	No	
row_53	ICOS	inducible T cell costimulator [Source:HGNC Symbol;Acc:HGNC:5351]	6459	0.04835335537791252	0.06357098	No	
row_54	GRPR	gastrin releasing peptide receptor [Source:HGNC Symbol;Acc:HGNC:4609]	6709	0.04381953552365303	0.05166056	No	
row_55	SLC22A18AS	SLC22A18 antisense RNA [Source:HGNC Symbol;Acc:HGNC:10965]	6995	0.039176441729068756	0.037295513	No	
row_56	HLA-DRB6	major histocompatibility complex, class II, DR beta 6 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:4954]	7085	0.03788701072335243	0.03452151	No	
row_57	GRIN2C	glutamate ionotropic receptor NMDA type subunit 2C [Source:HGNC Symbol;Acc:HGNC:4587]	7091	0.03781861066818237	0.036747407	No	
row_58	FKBP1A	FKBP prolyl isomerase 1A [Source:HGNC Symbol;Acc:HGNC:3711]	7129	0.03726981580257416	0.03703022	No	
row_59	PRG2	proteoglycan 2, pro eosinophil major basic protein [Source:HGNC Symbol;Acc:HGNC:9362]	7465	0.03118108958005905	0.019152759	No	
row_60	HMBS	hydroxymethylbilane synthase [Source:HGNC Symbol;Acc:HGNC:4982]	7851	0.024549702182412148	-0.0021460894	No	
row_61	CDON	cell adhesion associated, oncogene regulated [Source:HGNC Symbol;Acc:HGNC:17104]	7863	0.024356398731470108	-0.0011760385	No	
row_62	CES1	carboxylesterase 1 [Source:HGNC Symbol;Acc:HGNC:1863]	7975	0.022598424926400185	-0.0062810043	No	
row_63	PDE1B	phosphodiesterase 1B [Source:HGNC Symbol;Acc:HGNC:8775]	8268	0.017446311190724373	-0.02251323	No	
row_64	CHD5	chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16816]	8307	0.01690969243645668	-0.023648705	No	
row_65	GMDS	GDP-mannose 4,6-dehydratase [Source:HGNC Symbol;Acc:HGNC:4369]	8351	0.016125503927469254	-0.025134398	No	
row_66	HPGD	15-hydroxyprostaglandin dehydrogenase [Source:HGNC Symbol;Acc:HGNC:5154]	8439	0.014722736552357674	-0.02933509	No	
row_67	SSH1	slingshot protein phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:30579]	8526	0.012918032705783844	-0.033596642	No	
row_68	ANK1	ankyrin 1 [Source:HGNC Symbol;Acc:HGNC:492]	8876	0.006972636561840773	-0.053923704	No	
row_69	MPO	myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]	9056	0.004038150422275066	-0.06431851	No	
row_70	FRAT2	FRAT regulator of WNT signaling pathway 2 [Source:HGNC Symbol;Acc:HGNC:16048]	9170	0.002019803039729595	-0.07091592	No	
row_71	LST1	leukocyte specific transcript 1 [Source:HGNC Symbol;Acc:HGNC:14189]	9226	0.0011105776065960526	-0.07411854	No	
row_72	CTBP2	C-terminal binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2495]	9480	-0.003690853016451001	-0.08894522	No	
row_73	VSIG4	V-set and immunoglobulin domain containing 4 [Source:HGNC Symbol;Acc:HGNC:17032]	9612	-0.006085140630602837	-0.09634372	No	
row_74	SCN2B	sodium voltage-gated channel beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:10589]	9634	-0.006454823538661003	-0.09716408	No	
row_75	POM121L1P	POM121 transmembrane nucleoporin like 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:16439]	9727	-0.008020564913749695	-0.102109924	No	
row_76	PLA2G5	phospholipase A2 group V [Source:HGNC Symbol;Acc:HGNC:9038]	9924	-0.011716068722307682	-0.113005154	No	
row_77	ITPKA	inositol-trisphosphate 3-kinase A [Source:HGNC Symbol;Acc:HGNC:6178]	10083	-0.014606725424528122	-0.121443555	No	
row_78	PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase type 1 beta [Source:HGNC Symbol;Acc:HGNC:8995]	10169	-0.016408393159508705	-0.12541261	No	
row_79	FZD9	frizzled class receptor 9 [Source:HGNC Symbol;Acc:HGNC:4047]	10384	-0.02011151984333992	-0.13681996	No	
row_80	AVPR2	arginine vasopressin receptor 2 [Source:HGNC Symbol;Acc:HGNC:897]	10554	-0.02291882038116455	-0.14535901	No	
row_81	PTPRD	protein tyrosine phosphatase receptor type D [Source:HGNC Symbol;Acc:HGNC:9668]	10571	-0.023227805271744728	-0.14476216	No	
row_82	CLK1	CDC like kinase 1 [Source:HGNC Symbol;Acc:HGNC:2068]	10596	-0.023648297414183617	-0.14461388	No	
row_83	CDC42EP2	CDC42 effector protein 2 [Source:HGNC Symbol;Acc:HGNC:16263]	10618	-0.024013428017497063	-0.14426248	No	
row_84	DLX5	distal-less homeobox 5 [Source:HGNC Symbol;Acc:HGNC:2918]	10655	-0.02456679381430149	-0.1447678	No	
