NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CAHOY_NEURONAL	CAHOY_NEURONAL	Details ...	89	0.5630315	1.9595131	0.0	0.049968	0.028	3198	tags=48%, list=19%, signal=59%	
KRAS.KIDNEY_UP.V1_UP	KRAS.KIDNEY_UP.V1_UP	Details ...	131	0.6340598	1.8565934	0.004347826	0.071367525	0.07	2568	tags=54%, list=15%, signal=63%	
KRAS.300_UP.V1_UP	KRAS.300_UP.V1_UP	Details ...	129	0.4657044	1.7349529	0.009592326	0.17193542	0.212	1878	tags=33%, list=11%, signal=37%	
IL21_UP.V1_DN	IL21_UP.V1_DN	Details ...	147	0.3845791	1.6640108	0.0073349634	0.2467253	0.361	2190	tags=29%, list=13%, signal=33%	
P53_DN.V1_DN	P53_DN.V1_DN	Details ...	190	0.44868895	1.6411536	0.019607844	0.2389622	0.405	3758	tags=39%, list=22%, signal=49%	
KRAS.BREAST_UP.V1_DN	KRAS.BREAST_UP.V1_DN	Details ...	119	0.3699675	1.5259635	0.028037382	0.49874103	0.661	4618	tags=45%, list=27%, signal=61%	
KRAS.600_UP.V1_UP	KRAS.600_UP.V1_UP	Details ...	243	0.37531808	1.5175265	0.036231883	0.45499352	0.676	3127	tags=33%, list=18%, signal=40%	
PTEN_DN.V1_DN	PTEN_DN.V1_DN	Details ...	149	0.3845166	1.5048739	0.041262135	0.43562493	0.7	2995	tags=32%, list=18%, signal=39%	
CAHOY_OLIGODENDROCUTIC	CAHOY_OLIGODENDROCUTIC	Details ...	94	0.3231215	1.4802383	0.011627907	0.45892897	0.748	4780	tags=38%, list=28%, signal=53%	
JAK2_DN.V1_UP	JAK2_DN.V1_UP	Details ...	142	0.34068245	1.4560012	0.017142856	0.48419493	0.782	4311	tags=37%, list=25%, signal=50%	
PKCA_DN.V1_UP	PKCA_DN.V1_UP	Details ...	139	0.33209038	1.4445064	0.03916449	0.4770773	0.802	4269	tags=37%, list=25%, signal=49%	
IL15_UP.V1_DN	IL15_UP.V1_DN	Details ...	154	0.3247242	1.4274848	0.03782506	0.48685655	0.83	3742	tags=34%, list=22%, signal=44%	
E2F3_UP.V1_UP	E2F3_UP.V1_UP	Details ...	178	0.31051534	1.408608	0.054545455	0.51123005	0.861	4298	tags=33%, list=25%, signal=43%	
KRAS.50_UP.V1_UP	KRAS.50_UP.V1_UP	Details ...	47	0.4437988	1.4057659	0.11981567	0.4859201	0.87	1744	tags=36%, list=10%, signal=40%	
NRL_DN.V1_DN	NRL_DN.V1_DN	Details ...	121	0.30032423	1.3913639	0.04784689	0.49635604	0.888	5098	tags=40%, list=30%, signal=56%	
KRAS.PROSTATE_UP.V1_UP	KRAS.PROSTATE_UP.V1_UP	Details ...	119	0.3383706	1.3736991	0.07637232	0.5183704	0.91	3119	tags=29%, list=18%, signal=36%	
BMI1_DN.V1_DN	BMI1_DN.V1_DN	Details ...	130	0.32496563	1.3668116	0.06295399	0.5076298	0.924	1813	tags=21%, list=11%, signal=23%	
ESC_J1_UP_LATE.V1_DN	ESC_J1_UP_LATE.V1_DN	Details ...	161	0.2886195	1.3625389	0.04901961	0.490259	0.927	5058	tags=39%, list=30%, signal=54%	
PTEN_DN.V1_UP	PTEN_DN.V1_UP	Details ...	157	0.3259123	1.3546779	0.07951807	0.48438096	0.932	4488	tags=41%, list=27%, signal=55%	
BMI1_DN_MEL18_DN.V1_DN	BMI1_DN_MEL18_DN.V1_DN	Details ...	142	0.3223237	1.3322198	0.10344828	0.52518	0.948	3436	tags=30%, list=20%, signal=37%	
STK33_DN	STK33_DN		268	0.27275625	1.3311739	0.051980197	0.5029143	0.948	3289	tags=26%, list=19%, signal=32%	
KRAS.BREAST_UP.V1_UP	KRAS.BREAST_UP.V1_UP		109	0.31034732	1.3264172	0.090361446	0.4941827	0.951	4311	tags=39%, list=25%, signal=51%	
BRCA1_DN.V1_UP	BRCA1_DN.V1_UP		95	0.35049897	1.3228462	0.115763545	0.48190242	0.959	2080	tags=22%, list=12%, signal=25%	
PRC2_SUZ12_UP.V1_DN	PRC2_SUZ12_UP.V1_DN		156	0.27901667	1.3228365	0.064425774	0.46182314	0.959	2236	tags=20%, list=13%, signal=23%	
DCA_UP.V1_UP	DCA_UP.V1_UP		145	0.2871325	1.3156039	0.07526882	0.4617053	0.963	5170	tags=41%, list=31%, signal=59%	
CTIP_DN.V1_UP	CTIP_DN.V1_UP		109	0.3214369	1.2874475	0.13366337	0.5168336	0.977	4711	tags=39%, list=28%, signal=54%	
STK33_NOMO_DN	STK33_NOMO_DN		269	0.270539	1.273958	0.061576355	0.53200704	0.981	3997	tags=30%, list=24%, signal=39%	
ATF2_S_UP.V1_UP	ATF2_S_UP.V1_UP		169	0.258939	1.2725947	0.06865671	0.517238	0.982	2999	tags=24%, list=18%, signal=28%	
IL2_UP.V1_DN	IL2_UP.V1_DN		173	0.2910667	1.2641698	0.15196079	0.5241792	0.984	1334	tags=17%, list=8%, signal=19%	
PRC2_EED_DN.V1_UP	PRC2_EED_DN.V1_UP		170	0.2857445	1.2404888	0.12826604	0.571723	0.987	3145	tags=27%, list=19%, signal=33%	
KRAS.AMP.LUNG_UP.V1_UP	KRAS.AMP.LUNG_UP.V1_UP		107	0.31489363	1.2308666	0.15696202	0.57951885	0.989	4549	tags=36%, list=27%, signal=50%	
KRAS.600.LUNG.BREAST_UP.V1_UP	KRAS.600.LUNG.BREAST_UP.V1_UP		228	0.27047005	1.2230395	0.14722222	0.5819832	0.99	2796	tags=25%, list=17%, signal=30%	
BCAT.100_UP.V1_UP	BCAT.100_UP.V1_UP		46	0.30399448	1.2143369	0.18844222	0.58857775	0.991	4122	tags=37%, list=24%, signal=49%	
CTIP_DN.V1_DN	CTIP_DN.V1_DN		114	0.28645357	1.213778	0.18518518	0.5725333	0.991	4656	tags=33%, list=27%, signal=46%	
YAP1_DN	YAP1_DN		36	0.33404392	1.2100686	0.19727892	0.5660048	0.991	3668	tags=36%, list=22%, signal=46%	
NFE2L2.V2	NFE2L2.V2		383	0.24771309	1.2079046	0.13984169	0.5562098	0.993	3412	tags=24%, list=20%, signal=29%	
STK33_SKM_DN	STK33_SKM_DN		253	0.24889499	1.2010447	0.14705883	0.55888563	0.994	3343	tags=24%, list=20%, signal=30%	
