NAME	TITLE	SCORE	
TGM3	transglutaminase 3 [Source:HGNC Symbol;Acc:HGNC:11779]	0.36683854	
NEFM	neurofilament medium chain [Source:HGNC Symbol;Acc:HGNC:7734]	0.36471972	
LINC00242	long intergenic non-protein coding RNA 242 [Source:HGNC Symbol;Acc:HGNC:21249]	0.35610583	
GAP43	growth associated protein 43 [Source:HGNC Symbol;Acc:HGNC:4140]	0.3461492	
ATP6V1E2	ATPase H+ transporting V1 subunit E2 [Source:HGNC Symbol;Acc:HGNC:18125]	0.34473893	
GKAP1	G kinase anchoring protein 1 [Source:HGNC Symbol;Acc:HGNC:17496]	0.3442245	
OGDHL	oxoglutarate dehydrogenase L [Source:HGNC Symbol;Acc:HGNC:25590]	0.34121257	
DPYSL5	dihydropyrimidinase like 5 [Source:HGNC Symbol;Acc:HGNC:20637]	0.34003603	
KLKB1	kallikrein B1 [Source:HGNC Symbol;Acc:HGNC:6371]	0.33991575	
EML5	EMAP like 5 [Source:HGNC Symbol;Acc:HGNC:18197]	0.33839396	
AMIGO1	adhesion molecule with Ig like domain 1 [Source:HGNC Symbol;Acc:HGNC:20824]	0.3341336	
SLCO1C1	solute carrier organic anion transporter family member 1C1 [Source:HGNC Symbol;Acc:HGNC:13819]	0.33189446	
MEIS2	Meis homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7001]	0.3290967	
FAN1	FANCD2 and FANCI associated nuclease 1 [Source:HGNC Symbol;Acc:HGNC:29170]	0.32894772	
GNAZ	G protein subunit alpha z [Source:HGNC Symbol;Acc:HGNC:4395]	0.32696557	
NEFH	neurofilament heavy chain [Source:HGNC Symbol;Acc:HGNC:7737]	0.3262341	
MAP1B	microtubule associated protein 1B [Source:HGNC Symbol;Acc:HGNC:6836]	0.323181	
ABCA5	ATP binding cassette subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:35]	0.32015827	
APOD	apolipoprotein D [Source:HGNC Symbol;Acc:HGNC:612]	0.31892055	
ARHGAP44	Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:HGNC:29096]	0.3183785	
FRMPD1	FERM and PDZ domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29159]	0.31818923	
CRABP1	cellular retinoic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2338]	0.3178757	
GABRG2	gamma-aminobutyric acid type A receptor subunit gamma2 [Source:HGNC Symbol;Acc:HGNC:4087]	0.3158297	
NSG2	neuronal vesicle trafficking associated 2 [Source:HGNC Symbol;Acc:HGNC:24955]	0.31256813	
BCDIN3D	BCDIN3 domain containing RNA methyltransferase [Source:HGNC Symbol;Acc:HGNC:27050]	0.31125826	
SUOX	sulfite oxidase [Source:HGNC Symbol;Acc:HGNC:11460]	0.31057724	
SHE	Src homology 2 domain containing E [Source:HGNC Symbol;Acc:HGNC:27004]	0.30607495	
NFIB	nuclear factor I B [Source:HGNC Symbol;Acc:HGNC:7785]	0.3039605	
NRSN1	neurensin 1 [Source:HGNC Symbol;Acc:HGNC:17881]	0.3031371	
TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor [Source:HGNC Symbol;Acc:HGNC:11556]	0.30189887	
SLC7A2	solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]	0.30148745	
LRRC2	leucine rich repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:14676]	0.30112973	
KIAA0319	KIAA0319 [Source:HGNC Symbol;Acc:HGNC:21580]	0.30111632	
HEYL	hes related family bHLH transcription factor with YRPW motif like [Source:HGNC Symbol;Acc:HGNC:4882]	0.300147	
NPY	neuropeptide Y [Source:HGNC Symbol;Acc:HGNC:7955]	0.2984634	
DBIL5P	diazepam binding inhibitor-like 5, pseudogene [Source:HGNC Symbol;Acc:HGNC:38519]	0.29834372	
