NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KRAS.KIDNEY_UP.V1_UP	KRAS.KIDNEY_UP.V1_UP	Details ...	131	-0.5963085	-1.8114696	0.019480519	0.3006792	0.139	4263	tags=67%, list=25%, signal=89%	
KRAS.BREAST_UP.V1_DN	KRAS.BREAST_UP.V1_DN	Details ...	119	-0.40567893	-1.7304249	0.0	0.30669647	0.248	4504	tags=48%, list=27%, signal=65%	
P53_DN.V1_DN	P53_DN.V1_DN	Details ...	190	-0.4617839	-1.714797	0.011111111	0.23020528	0.271	4324	tags=49%, list=26%, signal=65%	
BRCA1_DN.V1_UP	BRCA1_DN.V1_UP	Details ...	95	-0.44264665	-1.7068955	0.0025773195	0.18231112	0.279	3307	tags=43%, list=20%, signal=53%	
PTEN_DN.V1_DN	PTEN_DN.V1_DN	Details ...	149	-0.42217556	-1.7059268	0.004819277	0.14659427	0.28	3758	tags=44%, list=22%, signal=56%	
CYCLIN_D1_KE_.V1_DN	CYCLIN_D1_KE_.V1_DN	Details ...	167	-0.38407022	-1.6636404	0.0	0.17566206	0.371	4393	tags=40%, list=26%, signal=54%	
KRAS.AMP.LUNG_UP.V1_UP	KRAS.AMP.LUNG_UP.V1_UP	Details ...	107	-0.39800033	-1.6340688	0.007853403	0.19625853	0.439	4199	tags=44%, list=25%, signal=58%	
MTOR_UP.N4.V1_DN	MTOR_UP.N4.V1_DN	Details ...	181	-0.43457225	-1.6148844	0.036885247	0.20198204	0.487	2023	tags=29%, list=12%, signal=32%	
CTIP_DN.V1_UP	CTIP_DN.V1_UP	Details ...	109	-0.39381656	-1.6082042	0.008333334	0.18729505	0.498	3302	tags=31%, list=19%, signal=38%	
JNK_DN.V1_UP	JNK_DN.V1_UP	Details ...	166	-0.3580208	-1.553788	0.012048192	0.2547394	0.631	5165	tags=45%, list=31%, signal=64%	
AKT_UP.V1_DN	AKT_UP.V1_DN	Details ...	181	-0.36709315	-1.5456009	0.045918368	0.24494903	0.647	3225	tags=34%, list=19%, signal=41%	
KRAS.600.LUNG.BREAST_UP.V1_DN	KRAS.600.LUNG.BREAST_UP.V1_DN	Details ...	233	-0.33442387	-1.54434	0.0027855153	0.22686873	0.651	4881	tags=40%, list=29%, signal=56%	
IL15_UP.V1_DN	IL15_UP.V1_DN	Details ...	154	-0.3493265	-1.5426054	0.007936508	0.21214792	0.656	3146	tags=31%, list=19%, signal=38%	
PTEN_DN.V1_UP	PTEN_DN.V1_UP	Details ...	157	-0.365796	-1.5202098	0.018372703	0.22986722	0.69	5108	tags=46%, list=30%, signal=66%	
KRAS.PROSTATE_UP.V1_DN	KRAS.PROSTATE_UP.V1_DN	Details ...	116	-0.3395173	-1.4875622	0.0114613185	0.2665542	0.76	4707	tags=41%, list=28%, signal=57%	
KRAS.600_UP.V1_UP	KRAS.600_UP.V1_UP	Details ...	243	-0.35258678	-1.4663769	0.0546875	0.28913876	0.794	5057	tags=47%, list=30%, signal=65%	
PRC1_BMI_UP.V1_UP	PRC1_BMI_UP.V1_UP	Details ...	163	-0.33090228	-1.4642147	0.015151516	0.2761407	0.797	4982	tags=44%, list=29%, signal=61%	
KRAS.300_UP.V1_UP	KRAS.300_UP.V1_UP	Details ...	129	-0.37371075	-1.4370484	0.0974359	0.30831522	0.839	4263	tags=43%, list=25%, signal=58%	
DCA_UP.V1_UP	DCA_UP.V1_UP	Details ...	145	-0.300521	-1.4227401	0.029154519	0.31866133	0.857	5231	tags=41%, list=31%, signal=59%	
PRC2_EED_DN.V1_UP	PRC2_EED_DN.V1_UP	Details ...	170	-0.30983537	-1.3847177	0.054455444	0.38175955	0.898	4523	tags=38%, list=27%, signal=51%	
CTIP_DN.V1_DN	CTIP_DN.V1_DN		114	-0.32620353	-1.3800548	0.057934508	0.37468684	0.903	4988	tags=44%, list=29%, signal=62%	
CSR_LATE_UP.V1_DN	CSR_LATE_UP.V1_DN		145	-0.31036714	-1.378963	0.06921241	0.3600656	0.906	2620	tags=25%, list=15%, signal=29%	
GLI1_UP.V1_UP	GLI1_UP.V1_UP		24	-0.4158781	-1.3783811	0.1010101	0.34534988	0.908	3753	tags=42%, list=22%, signal=53%	
KRAS.LUNG.BREAST_UP.V1_DN	KRAS.LUNG.BREAST_UP.V1_DN		116	-0.3146308	-1.3751061	0.05654762	0.3369384	0.91	3889	tags=33%, list=23%, signal=42%	
MTOR_UP.V1_DN	MTOR_UP.V1_DN		175	-0.31114313	-1.3617254	0.080729164	0.34992564	0.922	3354	tags=27%, list=20%, signal=34%	
IL2_UP.V1_DN	IL2_UP.V1_DN		173	-0.30846906	-1.3615477	0.06852792	0.33676392	0.922	3051	tags=27%, list=18%, signal=32%	
JNK_DN.V1_DN	JNK_DN.V1_DN		162	-0.28516898	-1.351402	0.048780486	0.34359464	0.93	4413	tags=37%, list=26%, signal=50%	
KRAS.600.LUNG.BREAST_UP.V1_UP	KRAS.600.LUNG.BREAST_UP.V1_UP		228	-0.28779885	-1.3475375	0.056603774	0.33909097	0.936	3237	tags=31%, list=19%, signal=37%	
KRAS.PROSTATE_UP.V1_UP	KRAS.PROSTATE_UP.V1_UP		119	-0.31415582	-1.337526	0.1061008	0.3455014	0.948	5057	tags=44%, list=30%, signal=62%	
TGFB_UP.V1_DN	TGFB_UP.V1_DN		177	-0.27750942	-1.3369565	0.0604534	0.33465996	0.948	2725	tags=24%, list=16%, signal=28%	
YAP1_DN	YAP1_DN		36	-0.36952803	-1.332992	0.09030837	0.33054727	0.951	4538	tags=47%, list=27%, signal=64%	
AKT_UP_MTOR_DN.V1_DN	AKT_UP_MTOR_DN.V1_DN		179	-0.27497342	-1.3309339	0.045698926	0.324279	0.953	3197	tags=28%, list=19%, signal=34%	
CAHOY_NEURONAL	CAHOY_NEURONAL		89	-0.36674666	-1.3069129	0.17560975	0.35941982	0.961	5290	tags=55%, list=31%, signal=80%	
STK33_DN	STK33_DN		268	-0.26565763	-1.3068483	0.057742782	0.3488791	0.961	3870	tags=31%, list=23%, signal=40%	
P53_DN.V2_DN	P53_DN.V2_DN		127	-0.28712463	-1.304051	0.07103825	0.34473628	0.964	3462	tags=30%, list=20%, signal=37%	
PKCA_DN.V1_UP	PKCA_DN.V1_UP		139	-0.29010004	-1.2945718	0.07608695	0.35376713	0.969	4258	tags=35%, list=25%, signal=47%	
IL21_UP.V1_DN	IL21_UP.V1_DN		147	-0.29258373	-1.2896011	0.105405405	0.3543696	0.972	2959	tags=29%, list=17%, signal=35%	
P53_DN.V2_UP	P53_DN.V2_UP		119	-0.3065245	-1.2885742	0.12912089	0.346856	0.974	5734	tags=47%, list=34%, signal=71%	
PRC2_SUZ12_UP.V1_UP	PRC2_SUZ12_UP.V1_UP		165	-0.280661	-1.2833151	0.083333336	0.34729564	0.975	4451	tags=36%, list=26%, signal=48%	
STK33_SKM_DN	STK33_SKM_DN		253	-0.2613829	-1.268962	0.05645161	0.3646013	0.978	3870	tags=32%, list=23%, signal=41%	
BMI1_DN_MEL18_DN.V1_DN	BMI1_DN_MEL18_DN.V1_DN		142	-0.30273938	-1.265429	0.16372795	0.3623346	0.982	3075	tags=30%, list=18%, signal=37%	
KRAS.AMP.LUNG_UP.V1_DN	KRAS.AMP.LUNG_UP.V1_DN		118	-0.29051602	-1.2533468	0.13829787	0.3765183	0.986	3937	tags=29%, list=23%, signal=37%	
STK33_NOMO_DN	STK33_NOMO_DN		269	-0.25739792	-1.2491735	0.09343434	0.37581217	0.987	3314	tags=27%, list=20%, signal=33%	
IL21_UP.V1_UP	IL21_UP.V1_UP		161	-0.26933968	-1.2314	0.15342465	0.3986568	0.988	4004	tags=34%, list=24%, signal=44%	
KRAS.LUNG_UP.V1_UP	KRAS.LUNG_UP.V1_UP		114	-0.28520674	-1.2280341	0.14945652	0.3959072	0.99	3834	tags=34%, list=23%, signal=44%	
HOXA9_DN.V1_UP	HOXA9_DN.V1_UP		190	-0.3370078	-1.219398	0.22478992	0.4051283	0.991	3884	tags=37%, list=23%, signal=47%	
ATM_DN.V1_DN	ATM_DN.V1_DN		113	-0.2825403	-1.2170855	0.16030534	0.40100396	0.991	4139	tags=32%, list=24%, signal=42%	
LEF1_UP.V1_UP	LEF1_UP.V1_UP		186	-0.31120807	-1.2112851	0.19464721	0.40449816	0.991	4754	tags=41%, list=28%, signal=56%	
DCA_UP.V1_DN	DCA_UP.V1_DN		164	-0.25914937	-1.1937797	0.16067146	0.43093944	0.995	4128	tags=33%, list=24%, signal=43%	
NOTCH_DN.V1_DN	NOTCH_DN.V1_DN		149	-0.25951263	-1.1924263	0.15512465	0.42489496	0.995	4628	tags=36%, list=27%, signal=49%	
WNT_UP.V1_DN	WNT_UP.V1_DN		153	-0.24853651	-1.177722	0.18598382	0.44711316	0.997	3221	tags=26%, list=19%, signal=32%	
CAHOY_OLIGODENDROCUTIC	CAHOY_OLIGODENDROCUTIC		94	-0.25605977	-1.176583	0.16876574	0.4407662	0.997	3649	tags=32%, list=22%, signal=40%	
RPS14_DN.V1_UP	RPS14_DN.V1_UP		183	-0.3321575	-1.1695997	0.28540772	0.44652218	0.997	5561	tags=49%, list=33%, signal=72%	
MEL18_DN.V1_DN	MEL18_DN.V1_DN		143	-0.2685129	-1.1693286	0.21167883	0.4387973	0.997	3761	tags=32%, list=22%, signal=41%	
KRAS.600_UP.V1_DN	KRAS.600_UP.V1_DN		230	-0.24106851	-1.1672468	0.17567568	0.43461147	0.997	3645	tags=26%, list=22%, signal=32%	
PRC2_SUZ12_UP.V1_DN	PRC2_SUZ12_UP.V1_DN		156	-0.23873338	-1.1645825	0.16938111	0.43133345	0.997	3738	tags=29%, list=22%, signal=37%	
NRL_DN.V1_DN	NRL_DN.V1_DN		121	-0.24926881	-1.1582581	0.19059406	0.4368387	0.997	4833	tags=38%, list=29%, signal=53%	
E2F1_UP.V1_DN	E2F1_UP.V1_DN		184	-0.24216563	-1.1463677	0.22194514	0.45265168	0.997	2704	tags=23%, list=16%, signal=28%	
ATF2_S_UP.V1_DN	ATF2_S_UP.V1_DN		177	-0.26243755	-1.1226959	0.3004926	0.49402645	0.999	3499	tags=27%, list=21%, signal=34%	
ALK_DN.V1_UP	ALK_DN.V1_UP		118	-0.26912344	-1.1211632	0.27653632	0.48940843	0.999	4844	tags=41%, list=29%, signal=57%	
LTE2_UP.V1_UP	LTE2_UP.V1_UP		186	-0.24442236	-1.1206782	0.25853658	0.48277444	0.999	4184	tags=32%, list=25%, signal=42%	
ATF2_UP.V1_DN	ATF2_UP.V1_DN		179	-0.26994208	-1.1192595	0.296875	0.4777028	0.999	3501	tags=27%, list=21%, signal=33%	
KRAS.DF.V1_DN	KRAS.DF.V1_DN		174	-0.232432	-1.1172096	0.23037975	0.4741225	0.999	4037	tags=30%, list=24%, signal=39%	
NOTCH_DN.V1_UP	NOTCH_DN.V1_UP		162	-0.23095825	-1.1148405	0.2320442	0.47194594	0.999	3792	tags=30%, list=22%, signal=39%	
VEGF_A_UP.V1_UP	VEGF_A_UP.V1_UP		184	-0.25571805	-1.1114234	0.28395063	0.47113362	0.999	4064	tags=30%, list=24%, signal=40%	
PGF_UP.V1_DN	PGF_UP.V1_DN		163	-0.25107178	-1.1055607	0.3137755	0.47633561	0.999	2975	tags=26%, list=18%, signal=32%	
PTEN_DN.V2_UP	PTEN_DN.V2_UP		123	-0.2616796	-1.1017991	0.29280397	0.47681838	0.999	3796	tags=31%, list=22%, signal=40%	
JAK2_DN.V1_UP	JAK2_DN.V1_UP		142	-0.24585031	-1.1009905	0.29545453	0.47149578	0.999	4838	tags=37%, list=29%, signal=51%	
SRC_UP.V1_UP	SRC_UP.V1_UP		142	-0.2641399	-1.0938057	0.296875	0.4785231	0.999	4443	tags=35%, list=26%, signal=46%	
ATM_DN.V1_UP	ATM_DN.V1_UP		118	-0.24585827	-1.0906124	0.29946524	0.4786264	0.999	4652	tags=35%, list=27%, signal=48%	
SNF5_DN.V1_DN	SNF5_DN.V1_DN		142	-0.22685842	-1.0761075	0.3033033	0.50260943	0.999	2460	tags=20%, list=15%, signal=24%	
PDGF_UP.V1_DN	PDGF_UP.V1_DN		111	-0.23805661	-1.0755761	0.31005585	0.49689013	0.999	5309	tags=41%, list=31%, signal=60%	
ESC_J1_UP_LATE.V1_DN	ESC_J1_UP_LATE.V1_DN		161	-0.23119739	-1.07518	0.30319148	0.49080193	0.999	4449	tags=31%, list=26%, signal=42%	
STK33_SKM_UP	STK33_SKM_UP		262	-0.27432972	-1.0641993	0.3638298	0.5079096	0.999	4888	tags=38%, list=29%, signal=53%	
BMI1_DN.V1_DN	BMI1_DN.V1_DN		130	-0.24153285	-1.056201	0.35038364	0.518567	0.999	3820	tags=32%, list=23%, signal=40%	
PKCA_DN.V1_DN	PKCA_DN.V1_DN		137	-0.22290085	-1.0530825	0.34889436	0.5186532	0.999	4003	tags=28%, list=24%, signal=37%	
CYCLIN_D1_UP.V1_DN	CYCLIN_D1_UP.V1_DN		176	-0.21959358	-1.0510846	0.33333334	0.5162074	0.999	3991	tags=26%, list=24%, signal=34%	
RELA_DN.V1_UP	RELA_DN.V1_UP		134	-0.23048636	-1.0418319	0.3897059	0.5289083	0.999	5429	tags=40%, list=32%, signal=59%	
ESC_V6.5_UP_EARLY.V1_UP	ESC_V6.5_UP_EARLY.V1_UP		149	-0.22121091	-1.0409617	0.36082473	0.5240462	0.999	4478	tags=32%, list=26%, signal=43%	
PTEN_DN.V2_DN	PTEN_DN.V2_DN		133	-0.21885702	-1.0181583	0.40159574	0.5654396	0.999	1752	tags=15%, list=10%, signal=17%	
KRAS.50_UP.V1_UP	KRAS.50_UP.V1_UP		47	-0.30887464	-1.003359	0.42105263	0.59080946	1.0	5850	tags=51%, list=35%, signal=78%	
KRAS.KIDNEY_UP.V1_DN	KRAS.KIDNEY_UP.V1_DN		110	-0.23732439	-0.99872494	0.4601227	0.5941449	1.0	3478	tags=29%, list=21%, signal=36%	
CAHOY_ASTROGLIAL	CAHOY_ASTROGLIAL		97	-0.24950951	-0.99731654	0.43867925	0.5900221	1.0	2616	tags=23%, list=15%, signal=27%	
SNF5_DN.V1_UP	SNF5_DN.V1_UP		164	-0.26052374	-0.9929669	0.45642203	0.59264284	1.0	3230	tags=27%, list=19%, signal=34%	
KRAS.300_UP.V1_DN	KRAS.300_UP.V1_DN		122	-0.218515	-0.99004936	0.47936508	0.59182644	1.0	3511	tags=25%, list=21%, signal=31%	
KRAS.LUNG.BREAST_UP.V1_UP	KRAS.LUNG.BREAST_UP.V1_UP		119	-0.2287337	-0.9871862	0.45652175	0.59059864	1.0	4411	tags=34%, list=26%, signal=45%	
STK33_NOMO_UP	STK33_NOMO_UP		284	-0.26068214	-0.9802156	0.49253732	0.5995316	1.0	3972	tags=31%, list=23%, signal=40%	
KRAS.BREAST_UP.V1_UP	KRAS.BREAST_UP.V1_UP		109	-0.22027595	-0.9799777	0.501548	0.5932683	1.0	3237	tags=26%, list=19%, signal=32%	
GCNP_SHH_UP_EARLY.V1_DN	GCNP_SHH_UP_EARLY.V1_DN		155	-0.19840632	-0.9781081	0.5088235	0.5911536	1.0	3793	tags=26%, list=22%, signal=34%	
HINATA_NFKB_IMMU_INF	HINATA_NFKB_IMMU_INF		15	-0.3872923	-0.97461206	0.4680851	0.5916969	1.0	3269	tags=33%, list=19%, signal=41%	
STK33_UP	STK33_UP		277	-0.24815358	-0.9530726	0.5208333	0.6313891	1.0	4723	tags=35%, list=28%, signal=47%	
E2F3_UP.V1_UP	E2F3_UP.V1_UP		178	-0.20483263	-0.95236474	0.53157896	0.6257483	1.0	3286	tags=25%, list=19%, signal=30%	
CAMP_UP.V1_DN	CAMP_UP.V1_DN		196	-0.23701274	-0.9465195	0.5074946	0.63079077	1.0	3920	tags=30%, list=23%, signal=39%	
PGF_UP.V1_UP	PGF_UP.V1_UP		188	-0.28834534	-0.9430545	0.53149605	0.6318659	1.0	6124	tags=46%, list=36%, signal=71%	
BRCA1_DN.V1_DN	BRCA1_DN.V1_DN		115	-0.21254002	-0.9394212	0.5689223	0.63309336	1.0	3896	tags=27%, list=23%, signal=35%	
CAHOY_ASTROCYTIC	CAHOY_ASTROCYTIC		92	-0.21664108	-0.93164504	0.57372653	0.64339066	1.0	3424	tags=26%, list=20%, signal=33%	
NFE2L2.V2	NFE2L2.V2		383	-0.18192339	-0.9213617	0.6426513	0.6590631	1.0	4934	tags=32%, list=29%, signal=44%	
WNT_UP.V1_UP	WNT_UP.V1_UP		151	-0.18728346	-0.88921785	0.7	0.7203334	1.0	3705	tags=26%, list=22%, signal=33%	
JAK2_DN.V1_DN	JAK2_DN.V1_DN		134	-0.22959998	-0.8758271	0.5782881	0.7411328	1.0	5809	tags=40%, list=34%, signal=60%	
ESC_J1_UP_EARLY.V1_DN	ESC_J1_UP_EARLY.V1_DN		165	-0.18271264	-0.87275225	0.73490816	0.74069846	1.0	4409	tags=27%, list=26%, signal=36%	
PRC2_EZH2_UP.V1_UP	PRC2_EZH2_UP.V1_UP		185	-0.19598173	-0.8637727	0.6764706	0.7525118	1.0	3252	tags=22%, list=19%, signal=27%	
NRL_DN.V1_UP	NRL_DN.V1_UP		128	-0.17977671	-0.84939116	0.8025	0.7770783	1.0	4360	tags=31%, list=26%, signal=42%	
