NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RUNDC3A	RUN domain containing 3A [Source:HGNC Symbol;Acc:HGNC:16984]	202	0.2537550628185272	0.00491381	No	
row_1	GOT1	glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]	371	0.23613259196281433	0.01067701	No	
row_2	TLCD4	TLC domain containing 4 [Source:HGNC Symbol;Acc:HGNC:26477]	440	0.23054389655590057	0.022028372	No	
row_3	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	559	0.22194668650627136	0.029824454	No	
row_4	PARM1	prostate androgen-regulated mucin-like protein 1 [Source:HGNC Symbol;Acc:HGNC:24536]	602	0.2188544124364853	0.041944727	No	
row_5	PDGFD	platelet derived growth factor D [Source:HGNC Symbol;Acc:HGNC:30620]	744	0.21019145846366882	0.04758414	No	
row_6	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]	772	0.20818227529525757	0.059885528	No	
row_7	KCNQ1	potassium voltage-gated channel subfamily Q member 1 [Source:HGNC Symbol;Acc:HGNC:6294]	966	0.19558151066303253	0.06144865	No	
row_8	NKAIN1	sodium/potassium transporting ATPase interacting 1 [Source:HGNC Symbol;Acc:HGNC:25743]	1367	0.17546549439430237	0.04932706	No	
row_9	KRT23	keratin 23 [Source:HGNC Symbol;Acc:HGNC:6438]	1703	0.16086986660957336	0.04010522	No	
row_10	PLAGL1	PLAG1 like zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:9046]	1746	0.15953128039836884	0.04826144	No	
row_11	PRKCH	protein kinase C eta [Source:HGNC Symbol;Acc:HGNC:9403]	1877	0.1554526686668396	0.05089891	No	
row_12	FDFT1	farnesyl-diphosphate farnesyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3629]	1977	0.15159381926059723	0.055126622	No	
row_13	LRG1	leucine rich alpha-2-glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:29480]	2143	0.14660577476024628	0.055086367	No	
row_14	ANGPTL1	angiopoietin like 1 [Source:HGNC Symbol;Acc:HGNC:489]	2217	0.1438974142074585	0.060349815	No	
row_15	CTRB1	chymotrypsinogen B1 [Source:HGNC Symbol;Acc:HGNC:2521]	2219	0.1438375562429428	0.069901615	No	
row_16	FAM3B	FAM3 metabolism regulating signaling molecule B [Source:HGNC Symbol;Acc:HGNC:1253]	2411	0.138279527425766	0.06775498	No	
row_17	TESC	tescalcin [Source:HGNC Symbol;Acc:HGNC:26065]	2760	0.12852349877357483	0.055596694	No	
row_18	FXR2	FMR1 autosomal homolog 2 [Source:HGNC Symbol;Acc:HGNC:4024]	2957	0.12303522974252701	0.052133325	No	
row_19	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	3118	0.11899785697460175	0.05054635	No	
