NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NCMAP	non-compact myelin associated protein [Source:HGNC Symbol;Acc:HGNC:29332]	183	0.2569234073162079	0.019679984	Yes	
row_1	SOX10	SRY-box transcription factor 10 [Source:HGNC Symbol;Acc:HGNC:11190]	483	0.22743836045265198	0.028965974	Yes	
row_2	RBM11	RNA binding motif protein 11 [Source:HGNC Symbol;Acc:HGNC:9897]	571	0.22097672522068024	0.05007278	Yes	
row_3	MAP3K15	mitogen-activated protein kinase kinase kinase 15 [Source:HGNC Symbol;Acc:HGNC:31689]	694	0.21398264169692993	0.06826964	Yes	
row_4	FIGN	fidgetin, microtubule severing factor [Source:HGNC Symbol;Acc:HGNC:13285]	720	0.21181300282478333	0.09196863	Yes	
row_5	DUSP19	dual specificity phosphatase 19 [Source:HGNC Symbol;Acc:HGNC:18894]	778	0.20766587555408478	0.11327431	Yes	
row_6	ZNF536	zinc finger protein 536 [Source:HGNC Symbol;Acc:HGNC:29025]	904	0.19933803379535675	0.12955186	Yes	
row_7	RCBTB1	RCC1 and BTB domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:18243]	997	0.1932014524936676	0.1470594	Yes	
row_8	USP16	ubiquitin specific peptidase 16 [Source:HGNC Symbol;Acc:HGNC:12614]	1182	0.184447780251503	0.158063	Yes	
row_9	CLYBL	citramalyl-CoA lyase [Source:HGNC Symbol;Acc:HGNC:18355]	1540	0.16772615909576416	0.1568053	Yes	
row_10	KIAA1958	KIAA1958 [Source:HGNC Symbol;Acc:HGNC:23427]	1589	0.16493195295333862	0.17356458	Yes	
row_11	CSDC2	cold shock domain containing C2 [Source:HGNC Symbol;Acc:HGNC:30359]	1758	0.15916889905929565	0.18251276	Yes	
row_12	CRYM	crystallin mu [Source:HGNC Symbol;Acc:HGNC:2418]	1797	0.15776583552360535	0.19901383	Yes	
row_13	ADGRL2	adhesion G protein-coupled receptor L2 [Source:HGNC Symbol;Acc:HGNC:18582]	2046	0.14968161284923553	0.20208341	Yes	
row_14	GALNT18	polypeptide N-acetylgalactosaminyltransferase 18 [Source:HGNC Symbol;Acc:HGNC:30488]	2066	0.1490967869758606	0.21868205	Yes	
