NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRPH	peripherin [Source:HGNC Symbol;Acc:HGNC:9461]	47	0.2915026545524597	0.016264696	No	
row_1	GOT1	glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]	371	0.23613259196281433	0.012439513	No	
row_2	ETS2	ETS proto-oncogene 2, transcription factor [Source:HGNC Symbol;Acc:HGNC:3489]	400	0.23316164314746857	0.026021414	No	
row_3	MTREX	Mtr4 exosome RNA helicase [Source:HGNC Symbol;Acc:HGNC:18734]	573	0.22086533904075623	0.030207051	No	
row_4	MAN2A2	mannosidase alpha class 2A member 2 [Source:HGNC Symbol;Acc:HGNC:6825]	1020	0.1921263337135315	0.016164245	No	
row_5	ALDH3A2	aldehyde dehydrogenase 3 family member A2 [Source:HGNC Symbol;Acc:HGNC:403]	1056	0.19055792689323425	0.026541512	No	
row_6	PPP3CB	protein phosphatase 3 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9315]	1232	0.18168939650058746	0.027985413	No	
row_7	TPTEP1	TPTE pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:43648]	1266	0.18024621903896332	0.037807457	No	
row_8	ADRA2A	adrenoceptor alpha 2A [Source:HGNC Symbol;Acc:HGNC:281]	1823	0.15721353888511658	0.014917544	No	
row_9	NRG1	neuregulin 1 [Source:HGNC Symbol;Acc:HGNC:7997]	1892	0.1550258994102478	0.021001467	No	
row_10	FGFR4	fibroblast growth factor receptor 4 [Source:HGNC Symbol;Acc:HGNC:3691]	1999	0.15086576342582703	0.024545949	No	
row_11	TGFBR2	transforming growth factor beta receptor 2 [Source:HGNC Symbol;Acc:HGNC:11773]	2017	0.1504054069519043	0.033370577	No	
row_12	CHRNA5	cholinergic receptor nicotinic alpha 5 subunit [Source:HGNC Symbol;Acc:HGNC:1959]	2067	0.14908543229103088	0.040199548	No	
row_13	HSD17B10	hydroxysteroid 17-beta dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:4800]	2121	0.14731690287590027	0.04667417	No	
