NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APLP1	amyloid beta precursor like protein 1 [Source:HGNC Symbol;Acc:HGNC:597]	145	0.2640509605407715	0.0051124883	No	
row_1	MAPRE3	microtubule associated protein RP/EB family member 3 [Source:HGNC Symbol;Acc:HGNC:6892]	313	0.24098406732082367	0.007708079	No	
row_2	APH1B	aph-1 homolog B, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:24080]	434	0.2309473305940628	0.012587003	No	
row_3	MGAT4A	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A [Source:HGNC Symbol;Acc:HGNC:7047]	524	0.22449032962322235	0.018980457	No	
row_4	PLPP1	phospholipid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:9228]	532	0.22373028099536896	0.030231254	No	
row_5	FADS2	fatty acid desaturase 2 [Source:HGNC Symbol;Acc:HGNC:3575]	593	0.21937917172908783	0.03808999	No	
row_6	PARM1	prostate androgen-regulated mucin-like protein 1 [Source:HGNC Symbol;Acc:HGNC:24536]	602	0.2188544124364853	0.049026765	No	
row_7	LIMCH1	LIM and calponin homology domains 1 [Source:HGNC Symbol;Acc:HGNC:29191]	605	0.21877241134643555	0.060317576	No	
row_8	TENT5C	terminal nucleotidyltransferase 5C [Source:HGNC Symbol;Acc:HGNC:24712]	800	0.20606060326099396	0.059479285	No	
row_9	UPK1A	uroplakin 1A [Source:HGNC Symbol;Acc:HGNC:12577]	823	0.20473499596118927	0.06884358	No	
row_10	RRAGD	Ras related GTP binding D [Source:HGNC Symbol;Acc:HGNC:19903]	1117	0.1875896006822586	0.061129704	No	
row_11	VTCN1	V-set domain containing T cell activation inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28873]	1336	0.17650958895683289	0.05731689	No	
row_12	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:HGNC Symbol;Acc:HGNC:8604]	1353	0.17587828636169434	0.06553446	No	
row_13	ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10871]	1358	0.17580127716064453	0.074464634	No	
row_14	GUCY1B1	guanylate cyclase 1 soluble subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4687]	1486	0.17018438875675201	0.075756386	No	
row_15	EPAS1	endothelial PAS domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3374]	1554	0.16693834960460663	0.080461994	No	
row_16	DHRS7B	dehydrogenase/reductase 7B [Source:HGNC Symbol;Acc:HGNC:24547]	1687	0.16144010424613953	0.08099908	No	
row_17	PGPEP1	pyroglutamyl-peptidase I [Source:HGNC Symbol;Acc:HGNC:13568]	1763	0.15902914106845856	0.08481442	No	
row_18	PCOTH	prostate and testis expressed opposite C1QTNF9B and MIPEP [Source:HGNC Symbol;Acc:HGNC:39839]	1796	0.1578979641199112	0.0911387	No	
row_19	FGFR4	fibroblast growth factor receptor 4 [Source:HGNC Symbol;Acc:HGNC:3691]	1999	0.15086576342582703	0.086943924	No	
row_20	EPB41L4A	erythrocyte membrane protein band 4.1 like 4A [Source:HGNC Symbol;Acc:HGNC:13278]	2137	0.14699672162532806	0.086429104	No	
row_21	CA8	carbonic anhydrase 8 [Source:HGNC Symbol;Acc:HGNC:1382]	2647	0.1318015158176422	0.06290619	No	
row_22	PTGER4	prostaglandin E receptor 4 [Source:HGNC Symbol;Acc:HGNC:9596]	2679	0.13095533847808838	0.06788497	No	
row_23	SGPP1	sphingosine-1-phosphate phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:17720]	2732	0.1295347511768341	0.07153555	No	
row_24	CREB3L2	cAMP responsive element binding protein 3 like 2 [Source:HGNC Symbol;Acc:HGNC:23720]	2758	0.12859459221363068	0.076749526	No	
row_25	GUCY1A1	guanylate cyclase 1 soluble subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:4685]	2793	0.12765686213970184	0.08137711	No	
row_26	CYP1B1	cytochrome P450 family 1 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2597]	2856	0.1256708800792694	0.08422898	No	
row_27	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	3118	0.11899785697460175	0.07484867	No	
row_28	GAMT	guanidinoacetate N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4136]	3136	0.11852657794952393	0.08001529	No	
row_29	NNT	nicotinamide nucleotide transhydrogenase [Source:HGNC Symbol;Acc:HGNC:7863]	3170	0.11757279932498932	0.08417665	No	
row_30	AKR1B10	aldo-keto reductase family 1 member B10 [Source:HGNC Symbol;Acc:HGNC:382]	3348	0.11317694932222366	0.07950917	No	
row_31	TPK1	thiamin pyrophosphokinase 1 [Source:HGNC Symbol;Acc:HGNC:17358]	3787	0.10350953787565231	0.05875073	No	
row_32	DOCK10	dedicator of cytokinesis 10 [Source:HGNC Symbol;Acc:HGNC:23479]	3813	0.10288809984922409	0.06262396	No	
row_33	CSGALNACT1	chondroitin sulfate N-acetylgalactosaminyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:24290]	4142	0.09498921036720276	0.047990263	No	
row_34	EDN1	endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]	4150	0.09482976794242859	0.052518148	No	
row_35	PCDH8	protocadherin 8 [Source:HGNC Symbol;Acc:HGNC:8660]	4303	0.09154747426509857	0.048215546	No	
row_36	MSX2	msh homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7392]	4393	0.08988578617572784	0.04758859	No	
row_37	EPHX1	epoxide hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3401]	4449	0.08870355784893036	0.048930433	No	
row_38	FAM174B	family with sequence similarity 174 member B [Source:HGNC Symbol;Acc:HGNC:34339]	4521	0.08693365007638931	0.049224455	No	
row_39	ARNT2	aryl hydrocarbon receptor nuclear translocator 2 [Source:HGNC Symbol;Acc:HGNC:16876]	4578	0.08550803363323212	0.050339915	No	
row_40	MAOA	monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]	4580	0.0854792669415474	0.054738436	No	
row_41	DAB2	DAB adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:2662]	4654	0.08374276012182236	0.054746594	No	
row_42	C1orf115	chromosome 1 open reading frame 115 [Source:HGNC Symbol;Acc:HGNC:25873]	4719	0.0824609100818634	0.055225372	No	
row_43	ZNF467	zinc finger protein 467 [Source:HGNC Symbol;Acc:HGNC:23154]	4785	0.08133494108915329	0.055585705	No	
row_44	LMO3	LIM domain only 3 [Source:HGNC Symbol;Acc:HGNC:6643]	4842	0.08028921484947205	0.056428973	No	
row_45	SERPINA1	serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]	5003	0.07671000808477402	0.050874755	No	
row_46	ALDH4A1	aldehyde dehydrogenase 4 family member A1 [Source:HGNC Symbol;Acc:HGNC:406]	5027	0.0762396901845932	0.05347755	No	
row_47	NIBAN1	niban apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16784]	5058	0.07569839805364609	0.055634085	No	
row_48	GDPD3	glycerophosphodiester phosphodiesterase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28638]	5143	0.07397542148828506	0.054475907	No	
row_49	PRPS1	phosphoribosyl pyrophosphate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9462]	5209	0.072618767619133	0.054381642	No	
row_50	CADPS2	calcium dependent secretion activator 2 [Source:HGNC Symbol;Acc:HGNC:16018]	5220	0.07230745255947113	0.0575557	No	
row_51	PTMS	parathymosin [Source:HGNC Symbol;Acc:HGNC:9629]	5627	0.06459036469459534	0.036678422	No	
row_52	PDE4D	phosphodiesterase 4D [Source:HGNC Symbol;Acc:HGNC:8783]	5688	0.06330238282680511	0.03639685	No	
row_53	BCL3	BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998]	6044	0.05653054267168045	0.018144887	No	
row_54	CXCL8	C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]	6266	0.05178888142108917	0.0076480084	No	
row_55	MXRA7	matrix remodeling associated 7 [Source:HGNC Symbol;Acc:HGNC:7541]	6330	0.05051703378558159	0.006520448	No	
row_56	CDS2	CDP-diacylglycerol synthase 2 [Source:HGNC Symbol;Acc:HGNC:1801]	6377	0.04969809576869011	0.006365403	No	
row_57	SLC9A6	solute carrier family 9 member A6 [Source:HGNC Symbol;Acc:HGNC:11079]	6400	0.04928898438811302	0.0076222843	No	
row_58	UROS	uroporphyrinogen III synthase [Source:HGNC Symbol;Acc:HGNC:12592]	6474	0.048002008348703384	0.0057663573	No	
row_59	ANXA6	annexin A6 [Source:HGNC Symbol;Acc:HGNC:544]	6771	0.04283536225557327	-0.009676448	No	
row_60	PDE4B	phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]	6924	0.040482647716999054	-0.016642379	No	
row_61	SLC12A2	solute carrier family 12 member 2 [Source:HGNC Symbol;Acc:HGNC:10911]	7026	0.038716185837984085	-0.020654757	No	
row_62	DRAM1	DNA damage regulated autophagy modulator 1 [Source:HGNC Symbol;Acc:HGNC:25645]	7418	0.03193526715040207	-0.0423394	No	
row_63	SPAG4	sperm associated antigen 4 [Source:HGNC Symbol;Acc:HGNC:11214]	7674	0.027692247182130814	-0.056123514	No	
row_64	METRN	meteorin, glial cell differentiation regulator [Source:HGNC Symbol;Acc:HGNC:14151]	7738	0.02655600756406784	-0.05850078	No	
row_65	TBC1D8	TBC1 domain family member 8 [Source:HGNC Symbol;Acc:HGNC:17791]	7920	0.023448726162314415	-0.06808699	No	
row_66	TNFRSF11B	TNF receptor superfamily member 11b [Source:HGNC Symbol;Acc:HGNC:11909]	7958	0.022917071357369423	-0.06910135	No	
row_67	BMPR1B	bone morphogenetic protein receptor type 1B [Source:HGNC Symbol;Acc:HGNC:1077]	7961	0.022871660068631172	-0.0680279	No	
row_68	CLMN	calmin [Source:HGNC Symbol;Acc:HGNC:19972]	8264	0.017484890297055244	-0.085151196	No	
row_69	ABCC3	ATP binding cassette subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:54]	8511	0.01327280979603529	-0.09914989	No	
row_70	BACE2	beta-secretase 2 [Source:HGNC Symbol;Acc:HGNC:934]	8585	0.01195772085338831	-0.10288574	No	
row_71	CAPN5	calpain 5 [Source:HGNC Symbol;Acc:HGNC:1482]	8633	0.011077634058892727	-0.10511478	No	
row_72	VWA1	von Willebrand factor A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30910]	8759	0.008964256383478642	-0.11211216	No	
row_73	ACHE	acetylcholinesterase (Yt blood group) [Source:HGNC Symbol;Acc:HGNC:108]	8813	0.008135650306940079	-0.11485296	No	
row_74	MPI	mannose phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:7216]	8899	0.006605018395930529	-0.11958461	No	
row_75	SDCBP	syndecan binding protein [Source:HGNC Symbol;Acc:HGNC:10662]	8935	0.005991037935018539	-0.12136232	No	
row_76	ETV5	ETS variant transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:3494]	8973	0.005437181796878576	-0.123288356	No	
row_77	VIPR1	vasoactive intestinal peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:12694]	9146	0.002358244964852929	-0.13343708	No	
row_78	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]	9219	0.0012198813492432237	-0.13767324	No	
row_79	THEM6	thioesterase superfamily member 6 [Source:HGNC Symbol;Acc:HGNC:29656]	9404	-0.0021967270877212286	-0.14854702	No	
row_80	RFTN1	raftlin, lipid raft linker 1 [Source:HGNC Symbol;Acc:HGNC:30278]	9741	-0.008269395679235458	-0.16818142	No	
row_81	CRLF1	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	9762	-0.00860319472849369	-0.1689271	No	
row_82	ST6GALNAC2	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10867]	9818	-0.009680775925517082	-0.17170675	No	
row_83	WIPI1	WD repeat domain, phosphoinositide interacting 1 [Source:HGNC Symbol;Acc:HGNC:25471]	9824	-0.009725515730679035	-0.17149812	No	
row_84	CEACAM6	CEA cell adhesion molecule 6 [Source:HGNC Symbol;Acc:HGNC:1818]	9848	-0.010248135775327682	-0.17233716	No	
row_85	KIAA0513	KIAA0513 [Source:HGNC Symbol;Acc:HGNC:29058]	9871	-0.01074917335063219	-0.17309035	No	
row_86	PTPRE	protein tyrosine phosphatase receptor type E [Source:HGNC Symbol;Acc:HGNC:9669]	9911	-0.01151212863624096	-0.17481898	No	
row_87	MIA3	MIA SH3 domain ER export factor 3 [Source:HGNC Symbol;Acc:HGNC:24008]	10102	-0.015002232044935226	-0.1853832	No	
row_88	BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	10126	-0.01564064808189869	-0.185941	No	
row_89	AQP3	aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]	10271	-0.01806991919875145	-0.19359812	No	
row_90	S100P	S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]	10291	-0.018331076949834824	-0.19377671	No	
row_91	PLPP2	phospholipid phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:9230]	10296	-0.018383754417300224	-0.19305678	No	
row_92	CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	10360	-0.019621549174189568	-0.19579571	No	
row_93	RPRM	reprimo, TP53 dependent G2 arrest mediator homolog [Source:HGNC Symbol;Acc:HGNC:24201]	10456	-0.021329740062355995	-0.20035657	No	
row_94	FMO5	flavin containing dimethylaniline monoxygenase 5 [Source:HGNC Symbol;Acc:HGNC:3773]	10513	-0.022332843393087387	-0.20253608	No	
row_95	SERHL	serine hydrolase like (pseudogene) [Source:HGNC Symbol;Acc:HGNC:14408]	10745	-0.02626069262623787	-0.21496159	No	
row_96	STIP1	stress induced phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11387]	10770	-0.02668430097401142	-0.21500312	No	
row_97	PLEKHB1	pleckstrin homology domain containing B1 [Source:HGNC Symbol;Acc:HGNC:19079]	10824	-0.027555406093597412	-0.21673106	No	
row_98	MVD	mevalonate diphosphate decarboxylase [Source:HGNC Symbol;Acc:HGNC:7529]	11093	-0.03271083906292915	-0.23102978	No	
row_99	CEACAM5	CEA cell adhesion molecule 5 [Source:HGNC Symbol;Acc:HGNC:1817]	11117	-0.03308841958642006	-0.23067757	No	
row_100	BCAM	basal cell adhesion molecule (Lutheran blood group) [Source:HGNC Symbol;Acc:HGNC:6722]	11165	-0.034018147736787796	-0.23171014	No	
row_101	GDF15	growth differentiation factor 15 [Source:HGNC Symbol;Acc:HGNC:30142]	11219	-0.03504733741283417	-0.23304734	No	
row_102	VASP	vasodilator stimulated phosphoprotein [Source:HGNC Symbol;Acc:HGNC:12652]	11409	-0.03869568184018135	-0.24231608	No	
row_103	AKR1C2	aldo-keto reductase family 1 member C2 [Source:HGNC Symbol;Acc:HGNC:385]	11472	-0.03979984298348427	-0.24394289	No	
row_104	CSTA	cystatin A [Source:HGNC Symbol;Acc:HGNC:2481]	11712	-0.044452469795942307	-0.25589734	No	
row_105	PNRC1	proline rich nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:17278]	11820	-0.04655285179615021	-0.25985932	No	
row_106	HEY1	hes related family bHLH transcription factor with YRPW motif 1 [Source:HGNC Symbol;Acc:HGNC:4880]	11849	-0.04724692553281784	-0.25906727	No	
row_107	MYO1D	myosin ID [Source:HGNC Symbol;Acc:HGNC:7598]	11885	-0.04786333069205284	-0.2586611	No	
row_108	APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B [Source:HGNC Symbol;Acc:HGNC:17352]	11999	-0.050459254533052444	-0.26277763	No	
row_109	PCSK1N	proprotein convertase subtilisin/kexin type 1 inhibitor [Source:HGNC Symbol;Acc:HGNC:17301]	12032	-0.05113253369927406	-0.26202178	No	
row_110	SLC6A6	solute carrier family 6 member 6 [Source:HGNC Symbol;Acc:HGNC:11052]	12113	-0.05260453000664711	-0.2640557	No	
