NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GAP43	growth associated protein 43 [Source:HGNC Symbol;Acc:HGNC:4140]	3	0.346149206161499	0.020969257	No	
row_1	SLC8A3	solute carrier family 8 member A3 [Source:HGNC Symbol;Acc:HGNC:11070]	46	0.2915883958339691	0.03628064	No	
row_2	KIT	KIT proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6342]	159	0.2616305947303772	0.04558961	No	
row_3	CADPS	calcium dependent secretion activator [Source:HGNC Symbol;Acc:HGNC:1426]	274	0.2452128380537033	0.05377633	No	
row_4	CPE	carboxypeptidase E [Source:HGNC Symbol;Acc:HGNC:2303]	538	0.22320181131362915	0.051737607	No	
row_5	TSHZ2	teashirt zinc finger homeobox 2 [Source:HGNC Symbol;Acc:HGNC:13010]	709	0.21257637441158295	0.054592695	No	
row_6	PLCL2	phospholipase C like 2 [Source:HGNC Symbol;Acc:HGNC:9064]	1173	0.18482767045497894	0.038289122	No	
row_7	CAVIN2	caveolae associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10690]	1239	0.18118299543857574	0.045484416	No	
row_8	PTGR3	prostaglandin reductase 3 [Source:HGNC Symbol;Acc:HGNC:28697]	1354	0.1758582890033722	0.049433906	No	
row_9	CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	1729	0.16002213954925537	0.0369194	No	
row_10	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]	1792	0.15805767476558685	0.042880654	No	
row_11	DDHD1	DDHD domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19714]	1889	0.15514832735061646	0.0466377	No	
row_12	ADAM21	ADAM metallopeptidase domain 21 [Source:HGNC Symbol;Acc:HGNC:200]	2029	0.15004324913024902	0.047519967	No	
row_13	CRY2	cryptochrome circadian regulator 2 [Source:HGNC Symbol;Acc:HGNC:2385]	2033	0.14997151494026184	0.056503702	No	
row_14	STARD8	StAR related lipid transfer domain containing 8 [Source:HGNC Symbol;Acc:HGNC:19161]	2070	0.14897382259368896	0.06345963	No	
row_15	MRAS	muscle RAS oncogene homolog [Source:HGNC Symbol;Acc:HGNC:7227]	2369	0.13964861631393433	0.054230135	No	
row_16	SPINK1	serine peptidase inhibitor Kazal type 1 [Source:HGNC Symbol;Acc:HGNC:11244]	2412	0.1382276713848114	0.06017191	No	
row_17	C16orf89	chromosome 16 open reading frame 89 [Source:HGNC Symbol;Acc:HGNC:28687]	2437	0.13762585818767548	0.06714974	No	
row_18	CAMK4	calcium/calmodulin dependent protein kinase IV [Source:HGNC Symbol;Acc:HGNC:1464]	2665	0.1313522607088089	0.06164512	No	
row_19	RASSF8	Ras association domain family member 8 [Source:HGNC Symbol;Acc:HGNC:13232]	2718	0.12995655834674835	0.06648555	No	
row_20	PBX1	PBX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8632]	2767	0.12837092578411102	0.07146751	No	
row_21	MGP	matrix Gla protein [Source:HGNC Symbol;Acc:HGNC:7060]	3091	0.11965727806091309	0.0595266	No	
row_22	LBP	lipopolysaccharide binding protein [Source:HGNC Symbol;Acc:HGNC:6517]	3229	0.11601540446281433	0.05844913	No	
row_23	CCDC80	coiled-coil domain containing 80 [Source:HGNC Symbol;Acc:HGNC:30649]	3307	0.11414559930562973	0.06083354	No	
row_24	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	3584	0.10781785100698471	0.050970584	No	
row_25	ACTA1	actin alpha 1, skeletal muscle [Source:HGNC Symbol;Acc:HGNC:129]	3940	0.09976593405008316	0.035907146	No	
row_26	PNRC2	proline rich nuclear receptor coactivator 2 [Source:HGNC Symbol;Acc:HGNC:23158]	4320	0.09128009527921677	0.018894818	No	
row_27	SLC41A3	solute carrier family 41 member 3 [Source:HGNC Symbol;Acc:HGNC:31046]	4387	0.08995100855827332	0.020456674	No	
row_28	SCARA3	scavenger receptor class A member 3 [Source:HGNC Symbol;Acc:HGNC:19000]	4460	0.08855664730072021	0.021575727	No	
row_29	IGFBP7	insulin like growth factor binding protein 7 [Source:HGNC Symbol;Acc:HGNC:5476]	4544	0.08632510900497437	0.021902826	No	
row_30	SERPINF2	serpin family F member 2 [Source:HGNC Symbol;Acc:HGNC:9075]	4917	0.07867323607206345	0.004537493	No	
row_31	FGF2	fibroblast growth factor 2 [Source:HGNC Symbol;Acc:HGNC:3676]	5172	0.07332903891801834	-0.006121325	No	
row_32	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	5201	0.07285391539335251	-0.003339151	No	
row_33	GPX2	glutathione peroxidase 2 [Source:HGNC Symbol;Acc:HGNC:4554]	5669	0.06373390555381775	-0.02727938	No	
row_34	CALML4	calmodulin like 4 [Source:HGNC Symbol;Acc:HGNC:18445]	5805	0.060939181596040726	-0.03160254	No	
row_35	FGF17	fibroblast growth factor 17 [Source:HGNC Symbol;Acc:HGNC:3673]	5860	0.05986146628856659	-0.03116379	No	
row_36	TTYH2	tweety family member 2 [Source:HGNC Symbol;Acc:HGNC:13877]	5895	0.05925664305686951	-0.029569956	No	
row_37	DEGS2	delta 4-desaturase, sphingolipid 2 [Source:HGNC Symbol;Acc:HGNC:20113]	5977	0.057608552277088165	-0.030878099	No	
row_38	BCL3	BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998]	6044	0.05653054267168045	-0.031358074	No	
row_39	SP5	Sp5 transcription factor [Source:HGNC Symbol;Acc:HGNC:14529]	6078	0.055584050714969635	-0.029929016	No	
row_40	MOGAT2	monoacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:23248]	6154	0.05410166084766388	-0.031093802	No	
row_41	NID1	nidogen 1 [Source:HGNC Symbol;Acc:HGNC:7821]	6590	0.04606335610151291	-0.05420636	No	
