NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACSL6	acyl-CoA synthetase long chain family member 6 [Source:HGNC Symbol;Acc:HGNC:16496]	1653	0.16269953548908234	0.0026698792	No	
row_1	ZMYND11	zinc finger MYND-type containing 11 [Source:HGNC Symbol;Acc:HGNC:16966]	2555	0.13441592454910278	0.032341685	No	
row_2	FOLR1	folate receptor alpha [Source:HGNC Symbol;Acc:HGNC:3791]	5728	0.06245138868689537	-0.1166308	No	
row_3	RNF10	ring finger protein 10 [Source:HGNC Symbol;Acc:HGNC:10055]	5817	0.06069928780198097	-0.08438247	No	
row_4	YIPF1	Yip1 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:25231]	6376	0.04970564693212509	-0.08669968	No	
row_5	PPIL1	peptidylprolyl isomerase like 1 [Source:HGNC Symbol;Acc:HGNC:9260]	6988	0.03935233876109123	-0.09853762	No	
row_6	ESYT1	extended synaptotagmin 1 [Source:HGNC Symbol;Acc:HGNC:29534]	7229	0.03508938476443291	-0.09107511	No	
row_7	CCNL2	cyclin L2 [Source:HGNC Symbol;Acc:HGNC:20570]	10813	-0.02742990292608738	-0.2859502	No	
row_8	BTBD16	BTB domain containing 16 [Source:HGNC Symbol;Acc:HGNC:26340]	10881	-0.028661713004112244	-0.27222705	No	
row_9	CACUL1	CDK2 associated cullin domain 1 [Source:HGNC Symbol;Acc:HGNC:23727]	11580	-0.041765253990888596	-0.287719	No	
row_10	CD2AP	CD2 associated protein [Source:HGNC Symbol;Acc:HGNC:14258]	11827	-0.046766526997089386	-0.27340662	No	
row_11	SPECC1	sperm antigen with calponin homology and coiled-coil domains 1 [Source:HGNC Symbol;Acc:HGNC:30615]	14161	-0.09914190322160721	-0.35014674	Yes	
row_12	RUNX1	RUNX family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10471]	14617	-0.11149082332849503	-0.30825523	Yes	
row_13	GTDC1	glycosyltransferase like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20887]	15097	-0.12677845358848572	-0.25835028	Yes	
row_14	SEPTIN9	septin 9 [Source:HGNC Symbol;Acc:HGNC:7323]	16129	-0.176035538315773	-0.2106846	Yes	
row_15	SLC22A1	solute carrier family 22 member 1 [Source:HGNC Symbol;Acc:HGNC:10963]	16513	-0.2082219421863556	-0.10485593	Yes	
row_16	OPN3	opsin 3 [Source:HGNC Symbol;Acc:HGNC:14007]	16527	-0.21009434759616852	0.02399947	Yes	
