NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TGM3	transglutaminase 3 [Source:HGNC Symbol;Acc:HGNC:11779]	0	0.3668385446071625	0.021669181	Yes	
row_1	SELP	selectin P [Source:HGNC Symbol;Acc:HGNC:10721]	71	0.281684011220932	0.034136645	Yes	
row_2	LYVE1	lymphatic vessel endothelial hyaluronan receptor 1 [Source:HGNC Symbol;Acc:HGNC:14687]	112	0.27056455612182617	0.047735125	Yes	
row_3	MEOX1	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]	184	0.25672203302383423	0.058668487	Yes	
row_4	SCN3A	sodium voltage-gated channel alpha subunit 3 [Source:HGNC Symbol;Acc:HGNC:10590]	239	0.24933625757694244	0.07017868	Yes	
row_5	CLGN	calmegin [Source:HGNC Symbol;Acc:HGNC:2060]	319	0.24067045748233795	0.07968712	Yes	
row_6	SPATA1	spermatogenesis associated 1 [Source:HGNC Symbol;Acc:HGNC:14682]	335	0.23961758613586426	0.09294743	Yes	
row_7	PDCD4	programmed cell death 4 [Source:HGNC Symbol;Acc:HGNC:8763]	374	0.2360946238040924	0.10462896	Yes	
row_8	RLN2	relaxin 2 [Source:HGNC Symbol;Acc:HGNC:10027]	392	0.23405218124389648	0.11744133	Yes	
row_9	VWF	von Willebrand factor [Source:HGNC Symbol;Acc:HGNC:12726]	412	0.2325299233198166	0.13004458	Yes	
row_10	SEMA6D	semaphorin 6D [Source:HGNC Symbol;Acc:HGNC:16770]	436	0.23091039061546326	0.14231381	Yes	
row_11	ADGRL4	adhesion G protein-coupled receptor L4 [Source:HGNC Symbol;Acc:HGNC:20822]	456	0.2294652760028839	0.15473603	Yes	
row_12	ERC2	ELKS/RAB6-interacting/CAST family member 2 [Source:HGNC Symbol;Acc:HGNC:31922]	491	0.22678259015083313	0.16610588	Yes	
row_13	FAM124B	family with sequence similarity 124 member B [Source:HGNC Symbol;Acc:HGNC:26224]	526	0.22427156567573547	0.1773274	Yes	
row_14	CRHBP	corticotropin releasing hormone binding protein [Source:HGNC Symbol;Acc:HGNC:2356]	579	0.22008202970027924	0.18722872	Yes	
row_15	SNRPN	small nuclear ribonucleoprotein polypeptide N [Source:HGNC Symbol;Acc:HGNC:11164]	618	0.21823161840438843	0.19785509	Yes	
row_16	WNT4	Wnt family member 4 [Source:HGNC Symbol;Acc:HGNC:12783]	723	0.2114013433456421	0.20414473	Yes	
row_17	MAP2K6	mitogen-activated protein kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6846]	793	0.2063932865858078	0.21222435	Yes	
row_18	CCR2	C-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:1603]	847	0.2029101401567459	0.22105175	Yes	
row_19	KCNQ1	potassium voltage-gated channel subfamily Q member 1 [Source:HGNC Symbol;Acc:HGNC:6294]	966	0.19558151066303253	0.22557259	Yes	
row_20	CEACAM7	CEA cell adhesion molecule 7 [Source:HGNC Symbol;Acc:HGNC:1819]	1052	0.19062235951423645	0.2317671	Yes	
