NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KIF5C	kinesin family member 5C [Source:HGNC Symbol;Acc:HGNC:6325]	36	0.297811895608902	0.039967857	Yes	
row_1	FGF9	fibroblast growth factor 9 [Source:HGNC Symbol;Acc:HGNC:3687]	69	0.282550185918808	0.078015134	Yes	
row_2	A2M	alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]	122	0.2695343494415283	0.11303811	Yes	
row_3	CHGB	chromogranin B [Source:HGNC Symbol;Acc:HGNC:1930]	181	0.2570303678512573	0.14593817	Yes	
row_4	NRCAM	neuronal cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:7994]	219	0.2514428198337555	0.17929192	Yes	
row_5	SNAP91	synaptosome associated protein 91 [Source:HGNC Symbol;Acc:HGNC:14986]	262	0.24688957631587982	0.21170594	Yes	
row_6	PEG3	paternally expressed 3 [Source:HGNC Symbol;Acc:HGNC:8826]	265	0.24610526859760284	0.24637775	Yes	
row_7	SCG5	secretogranin V [Source:HGNC Symbol;Acc:HGNC:10816]	297	0.24265232682228088	0.27884415	Yes	
row_8	SCG3	secretogranin III [Source:HGNC Symbol;Acc:HGNC:13707]	316	0.24081315100193024	0.3118204	Yes	
row_9	RELN	reelin [Source:HGNC Symbol;Acc:HGNC:9957]	488	0.22693873941898346	0.33377507	Yes	
row_10	SNAP25	synaptosome associated protein 25 [Source:HGNC Symbol;Acc:HGNC:11132]	640	0.21689316630363464	0.35549402	Yes	
row_11	NALF2	NALCN channel auxiliary factor 2 [Source:HGNC Symbol;Acc:HGNC:30701]	657	0.21611256897449493	0.3850969	Yes	
row_12	DYNC1I1	dynein cytoplasmic 1 intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:2963]	1085	0.18940751254558563	0.38658646	Yes	
row_13	HPN	hepsin [Source:HGNC Symbol;Acc:HGNC:5155]	1283	0.1794343739748001	0.40028614	Yes	
row_14	GLDC	glycine decarboxylase [Source:HGNC Symbol;Acc:HGNC:4313]	1437	0.17252342402935028	0.4156144	Yes	
row_15	PPBP	pro-platelet basic protein [Source:HGNC Symbol;Acc:HGNC:9240]	1541	0.16758397221565247	0.43320525	Yes	
row_16	IL1RL1	interleukin 1 receptor like 1 [Source:HGNC Symbol;Acc:HGNC:5998]	1744	0.159556582570076	0.4437988	Yes	
row_17	HSD11B1	hydroxysteroid 11-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5208]	2162	0.14581085741519928	0.43971756	No	
