NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CRABP1	cellular retinoic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2338]	21	0.3178757131099701	0.0247197	Yes	
row_1	RUNDC3B	RUN domain containing 3B [Source:HGNC Symbol;Acc:HGNC:30286]	90	0.2771666347980499	0.043318585	Yes	
row_2	SCN7A	sodium voltage-gated channel alpha subunit 7 [Source:HGNC Symbol;Acc:HGNC:10594]	140	0.2660139203071594	0.0621363	Yes	
row_3	GLS2	glutaminase 2 [Source:HGNC Symbol;Acc:HGNC:29570]	194	0.25435200333595276	0.07976342	Yes	
row_4	PPM1E	protein phosphatase, Mg2+/Mn2+ dependent 1E [Source:HGNC Symbol;Acc:HGNC:19322]	268	0.24593855440616608	0.0955138	Yes	
row_5	SERPINA10	serpin family A member 10 [Source:HGNC Symbol;Acc:HGNC:15996]	631	0.21721813082695007	0.091730855	Yes	
row_6	CACNA1A	calcium voltage-gated channel subunit alpha1 A [Source:HGNC Symbol;Acc:HGNC:1388]	757	0.20940618216991425	0.10140427	Yes	
row_7	PTGFR	prostaglandin F receptor [Source:HGNC Symbol;Acc:HGNC:9600]	969	0.19532915949821472	0.1048132	Yes	
row_8	ZNF37BP	zinc finger protein 37B, pseudogene [Source:HGNC Symbol;Acc:HGNC:13103]	1066	0.19017301499843597	0.11464004	Yes	
row_9	MAML3	mastermind like transcriptional coactivator 3 [Source:HGNC Symbol;Acc:HGNC:16272]	1086	0.18939045071601868	0.12898219	Yes	
row_10	IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	1110	0.18798671662807465	0.14297177	Yes	
row_11	SOBP	sine oculis binding protein homolog [Source:HGNC Symbol;Acc:HGNC:29256]	1116	0.18761588633060455	0.15800154	Yes	
row_12	SERPING1	serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]	1344	0.17602114379405975	0.15888159	Yes	
row_13	RAMP3	receptor activity modifying protein 3 [Source:HGNC Symbol;Acc:HGNC:9845]	1395	0.17431971430778503	0.17014895	Yes	
row_14	NPR1	natriuretic peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:7943]	1422	0.17304009199142456	0.18273908	Yes	
row_15	CCDC121	coiled-coil domain containing 121 [Source:HGNC Symbol;Acc:HGNC:25833]	1442	0.17216399312019348	0.19567393	Yes	
row_16	MAST3	microtubule associated serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:19036]	1549	0.16717131435871124	0.20302695	Yes	
row_17	APOL3	apolipoprotein L3 [Source:HGNC Symbol;Acc:HGNC:14868]	1550	0.1671483963727951	0.21668199	Yes	
row_18	HPR	haptoglobin-related protein [Source:HGNC Symbol;Acc:HGNC:5156]	1662	0.16235283017158508	0.22334401	Yes	
row_19	TSPAN12	tetraspanin 12 [Source:HGNC Symbol;Acc:HGNC:21641]	1776	0.15864020586013794	0.2295838	Yes	
row_20	FGGY	FGGY carbohydrate kinase domain containing [Source:HGNC Symbol;Acc:HGNC:25610]	2122	0.1472472995519638	0.22109565	Yes	
row_21	KCNJ3	potassium inwardly rectifying channel subfamily J member 3 [Source:HGNC Symbol;Acc:HGNC:6264]	2216	0.14396317303180695	0.22732583	Yes	
row_22	GADD45G	growth arrest and DNA damage inducible gamma [Source:HGNC Symbol;Acc:HGNC:4097]	2227	0.14356666803359985	0.23845968	Yes	
row_23	CYP21A2	cytochrome P450 family 21 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:2600]	2388	0.13896234333515167	0.24029678	Yes	
row_24	TM4SF4	transmembrane 4 L six family member 4 [Source:HGNC Symbol;Acc:HGNC:11856]	2452	0.13720490038394928	0.24775895	Yes	
row_25	GJA4	gap junction protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:4278]	2477	0.1365797221660614	0.2574894	Yes	
row_26	TRIM9	tripartite motif containing 9 [Source:HGNC Symbol;Acc:HGNC:16288]	2479	0.13653616607189178	0.26858416	Yes	
row_27	PBX1	PBX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8632]	2767	0.12837092578411102	0.2620032	Yes	
row_28	FRAS1	Fraser extracellular matrix complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19185]	2870	0.12530122697353363	0.26617357	Yes	
row_29	DPT	dermatopontin [Source:HGNC Symbol;Acc:HGNC:3011]	2896	0.12437424063682556	0.27484748	Yes	
row_30	PTENP1	phosphatase and tensin homolog pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:9589]	2918	0.12395578622817993	0.28372505	Yes	
row_31	PDE3A	phosphodiesterase 3A [Source:HGNC Symbol;Acc:HGNC:8778]	3008	0.1218537911772728	0.28838688	Yes	
row_32	ELMO1	engulfment and cell motility 1 [Source:HGNC Symbol;Acc:HGNC:16286]	3057	0.12066774815320969	0.29539013	Yes	
row_33	SLC8A1	solute carrier family 8 member A1 [Source:HGNC Symbol;Acc:HGNC:11068]	3198	0.11673855781555176	0.2966011	Yes	
row_34	RBM17	RNA binding motif protein 17 [Source:HGNC Symbol;Acc:HGNC:16944]	3220	0.11614923179149628	0.30484092	Yes	
row_35	EPHX2	epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402]	3343	0.11329243332147598	0.30684084	Yes	
row_36	DPYS	dihydropyrimidinase [Source:HGNC Symbol;Acc:HGNC:3013]	3517	0.1093551516532898	0.30548608	Yes	
row_37	ABCB1	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]	3566	0.10822919756174088	0.31147316	Yes	
row_38	KCNA3	potassium voltage-gated channel subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:6221]	3570	0.10816757380962372	0.32013142	Yes	
row_39	TTYH1	tweety family member 1 [Source:HGNC Symbol;Acc:HGNC:13476]	3582	0.10786068439483643	0.32828882	Yes	
row_40	P2RX1	purinergic receptor P2X 1 [Source:HGNC Symbol;Acc:HGNC:8533]	3595	0.10760863870382309	0.33636618	Yes	
row_41	P2RX7	purinergic receptor P2X 7 [Source:HGNC Symbol;Acc:HGNC:8537]	3629	0.1069222167134285	0.34313855	Yes	
row_42	LATS1	large tumor suppressor kinase 1 [Source:HGNC Symbol;Acc:HGNC:6514]	3733	0.10464593768119812	0.34556204	Yes	
row_43	FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]	3782	0.10363306850194931	0.35117367	Yes	
row_44	SV2B	synaptic vesicle glycoprotein 2B [Source:HGNC Symbol;Acc:HGNC:16874]	3887	0.10135959088802338	0.3532692	Yes	
row_45	TEX15	testis expressed 15, meiosis and synapsis associated [Source:HGNC Symbol;Acc:HGNC:11738]	3997	0.09839227050542831	0.35482496	Yes	
row_46	EGFL7	EGF like domain multiple 7 [Source:HGNC Symbol;Acc:HGNC:20594]	4058	0.09690902382135391	0.35917363	Yes	
row_47	NOS1	nitric oxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:7872]	4236	0.09299750626087189	0.35624465	Yes	
row_48	CLSTN3	calsyntenin 3 [Source:HGNC Symbol;Acc:HGNC:18371]	4267	0.09241581708192825	0.36201036	Yes	
row_49	NOX5	NADPH oxidase 5 [Source:HGNC Symbol;Acc:HGNC:14874]	4418	0.08933880925178528	0.36038822	Yes	
row_50	UGT2A3	UDP glucuronosyltransferase family 2 member A3 [Source:HGNC Symbol;Acc:HGNC:28528]	4444	0.08885139971971512	0.3661601	Yes	
row_51	KLF8	KLF transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:6351]	4511	0.0871041789650917	0.3693509	Yes	
row_52	WT1-AS	WT1 antisense RNA [Source:HGNC Symbol;Acc:HGNC:18135]	4618	0.08471180498600006	0.3699675	Yes	
row_53	YPEL1	yippee like 1 [Source:HGNC Symbol;Acc:HGNC:12845]	5196	0.0729328840970993	0.34161106	No	
row_54	EXOSC1	exosome component 1 [Source:HGNC Symbol;Acc:HGNC:17286]	5639	0.06440514326095581	0.32058653	No	
row_55	CA5B	carbonic anhydrase 5B [Source:HGNC Symbol;Acc:HGNC:1378]	5911	0.059009797871112823	0.30929074	No	
row_56	ALOX12B	arachidonate 12-lipoxygenase, 12R type [Source:HGNC Symbol;Acc:HGNC:430]	6280	0.051583096385002136	0.29161954	No	
row_57	MYOM2	myomesin 2 [Source:HGNC Symbol;Acc:HGNC:7614]	6327	0.05054433271288872	0.29301307	No	
row_58	PGGHG	protein-glucosylgalactosylhydroxylysine glucosidase [Source:HGNC Symbol;Acc:HGNC:26210]	6644	0.044895946979522705	0.27788806	No	
row_59	LAIR1	leukocyte associated immunoglobulin like receptor 1 [Source:HGNC Symbol;Acc:HGNC:6477]	6651	0.04482271149754524	0.281193	No	
row_60	DENND2D	DENN domain containing 2D [Source:HGNC Symbol;Acc:HGNC:26192]	6691	0.04420137777924538	0.28248462	No	
row_61	PI15	peptidase inhibitor 15 [Source:HGNC Symbol;Acc:HGNC:8946]	6707	0.04386892542243004	0.2851764	No	
row_62	CAMK1	calcium/calmodulin dependent protein kinase I [Source:HGNC Symbol;Acc:HGNC:1459]	6829	0.04190586134791374	0.2814039	No	
row_63	KIF25	kinesin family member 25 [Source:HGNC Symbol;Acc:HGNC:6390]	7003	0.03908519819378853	0.2743085	No	
row_64	TRAPPC14	trafficking protein particle complex subunit 14 [Source:HGNC Symbol;Acc:HGNC:25604]	7035	0.03853122889995575	0.27561268	No	
row_65	DPEP2	dipeptidase 2 [Source:HGNC Symbol;Acc:HGNC:23028]	7041	0.03844970464706421	0.27845645	No	
row_66	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5 [Source:HGNC Symbol;Acc:HGNC:221]	7086	0.0378841795027256	0.27893466	No	
row_67	BORCS6	BLOC-1 related complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:25939]	7604	0.0289186742156744	0.2505508	No	
row_68	NDNF	neuron derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:26256]	7622	0.02864440716803074	0.25187987	No	
row_69	ATP6V1B1	ATPase H+ transporting V1 subunit B1 [Source:HGNC Symbol;Acc:HGNC:853]	7798	0.02564862184226513	0.24356784	No	
row_70	FGR	FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]	7944	0.023102786391973495	0.23683195	No	
row_71	CCDC57	coiled-coil domain containing 57 [Source:HGNC Symbol;Acc:HGNC:27564]	8138	0.019525209441781044	0.2269492	No	
row_72	PF4V1	platelet factor 4 variant 1 [Source:HGNC Symbol;Acc:HGNC:8862]	8153	0.019226638600230217	0.22768731	No	
row_73	SIDT1	SID1 transmembrane family member 1 [Source:HGNC Symbol;Acc:HGNC:25967]	8542	0.012608859688043594	0.20564274	No	
row_74	ASPHD1	aspartate beta-hydroxylase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:27380]	8682	0.010348500683903694	0.19822173	No	
row_75	PDE6B	phosphodiesterase 6B [Source:HGNC Symbol;Acc:HGNC:8786]	8729	0.00940847210586071	0.1962547	No	
row_76	ASIC1	acid sensing ion channel subunit 1 [Source:HGNC Symbol;Acc:HGNC:100]	8915	0.006265304517000914	0.18576445	No	
row_77	APOB	apolipoprotein B [Source:HGNC Symbol;Acc:HGNC:603]	9049	0.004145008511841297	0.17819346	No	
row_78	HOXB5	homeobox B5 [Source:HGNC Symbol;Acc:HGNC:5116]	9470	-0.0034169573336839676	0.15349492	No	
row_79	SELENBP1	selenium binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10719]	9484	-0.0037211752496659756	0.15302579	No	
row_80	PAQR6	progestin and adipoQ receptor family member 6 [Source:HGNC Symbol;Acc:HGNC:30132]	9543	-0.0047007277607917786	0.14996052	No	
row_81	SDS	serine dehydratase [Source:HGNC Symbol;Acc:HGNC:10691]	9626	-0.006324450485408306	0.14560059	No	
row_82	NAALADL1	N-acetylated alpha-linked acidic dipeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:23536]	9717	-0.007861624471843243	0.14089048	No	
row_83	HCN2	hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2 [Source:HGNC Symbol;Acc:HGNC:4846]	10268	-0.017996620386838913	0.109651804	No	
row_84	MEGF8	multiple EGF like domains 8 [Source:HGNC Symbol;Acc:HGNC:3233]	10287	-0.018257463350892067	0.11007286	No	
row_85	CDH12	cadherin 12 [Source:HGNC Symbol;Acc:HGNC:1751]	10500	-0.02210981585085392	0.09927131	No	
row_86	TNNI3	troponin I3, cardiac type [Source:HGNC Symbol;Acc:HGNC:11947]	10684	-0.025094129145145416	0.09043822	No	
row_87	TFF2	trefoil factor 2 [Source:HGNC Symbol;Acc:HGNC:11756]	10691	-0.02522795833647251	0.092142366	No	
row_88	CLDN8	claudin 8 [Source:HGNC Symbol;Acc:HGNC:2050]	10751	-0.026417061686515808	0.09079172	No	
row_89	MUC13	mucin 13, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7511]	10816	-0.02744339033961296	0.08922756	No	
row_90	MTHFR	methylenetetrahydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:7436]	10842	-0.02797565422952175	0.09002624	No	
row_91	SLC30A3	solute carrier family 30 member 3 [Source:HGNC Symbol;Acc:HGNC:11014]	11143	-0.03367513045668602	0.074936084	No	
row_92	TLR6	toll like receptor 6 [Source:HGNC Symbol;Acc:HGNC:16711]	11600	-0.04216606169939041	0.05126216	No	
row_93	LINC01124	long intergenic non-protein coding RNA 1124 [Source:HGNC Symbol;Acc:HGNC:49270]	12010	-0.0507366806268692	0.03108353	No	
row_94	SMPDL3B	sphingomyelin phosphodiesterase acid like 3B [Source:HGNC Symbol;Acc:HGNC:21416]	12361	-0.05704347416758537	0.0149289	No	
row_95	POLL	DNA polymerase lambda [Source:HGNC Symbol;Acc:HGNC:9184]	12563	-0.06174818053841591	0.008019752	No	
row_96	NCR3	natural cytotoxicity triggering receptor 3 [Source:HGNC Symbol;Acc:HGNC:19077]	12719	-0.06512467563152313	0.004122097	No	
row_97	GRIP2	glutamate receptor interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23841]	12875	-0.06843405216932297	4.9479865E-4	No	
row_98	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5 (inactive) [Source:HGNC Symbol;Acc:HGNC:3367]	12911	-0.06910907477140427	0.004059131	No	
row_99	NFATC4	nuclear factor of activated T cells 4 [Source:HGNC Symbol;Acc:HGNC:7778]	13671	-0.08707630634307861	-0.033965513	No	
row_100	RPL13P5	ribosomal protein L13 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:30363]	13783	-0.08945968002080917	-0.03325843	No	
row_101	KCNQ3	potassium voltage-gated channel subfamily Q member 3 [Source:HGNC Symbol;Acc:HGNC:6297]	13788	-0.08949195593595505	-0.026185343	No	
row_102	MYL9	myosin light chain 9 [Source:HGNC Symbol;Acc:HGNC:15754]	13950	-0.09376366436481476	-0.028100183	No	
row_103	NTF3	neurotrophin 3 [Source:HGNC Symbol;Acc:HGNC:8023]	14541	-0.10925417393445969	-0.054262474	No	
row_104	XYLB	xylulokinase [Source:HGNC Symbol;Acc:HGNC:12839]	14604	-0.11126814037561417	-0.048859704	No	
row_105	CDK18	cyclin dependent kinase 18 [Source:HGNC Symbol;Acc:HGNC:8751]	14655	-0.11246076226234436	-0.042645853	No	
row_106	EDIL3	EGF like repeats and discoidin domains 3 [Source:HGNC Symbol;Acc:HGNC:3173]	14853	-0.11884960532188416	-0.044652265	No	
row_107	SPTBN2	spectrin beta, non-erythrocytic 2 [Source:HGNC Symbol;Acc:HGNC:11276]	14943	-0.12159435451030731	-0.04001161	No	
row_108	SLC9A7	solute carrier family 9 member A7 [Source:HGNC Symbol;Acc:HGNC:17123]	14986	-0.12334302812814713	-0.032432977	No	
row_109	ANKRD1	ankyrin repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:15819]	15262	-0.13299810886383057	-0.037922256	No	
row_110	KDM4D	lysine demethylase 4D [Source:HGNC Symbol;Acc:HGNC:25498]	15341	-0.1358800083398819	-0.031460367	No	
row_111	NECTIN1	nectin cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:9706]	15375	-0.1371956765651703	-0.022214819	No	
row_112	DTX2	deltex E3 ubiquitin ligase 2 [Source:HGNC Symbol;Acc:HGNC:15973]	15453	-0.14049385488033295	-0.0153165385	No	
row_113	EGR4	early growth response 4 [Source:HGNC Symbol;Acc:HGNC:3241]	15834	-0.15798290073871613	-0.02500913	No	
row_114	DTNB	dystrobrevin beta [Source:HGNC Symbol;Acc:HGNC:3058]	15924	-0.16310183703899384	-0.016977556	No	
row_115	COL5A2	collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]	16393	-0.19497528672218323	-0.028881509	No	
row_116	PLBD1	phospholipase B domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26215]	16456	-0.20106737315654755	-0.016142666	No	
