NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GLS2	glutaminase 2 [Source:HGNC Symbol;Acc:HGNC:29570]	194	0.25435200333595276	0.0016741016	No	
row_1	CBR4	carbonyl reductase 4 [Source:HGNC Symbol;Acc:HGNC:25891]	283	0.24447740614414215	0.009164379	No	
row_2	SCG5	secretogranin V [Source:HGNC Symbol;Acc:HGNC:10816]	297	0.24265232682228088	0.021038989	No	
row_3	BEX4	brain expressed X-linked 4 [Source:HGNC Symbol;Acc:HGNC:25475]	337	0.23932264745235443	0.031187112	No	
row_4	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	362	0.23630985617637634	0.042074054	No	
row_5	PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D [Source:HGNC Symbol;Acc:HGNC:9277]	380	0.235688254237175	0.053346675	No	
row_6	PID1	phosphotyrosine interaction domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26084]	432	0.23102718591690063	0.062345583	No	
row_7	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	559	0.22194668650627136	0.06639158	No	
row_8	FADS2	fatty acid desaturase 2 [Source:HGNC Symbol;Acc:HGNC:3575]	593	0.21937917172908783	0.07585828	No	
row_9	ABHD10	abhydrolase domain containing 10, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:25656]	1275	0.17981483042240143	0.04455949	No	
row_10	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	1377	0.17496387660503387	0.04764913	No	
row_11	DPYSL2	dihydropyrimidinase like 2 [Source:HGNC Symbol;Acc:HGNC:3014]	1425	0.17295044660568237	0.05385902	No	
row_12	RASIP1	Ras interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24716]	1588	0.16495802998542786	0.05278368	No	
row_13	TIMP4	TIMP metallopeptidase inhibitor 4 [Source:HGNC Symbol;Acc:HGNC:11823]	1596	0.16469547152519226	0.060952242	No	
row_14	GNG11	G protein subunit gamma 11 [Source:HGNC Symbol;Acc:HGNC:4403]	1701	0.16090485453605652	0.063129716	No	
row_15	IL1RL1	interleukin 1 receptor like 1 [Source:HGNC Symbol;Acc:HGNC:5998]	1744	0.159556582570076	0.06893993	No	
row_16	KIN	Kin17 DNA and RNA binding protein [Source:HGNC Symbol;Acc:HGNC:6327]	1790	0.15814900398254395	0.07449758	No	
row_17	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]	1792	0.15805767476558685	0.08267844	No	
row_18	ANKRD46	ankyrin repeat domain 46 [Source:HGNC Symbol;Acc:HGNC:27229]	1888	0.15518037974834442	0.08509499	No	
row_19	SLC26A2	solute carrier family 26 member 2 [Source:HGNC Symbol;Acc:HGNC:10994]	1927	0.15366213023662567	0.0908368	No	
row_20	CUTC	cutC copper transporter [Source:HGNC Symbol;Acc:HGNC:24271]	1989	0.15112313628196716	0.09507252	No	
row_21	CPVL	carboxypeptidase vitellogenic like [Source:HGNC Symbol;Acc:HGNC:14399]	2011	0.1504916250705719	0.10166438	No	
row_22	PITPNC1	phosphatidylinositol transfer protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:21045]	2035	0.14989465475082397	0.10810566	No	
row_23	CHRNA5	cholinergic receptor nicotinic alpha 5 subunit [Source:HGNC Symbol;Acc:HGNC:1959]	2067	0.14908543229103088	0.114026934	No	
row_24	RGS17	regulator of G protein signaling 17 [Source:HGNC Symbol;Acc:HGNC:14088]	2215	0.14401954412460327	0.11275583	No	
row_25	KIF3A	kinesin family member 3A [Source:HGNC Symbol;Acc:HGNC:6319]	2275	0.14235664904117584	0.11665395	No	
row_26	SRPX	sushi repeat containing protein X-linked [Source:HGNC Symbol;Acc:HGNC:11309]	2280	0.1421564817428589	0.12382659	No	
row_27	BMP6	bone morphogenetic protein 6 [Source:HGNC Symbol;Acc:HGNC:1073]	2299	0.14158649742603302	0.13013335	No	
row_28	TFPI2	tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]	2316	0.14111937582492828	0.1365352	No	
row_29	AKAP12	A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]	2543	0.13471120595932007	0.1300604	No	
row_30	ACADVL	acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]	2602	0.1330038160085678	0.13353062	No	
row_31	RIDA	reactive intermediate imine deaminase A homolog [Source:HGNC Symbol;Acc:HGNC:16897]	2628	0.13229592144489288	0.13893491	No	
row_32	RGS2	regulator of G protein signaling 2 [Source:HGNC Symbol;Acc:HGNC:9998]	2653	0.1317354291677475	0.1443697	No	
row_33	AKR1C3	aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]	3046	0.12104401737451553	0.12726775	No	
row_34	ING2	inhibitor of growth family member 2 [Source:HGNC Symbol;Acc:HGNC:6063]	3085	0.1198854073882103	0.13124856	No	
row_35	ETFB	electron transfer flavoprotein subunit beta [Source:HGNC Symbol;Acc:HGNC:3482]	3688	0.10579956322908401	0.10080926	No	
row_36	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1 [Source:HGNC Symbol;Acc:HGNC:11097]	3689	0.10578577220439911	0.10632456	No	
row_37	HCLS1	hematopoietic cell-specific Lyn substrate 1 [Source:HGNC Symbol;Acc:HGNC:4844]	3732	0.10467272996902466	0.10927332	No	
row_38	REXO5	RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]	3880	0.1016668826341629	0.105794095	No	
row_39	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	4062	0.09680501371622086	0.10003068	No	
row_40	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	4163	0.0945359468460083	0.09898682	No	
row_41	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	4200	0.09367959946393967	0.101720795	No	
row_42	SLC4A7	solute carrier family 4 member 7 [Source:HGNC Symbol;Acc:HGNC:11033]	4260	0.0925673097372055	0.103023075	No	
row_43	TMEM135	transmembrane protein 135 [Source:HGNC Symbol;Acc:HGNC:26167]	4269	0.09236873686313629	0.10736105	No	
row_44	PRSS3	serine protease 3 [Source:HGNC Symbol;Acc:HGNC:9486]	4277	0.09224814921617508	0.111752465	No	
row_45	ARHGEF3	Rho guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:683]	4692	0.08295124769210815	0.0913505	No	
row_46	FKBP1B	FKBP prolyl isomerase 1B [Source:HGNC Symbol;Acc:HGNC:3712]	4962	0.0775754302740097	0.079328604	No	
row_47	GFPT2	glutamine-fructose-6-phosphate transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4242]	5009	0.07659025490283966	0.08057433	No	
