NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MEIS2	Meis homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7001]	12	0.3290967047214508	0.016019864	No	
row_1	NR2F2	nuclear receptor subfamily 2 group F member 2 [Source:HGNC Symbol;Acc:HGNC:7976]	116	0.2702988088130951	0.023614721	No	
row_2	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	362	0.23630985617637634	0.021000387	No	
row_3	CPE	carboxypeptidase E [Source:HGNC Symbol;Acc:HGNC:2303]	538	0.22320181131362915	0.02190003	No	
row_4	SCG2	secretogranin II [Source:HGNC Symbol;Acc:HGNC:10575]	548	0.22248679399490356	0.03267731	No	
row_5	SLC16A2	solute carrier family 16 member 2 [Source:HGNC Symbol;Acc:HGNC:10923]	553	0.2221311628818512	0.04373512	No	
row_6	UCHL1	ubiquitin C-terminal hydrolase L1 [Source:HGNC Symbol;Acc:HGNC:12513]	716	0.21235907077789307	0.044859745	No	
row_7	CAND2	cullin associated and neddylation dissociated 2 (putative) [Source:HGNC Symbol;Acc:HGNC:30689]	781	0.20744828879833221	0.05158747	No	
row_8	AMPH	amphiphysin [Source:HGNC Symbol;Acc:HGNC:471]	928	0.19762158393859863	0.05291817	No	
row_9	TPTEP1	TPTE pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:43648]	1266	0.18024621903896332	0.041958157	No	
row_10	AZGP1	alpha-2-glycoprotein 1, zinc-binding [Source:HGNC Symbol;Acc:HGNC:910]	1347	0.17599856853485107	0.046130907	No	
row_11	PRDX2	peroxiredoxin 2 [Source:HGNC Symbol;Acc:HGNC:9353]	1382	0.1748197227716446	0.052990958	No	
row_12	CNR1	cannabinoid receptor 1 [Source:HGNC Symbol;Acc:HGNC:2159]	1708	0.16069383919239044	0.041753266	No	
row_13	CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	1729	0.16002213954925537	0.048696894	No	
row_14	REEP2	receptor accessory protein 2 [Source:HGNC Symbol;Acc:HGNC:17975]	1960	0.15246190130710602	0.04271423	No	
row_15	CD24	CD24 molecule [Source:HGNC Symbol;Acc:HGNC:1645]	2157	0.14594227075576782	0.038430583	No	
row_16	KLK1	kallikrein 1 [Source:HGNC Symbol;Acc:HGNC:6357]	2467	0.13676336407661438	0.026931448	No	
row_17	GSTT1	glutathione S-transferase theta 1 [Source:HGNC Symbol;Acc:HGNC:4641]	2492	0.13604636490345	0.032416873	No	
row_18	SLIT2	slit guidance ligand 2 [Source:HGNC Symbol;Acc:HGNC:11086]	2796	0.12763051688671112	0.020811614	No	
row_19	RBP1	retinol binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9919]	2823	0.1266731172800064	0.025700906	No	
row_20	ZNF44	zinc finger protein 44 [Source:HGNC Symbol;Acc:HGNC:13110]	2889	0.12459603697061539	0.028155373	No	
row_21	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]	2892	0.12443484365940094	0.034364186	No	
row_22	ZNF415	zinc finger protein 415 [Source:HGNC Symbol;Acc:HGNC:20636]	2902	0.12432094663381577	0.040149145	No	
row_23	CRIM1	cysteine rich transmembrane BMP regulator 1 [Source:HGNC Symbol;Acc:HGNC:2359]	3146	0.11818947643041611	0.031647127	No	
row_24	EFEMP1	EGF containing fibulin extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3218]	3656	0.10632063448429108	0.0066552185	No	
row_25	USP1	ubiquitin specific peptidase 1 [Source:HGNC Symbol;Acc:HGNC:12607]	4251	0.09273158758878708	-0.024104219	No	
row_26	PRSS3	serine protease 3 [Source:HGNC Symbol;Acc:HGNC:9486]	4277	0.09224814921617508	-0.02090592	No	
row_27	TOX3	TOX high mobility group box family member 3 [Source:HGNC Symbol;Acc:HGNC:11972]	4362	0.09043202549219131	-0.021323632	No	
row_28	PLCE1	phospholipase C epsilon 1 [Source:HGNC Symbol;Acc:HGNC:17175]	4485	0.0878932997584343	-0.024139924	No	
row_29	LRIG1	leucine rich repeats and immunoglobulin like domains 1 [Source:HGNC Symbol;Acc:HGNC:17360]	4543	0.08632863312959671	-0.0231538	No	
row_30	SNHG3	small nucleolar RNA host gene 3 [Source:HGNC Symbol;Acc:HGNC:10118]	4729	0.08234666287899017	-0.030014712	No	
row_31	CORO2A	coronin 2A [Source:HGNC Symbol;Acc:HGNC:2255]	4945	0.07808414846658707	-0.038884085	No	
row_32	CRYBG1	crystallin beta-gamma domain containing 1 [Source:HGNC Symbol;Acc:HGNC:356]	5010	0.07657241076231003	-0.038812187	No	
row_33	NMNAT2	nicotinamide nucleotide adenylyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16789]	5133	0.07418928295373917	-0.042325407	No	
row_34	ZNF799	zinc finger protein 799 [Source:HGNC Symbol;Acc:HGNC:28071]	5525	0.0663955807685852	-0.062300444	No	
row_35	INPP1	inositol polyphosphate-1-phosphatase [Source:HGNC Symbol;Acc:HGNC:6071]	5776	0.06150241568684578	-0.0741034	No	
row_36	FOXN3	forkhead box N3 [Source:HGNC Symbol;Acc:HGNC:1928]	6103	0.05502737686038017	-0.09077459	No	
row_37	UQCRH	ubiquinol-cytochrome c reductase hinge protein [Source:HGNC Symbol;Acc:HGNC:12590]	6226	0.05272027105093002	-0.095379636	No	
row_38	LZTS3	leucine zipper tumor suppressor family member 3 [Source:HGNC Symbol;Acc:HGNC:30139]	6366	0.04992048069834709	-0.10114236	No	
row_39	MAP3K5	mitogen-activated protein kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6857]	6372	0.04977846145629883	-0.098909445	No	
row_40	CNN3	calponin 3 [Source:HGNC Symbol;Acc:HGNC:2157]	6552	0.04675533249974251	-0.10722205	No	
row_41	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	6786	0.04260818287730217	-0.1189706	No	
row_42	MYCL	MYCL proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7555]	6793	0.04250562563538551	-0.11716727	No	
row_43	CAMK1	calcium/calmodulin dependent protein kinase I [Source:HGNC Symbol;Acc:HGNC:1459]	6829	0.04190586134791374	-0.11712641	No	
row_44	MEST	mesoderm specific transcript [Source:HGNC Symbol;Acc:HGNC:7028]	6951	0.04004468396306038	-0.12231637	No	
row_45	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	7002	0.03908547759056091	-0.12331478	No	
row_46	C4BPB	complement component 4 binding protein beta [Source:HGNC Symbol;Acc:HGNC:1328]	7112	0.037499211728572845	-0.12791751	No	
row_47	THOC1	THO complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19070]	7125	0.03730940818786621	-0.12673679	No	
row_48	RNF11	ring finger protein 11 [Source:HGNC Symbol;Acc:HGNC:10056]	7588	0.029149116948246956	-0.15284635	No	
row_49	DMD	dystrophin [Source:HGNC Symbol;Acc:HGNC:2928]	7623	0.028641430661082268	-0.15342034	No	
row_50	CLIP3	CAP-Gly domain containing linker protein 3 [Source:HGNC Symbol;Acc:HGNC:24314]	7724	0.026769157499074936	-0.15803126	No	
row_51	DAAM1	dishevelled associated activator of morphogenesis 1 [Source:HGNC Symbol;Acc:HGNC:18142]	7861	0.024374129250645638	-0.164914	No	
row_52	RAMP1	receptor activity modifying protein 1 [Source:HGNC Symbol;Acc:HGNC:9843]	7962	0.022867977619171143	-0.16972332	No	
row_53	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	8266	0.017468443140387535	-0.18693097	No	
row_54	KHDRBS3	KH RNA binding domain containing, signal transduction associated 3 [Source:HGNC Symbol;Acc:HGNC:18117]	8414	0.015003575943410397	-0.19494721	No	
row_55	INHBB	inhibin subunit beta B [Source:HGNC Symbol;Acc:HGNC:6067]	8524	0.012958277016878128	-0.200798	No	
row_56	SCRN1	secernin 1 [Source:HGNC Symbol;Acc:HGNC:22192]	8797	0.008396490477025509	-0.21661562	No	
row_57	LAMP3	lysosomal associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:14582]	8800	0.008364573121070862	-0.21630968	No	
row_58	SAP30	Sin3A associated protein 30 [Source:HGNC Symbol;Acc:HGNC:10532]	9012	0.004906287416815758	-0.22866169	No	
row_59	KLF5	KLF transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]	9024	0.0046554794535040855	-0.22908188	No	
row_60	DSP	desmoplakin [Source:HGNC Symbol;Acc:HGNC:3052]	9044	0.00418254267424345	-0.23000391	No	
row_61	VIPR1	vasoactive intestinal peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:12694]	9146	0.002358244964852929	-0.23591599	No	
row_62	LHFPL2	LHFPL tetraspan subfamily member 2 [Source:HGNC Symbol;Acc:HGNC:6588]	9151	0.002287193899974227	-0.23603857	No	
row_63	ME3	malic enzyme 3 [Source:HGNC Symbol;Acc:HGNC:6985]	9273	1.9124237587675452E-4	-0.2432553	No	
row_64	CCN1	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]	9304	-4.588482261169702E-4	-0.24502367	No	
row_65	UNC13B	unc-13 homolog B [Source:HGNC Symbol;Acc:HGNC:12566]	9403	-0.0021909712813794613	-0.2507651	No	
row_66	CEACAM6	CEA cell adhesion molecule 6 [Source:HGNC Symbol;Acc:HGNC:1818]	9848	-0.010248135775327682	-0.27676088	No	
row_67	CDK2AP1	cyclin dependent kinase 2 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:14002]	9853	-0.010393748991191387	-0.27647117	No	
row_68	APBB2	amyloid beta precursor protein binding family B member 2 [Source:HGNC Symbol;Acc:HGNC:582]	9863	-0.01061602309346199	-0.27646878	No	
row_69	SMAGP	small cell adhesion glycoprotein [Source:HGNC Symbol;Acc:HGNC:26918]	9941	-0.012014049105346203	-0.28045645	No	
row_70	LTBP1	latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]	10141	-0.01605544239282608	-0.2915248	No	
row_71	S100P	S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]	10291	-0.018331076949834824	-0.29949126	No	
row_72	LRRC42	leucine rich repeat containing 42 [Source:HGNC Symbol;Acc:HGNC:28792]	10350	-0.01942824199795723	-0.30196714	No	
row_73	KLK10	kallikrein related peptidase 10 [Source:HGNC Symbol;Acc:HGNC:6358]	10413	-0.02052316628396511	-0.30462626	No	
row_74	AUTS2	activator of transcription and developmental regulator AUTS2 [Source:HGNC Symbol;Acc:HGNC:14262]	10453	-0.021291259676218033	-0.30587265	No	
row_75	TSPAN8	tetraspanin 8 [Source:HGNC Symbol;Acc:HGNC:11855]	10459	-0.02137920632958412	-0.305084	No	
row_76	OIP5	Opa interacting protein 5 [Source:HGNC Symbol;Acc:HGNC:20300]	10585	-0.02339148335158825	-0.31135976	No	
