NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYOT	myotilin [Source:HGNC Symbol;Acc:HGNC:12399]	44	0.29240965843200684	0.015214495	Yes	
row_1	TGFBR3	transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]	134	0.2669481635093689	0.026193582	Yes	
row_2	TMEM151B	transmembrane protein 151B [Source:HGNC Symbol;Acc:HGNC:21315]	280	0.24481746554374695	0.03248478	Yes	
row_3	NFASC	neurofascin [Source:HGNC Symbol;Acc:HGNC:29866]	376	0.23600415885448456	0.04121864	Yes	
row_4	TUSC3	tumor suppressor candidate 3 [Source:HGNC Symbol;Acc:HGNC:30242]	499	0.22628262639045715	0.04775013	Yes	
row_5	PDZK1	PDZ domain containing 1 [Source:HGNC Symbol;Acc:HGNC:8821]	512	0.22529847919940948	0.060778182	Yes	
row_6	HSPA12A	heat shock protein family A (Hsp70) member 12A [Source:HGNC Symbol;Acc:HGNC:19022]	695	0.21392811834812164	0.06297972	Yes	
row_7	UCHL1	ubiquitin C-terminal hydrolase L1 [Source:HGNC Symbol;Acc:HGNC:12513]	716	0.21235907077789307	0.07474162	Yes	
row_8	SSBP2	single stranded DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15831]	732	0.2108314037322998	0.08670836	Yes	
row_9	SELENOP	selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]	759	0.20905174314975739	0.09791087	Yes	
row_10	TENT5C	terminal nucleotidyltransferase 5C [Source:HGNC Symbol;Acc:HGNC:24712]	800	0.20606060326099396	0.10809646	Yes	
row_11	CAPN11	calpain 11 [Source:HGNC Symbol;Acc:HGNC:1478]	884	0.20094506442546844	0.11540695	Yes	
row_12	IL33	interleukin 33 [Source:HGNC Symbol;Acc:HGNC:16028]	1012	0.1924777626991272	0.1195783	Yes	
row_13	DEFB1	defensin beta 1 [Source:HGNC Symbol;Acc:HGNC:2766]	1106	0.1881987452507019	0.12551522	Yes	
row_14	RASL12	RAS like family 12 [Source:HGNC Symbol;Acc:HGNC:30289]	1125	0.18728411197662354	0.13586675	Yes	
row_15	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]	1151	0.18607613444328308	0.14572734	Yes	
row_16	GNAO1	G protein subunit alpha o1 [Source:HGNC Symbol;Acc:HGNC:4389]	1233	0.1816398650407791	0.15197943	Yes	
row_17	MTARC2	mitochondrial amidoxime reducing component 2 [Source:HGNC Symbol;Acc:HGNC:26064]	1242	0.18095573782920837	0.16254097	Yes	
row_18	PGR	progesterone receptor [Source:HGNC Symbol;Acc:HGNC:8910]	1464	0.17134957015514374	0.15982059	Yes	
row_19	SORBS2	sorbin and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24098]	1516	0.16879813373088837	0.16707748	Yes	
row_20	CDIP1	cell death inducing p53 target 1 [Source:HGNC Symbol;Acc:HGNC:13234]	1590	0.16492106020450592	0.17278655	Yes	
row_21	PRKN	parkin RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:8607]	1603	0.16449260711669922	0.1821054	Yes	
row_22	CYP39A1	cytochrome P450 family 39 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:17449]	1660	0.162367045879364	0.18867198	Yes	
row_23	HPR	haptoglobin-related protein [Source:HGNC Symbol;Acc:HGNC:5156]	1662	0.16235283017158508	0.19851598	Yes	
row_24	AQP1	aquaporin 1 (Colton blood group) [Source:HGNC Symbol;Acc:HGNC:633]	1750	0.15943698585033417	0.20305604	Yes	
row_25	ADRA2A	adrenoceptor alpha 2A [Source:HGNC Symbol;Acc:HGNC:281]	1823	0.15721353888511658	0.20835455	Yes	
row_26	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]	1861	0.15589915215969086	0.21565908	Yes	
row_27	MMRN2	multimerin 2 [Source:HGNC Symbol;Acc:HGNC:19888]	1926	0.15367282927036285	0.22121845	Yes	
row_28	PLPPR4	phospholipid phosphatase related 4 [Source:HGNC Symbol;Acc:HGNC:23496]	1937	0.1531755030155182	0.22996618	Yes	
row_29	CPVL	carboxypeptidase vitellogenic like [Source:HGNC Symbol;Acc:HGNC:14399]	2011	0.1504916250705719	0.23479505	Yes	
row_30	CCDC102B	coiled-coil domain containing 102B [Source:HGNC Symbol;Acc:HGNC:26295]	2120	0.1473291963338852	0.23734482	Yes	
row_31	CD1E	CD1e molecule [Source:HGNC Symbol;Acc:HGNC:1638]	2183	0.14505666494369507	0.2424978	Yes	
row_32	GADD45G	growth arrest and DNA damage inducible gamma [Source:HGNC Symbol;Acc:HGNC:4097]	2227	0.14356666803359985	0.24869241	Yes	
row_33	ARHGDIG	Rho GDP dissociation inhibitor gamma [Source:HGNC Symbol;Acc:HGNC:680]	2286	0.1419709324836731	0.25389558	Yes	
row_34	MACROH2A2	macroH2A.2 histone [Source:HGNC Symbol;Acc:HGNC:14453]	2333	0.14071062207221985	0.25973716	Yes	
row_35	CDKL2	cyclin dependent kinase like 2 [Source:HGNC Symbol;Acc:HGNC:1782]	2364	0.1397930532693863	0.26647645	Yes	
row_36	P2RX6	purinergic receptor P2X 6 [Source:HGNC Symbol;Acc:HGNC:8538]	2564	0.13410523533821106	0.26279545	Yes	
row_37	RGS2	regulator of G protein signaling 2 [Source:HGNC Symbol;Acc:HGNC:9998]	2653	0.1317354291677475	0.2655861	Yes	
row_38	HOXB2	homeobox B2 [Source:HGNC Symbol;Acc:HGNC:5113]	2802	0.1274271458387375	0.26453763	Yes	
row_39	NAP1L3	nucleosome assembly protein 1 like 3 [Source:HGNC Symbol;Acc:HGNC:7639]	2806	0.1273350566625595	0.27212632	Yes	
row_40	KANK3	KN motif and ankyrin repeat domains 3 [Source:HGNC Symbol;Acc:HGNC:24796]	2830	0.1265265941619873	0.27847356	Yes	
row_41	PTPRZ1	protein tyrosine phosphatase receptor type Z1 [Source:HGNC Symbol;Acc:HGNC:9685]	2953	0.12307329475879669	0.27870923	Yes	
row_42	GEMIN7	gem nuclear organelle associated protein 7 [Source:HGNC Symbol;Acc:HGNC:20045]	3026	0.1213439330458641	0.28181967	Yes	
row_43	ACSS3	acyl-CoA synthetase short chain family member 3 [Source:HGNC Symbol;Acc:HGNC:24723]	3074	0.1203131377696991	0.2863574	Yes	
row_44	MSMB	microseminoprotein beta [Source:HGNC Symbol;Acc:HGNC:7372]	3386	0.11238087713718414	0.2746754	Yes	
row_45	SLC26A4	solute carrier family 26 member 4 [Source:HGNC Symbol;Acc:HGNC:8818]	3408	0.11189472675323486	0.28024933	Yes	
row_46	OSGIN1	oxidative stress induced growth inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:30093]	3483	0.11024494469165802	0.2825635	Yes	
row_47	ZNF22	zinc finger protein 22 [Source:HGNC Symbol;Acc:HGNC:13012]	3496	0.10991820693016052	0.2885533	Yes	
row_48	LRRC19	leucine rich repeat containing 19 [Source:HGNC Symbol;Acc:HGNC:23379]	3589	0.10778023302555084	0.28964427	Yes	
row_49	EFNB3	ephrin B3 [Source:HGNC Symbol;Acc:HGNC:3228]	3590	0.10774588584899902	0.29621682	Yes	
row_50	C5	complement C5 [Source:HGNC Symbol;Acc:HGNC:1331]	3673	0.10609202086925507	0.29780084	Yes	
row_51	FNBP1L	formin binding protein 1 like [Source:HGNC Symbol;Acc:HGNC:20851]	3690	0.10577025264501572	0.3032992	Yes	
row_52	SLC16A7	solute carrier family 16 member 7 [Source:HGNC Symbol;Acc:HGNC:10928]	3691	0.10575027763843536	0.30975	Yes	
row_53	RARB	retinoic acid receptor beta [Source:HGNC Symbol;Acc:HGNC:9865]	3798	0.10327094793319702	0.3097314	Yes	
row_54	B3GAT1	beta-1,3-glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:921]	3909	0.10064823925495148	0.3093144	Yes	
row_55	CLPS	colipase [Source:HGNC Symbol;Acc:HGNC:2085]	3981	0.09864482283592224	0.3110998	Yes	
row_56	TNNT3	troponin T3, fast skeletal type [Source:HGNC Symbol;Acc:HGNC:11950]	4064	0.09677740931510925	0.31211564	Yes	
