NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LRRC4	leucine rich repeat containing 4 [Source:HGNC Symbol;Acc:HGNC:15586]	97	0.2747453451156616	0.016724547	No	
row_1	TLL1	tolloid like 1 [Source:HGNC Symbol;Acc:HGNC:11843]	185	0.2567169666290283	0.032567807	No	
row_2	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta [Source:HGNC Symbol;Acc:HGNC:9303]	193	0.25438836216926575	0.05297752	No	
row_3	SLCO2A1	solute carrier organic anion transporter family member 2A1 [Source:HGNC Symbol;Acc:HGNC:10955]	341	0.23890751600265503	0.063794956	No	
row_4	UBA5	ubiquitin like modifier activating enzyme 5 [Source:HGNC Symbol;Acc:HGNC:23230]	599	0.21896061301231384	0.06643841	No	
row_5	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1 [Source:HGNC Symbol;Acc:HGNC:217]	901	0.19944709539413452	0.06486794	No	
row_6	IL33	interleukin 33 [Source:HGNC Symbol;Acc:HGNC:16028]	1012	0.1924777626991272	0.07408448	No	
row_7	ANKFY1	ankyrin repeat and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20763]	1043	0.1910087764263153	0.08793785	No	
row_8	LIFR	LIF receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6597]	1522	0.168665811419487	0.07332236	No	
row_9	PPBP	pro-platelet basic protein [Source:HGNC Symbol;Acc:HGNC:9240]	1541	0.16758397221565247	0.08597158	No	
row_10	UNC119B	unc-119 lipid binding chaperone B [Source:HGNC Symbol;Acc:HGNC:16488]	1619	0.16375026106834412	0.09479859	No	
row_11	DDX3Y	DEAD-box helicase 3 Y-linked [Source:HGNC Symbol;Acc:HGNC:2699]	2159	0.14589424431324005	0.07469158	No	
row_12	BNC1	basonuclin zinc finger protein 1 [Source:HGNC Symbol;Acc:HGNC:1081]	2228	0.14356613159179688	0.08240135	No	
row_13	BCCIP	BRCA2 and CDKN1A interacting protein [Source:HGNC Symbol;Acc:HGNC:978]	2318	0.14107832312583923	0.08865872	No	
row_14	C18orf32	chromosome 18 open reading frame 32 [Source:HGNC Symbol;Acc:HGNC:31690]	2429	0.1377960592508316	0.09339864	No	
row_15	SARAF	store-operated calcium entry associated regulatory factor [Source:HGNC Symbol;Acc:HGNC:28789]	2494	0.13594353199005127	0.10072222	No	
row_16	MOXD1	monooxygenase DBH like 1 [Source:HGNC Symbol;Acc:HGNC:21063]	2556	0.1343960464000702	0.108097516	No	
row_17	CREB3L2	cAMP responsive element binding protein 3 like 2 [Source:HGNC Symbol;Acc:HGNC:23720]	2758	0.12859459221363068	0.10667295	No	
row_18	ARL1	ADP ribosylation factor like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:692]	3325	0.11368609219789505	0.08232365	No	
row_19	NEDD9	neural precursor cell expressed, developmentally down-regulated 9 [Source:HGNC Symbol;Acc:HGNC:7733]	3539	0.10876020044088364	0.078561746	No	
row_20	FHL1	four and a half LIM domains 1 [Source:HGNC Symbol;Acc:HGNC:3702]	3663	0.1062125712633133	0.079943	No	
row_21	CDC42SE2	CDC42 small effector 2 [Source:HGNC Symbol;Acc:HGNC:18547]	3831	0.1025790274143219	0.07841039	No	
row_22	PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9388]	3840	0.10236774384975433	0.0863152	No	
row_23	TMCC3	transmembrane and coiled-coil domain family 3 [Source:HGNC Symbol;Acc:HGNC:29199]	4248	0.09274439513683319	0.06970619	No	
row_24	TMEM140	transmembrane protein 140 [Source:HGNC Symbol;Acc:HGNC:21870]	4401	0.08969492465257645	0.06801075	No	
row_25	NSDHL	NAD(P) dependent steroid dehydrogenase-like [Source:HGNC Symbol;Acc:HGNC:13398]	4434	0.08904960006475449	0.07339811	No	
row_26	NOCT	nocturnin [Source:HGNC Symbol;Acc:HGNC:14254]	4731	0.0823342576622963	0.06253732	No	
row_27	WNT3	Wnt family member 3 [Source:HGNC Symbol;Acc:HGNC:12782]	4783	0.08136404305696487	0.066165686	No	
row_28	PDGFB	platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]	4877	0.07950545102357864	0.06714442	No	
row_29	CTSC	cathepsin C [Source:HGNC Symbol;Acc:HGNC:2528]	5424	0.06851359456777573	0.04028627	No	
row_30	CHAC1	ChaC glutathione specific gamma-glutamylcyclotransferase 1 [Source:HGNC Symbol;Acc:HGNC:28680]	5541	0.0660654678940773	0.038797054	No	
row_31	PLXNA2	plexin A2 [Source:HGNC Symbol;Acc:HGNC:9100]	5700	0.06301459670066833	0.034560606	No	
row_32	PSMB10	proteasome 20S subunit beta 10 [Source:HGNC Symbol;Acc:HGNC:9538]	5724	0.06254704296588898	0.038313467	No	
row_33	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	5791	0.06121571734547615	0.0394004	No	
row_34	PSME2	proteasome activator subunit 2 [Source:HGNC Symbol;Acc:HGNC:9569]	6116	0.05473193898797035	0.02461491	No	
row_35	SLC7A3	solute carrier family 7 member 3 [Source:HGNC Symbol;Acc:HGNC:11061]	6164	0.053907036781311035	0.026233315	No	
row_36	LGALS9	galectin 9 [Source:HGNC Symbol;Acc:HGNC:6570]	6347	0.05031353235244751	0.01952994	No	
row_37	UROS	uroporphyrinogen III synthase [Source:HGNC Symbol;Acc:HGNC:12592]	6474	0.048002008348703384	0.015967295	No	
row_38	MYORG	myogenesis regulating glycosidase [Source:HGNC Symbol;Acc:HGNC:19918]	6548	0.04684729129076004	0.015461686	No	
row_39	TRAPPC12	trafficking protein particle complex subunit 12 [Source:HGNC Symbol;Acc:HGNC:24284]	6558	0.046645063906908035	0.018745195	No	
row_40	ATF5	activating transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:790]	6599	0.045902740210294724	0.02012456	No	
row_41	EIF4E	eukaryotic translation initiation factor 4E [Source:HGNC Symbol;Acc:HGNC:3287]	6675	0.04452436789870262	0.019309854	No	
row_42	ANXA6	annexin A6 [Source:HGNC Symbol;Acc:HGNC:544]	6771	0.04283536225557327	0.017167602	No	
row_43	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	7190	0.035856764763593674	-0.0047527202	No	
row_44	LMAN1	lectin, mannose binding 1 [Source:HGNC Symbol;Acc:HGNC:6631]	7392	0.03242700174450874	-0.014050216	No	
row_45	RPS2	ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:10404]	7675	0.027661191299557686	-0.028554428	No	
row_46	EFL1	elongation factor like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:25789]	7745	0.026423165574669838	-0.03049424	No	
