NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C6orf141	chromosome 6 open reading frame 141 [Source:HGNC Symbol;Acc:HGNC:21351]	3701	0.10551034659147263	-0.17914984	No	
row_1	MAOA	monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]	4580	0.0854792669415474	-0.19892652	No	
row_2	FGFBP1	fibroblast growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19695]	6797	0.04244370386004448	-0.313987	No	
row_3	TMEM45B	transmembrane protein 45B [Source:HGNC Symbol;Acc:HGNC:25194]	7607	0.028843557462096214	-0.35097444	No	
row_4	CLDN7	claudin 7 [Source:HGNC Symbol;Acc:HGNC:2049]	8544	0.012537668459117413	-0.40160012	No	
row_5	TGFA	transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]	10724	-0.025897307321429253	-0.5206931	No	
row_6	SEMA4B	semaphorin 4B [Source:HGNC Symbol;Acc:HGNC:10730]	11954	-0.04942450672388077	-0.5747754	No	
row_7	LAD1	ladinin 1 [Source:HGNC Symbol;Acc:HGNC:6472]	12922	-0.06930302828550339	-0.60589486	No	
row_8	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1 [Source:HGNC Symbol;Acc:HGNC:16500]	15042	-0.12505236268043518	-0.68416655	Yes	
row_9	SDR16C5	short chain dehydrogenase/reductase family 16C member 5 [Source:HGNC Symbol;Acc:HGNC:30311]	15196	-0.13042540848255157	-0.6441834	Yes	
row_10	C1orf116	chromosome 1 open reading frame 116 [Source:HGNC Symbol;Acc:HGNC:28667]	15440	-0.13994568586349487	-0.6059424	Yes	
row_11	AREG	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]	15587	-0.14635895192623138	-0.55955577	Yes	
row_12	MST1R	macrophage stimulating 1 receptor [Source:HGNC Symbol;Acc:HGNC:7381]	15657	-0.14950338006019592	-0.50743455	Yes	
row_13	AMPD3	adenosine monophosphate deaminase 3 [Source:HGNC Symbol;Acc:HGNC:470]	15719	-0.1523498296737671	-0.4537704	Yes	
row_14	LAMA3	laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]	15928	-0.16329416632652283	-0.40468308	Yes	
row_15	ADAM8	ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:HGNC:215]	16336	-0.18935097754001617	-0.35756603	Yes	
row_16	PRSS22	serine protease 22 [Source:HGNC Symbol;Acc:HGNC:14368]	16705	-0.23437616229057312	-0.2912175	Yes	
row_17	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	16793	-0.2535243332386017	-0.20105745	Yes	
row_18	SH2D3A	SH2 domain containing 3A [Source:HGNC Symbol;Acc:HGNC:16885]	16797	-0.25386837124824524	-0.10580175	Yes	
row_19	FAM83A	family with sequence similarity 83 member A [Source:HGNC Symbol;Acc:HGNC:28210]	16901	-0.30268317461013794	0.0018919129	Yes	
