NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TBC1D2B	TBC1 domain family member 2B [Source:HGNC Symbol;Acc:HGNC:29183]	15	0.295960396528244	0.030653257	Yes	
row_1	FOXJ1	forkhead box J1 [Source:HGNC Symbol;Acc:HGNC:3816]	181	0.2209019660949707	0.044397663	Yes	
row_2	EMP3	epithelial membrane protein 3 (MAM blood group) [Source:HGNC Symbol;Acc:HGNC:3335]	275	0.20452503859996796	0.06067287	Yes	
row_3	MSN	moesin [Source:HGNC Symbol;Acc:HGNC:7373]	314	0.19882573187351227	0.07960725	Yes	
row_4	PRSS23	serine protease 23 [Source:HGNC Symbol;Acc:HGNC:14370]	336	0.1965317577123642	0.099306814	Yes	
row_5	COL5A1	collagen type V alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2209]	649	0.16873463988304138	0.09876033	Yes	
row_6	DYSF	dysferlin [Source:HGNC Symbol;Acc:HGNC:3097]	756	0.1624104231595993	0.10977475	Yes	
row_7	AEBP1	AE binding protein 1 [Source:HGNC Symbol;Acc:HGNC:303]	825	0.15885333716869354	0.12266699	Yes	
row_8	CNN1	calponin 1 [Source:HGNC Symbol;Acc:HGNC:2155]	863	0.15665949881076813	0.13716659	Yes	
row_9	GLIPR2	GLI pathogenesis related 2 [Source:HGNC Symbol;Acc:HGNC:18007]	903	0.15457786619663239	0.15132554	Yes	
row_10	LOXL2	lysyl oxidase like 2 [Source:HGNC Symbol;Acc:HGNC:6666]	1022	0.1487305462360382	0.16016921	Yes	
row_11	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	1104	0.1439923197031021	0.17070542	Yes	
row_12	TAGLN	transgelin [Source:HGNC Symbol;Acc:HGNC:11553]	1191	0.13960924744606018	0.1804775	Yes	
row_13	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	1338	0.13379532098770142	0.18606634	Yes	
row_14	RHOD	ras homolog family member D [Source:HGNC Symbol;Acc:HGNC:670]	1352	0.13329365849494934	0.19950098	Yes	
row_15	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	1473	0.1289217621088028	0.2061146	Yes	
row_16	COL8A1	collagen type VIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2215]	1478	0.12878037989139557	0.21960275	Yes	
row_17	MYOF	myoferlin [Source:HGNC Symbol;Acc:HGNC:3656]	1779	0.11822841316461563	0.21438591	Yes	
row_18	GPNMB	glycoprotein nmb [Source:HGNC Symbol;Acc:HGNC:4462]	1970	0.11206888407468796	0.21504581	Yes	
row_19	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	1975	0.11199463903903961	0.22674489	Yes	
row_20	CFAP184	cilia and flagella associated protein 184 [Source:HGNC Symbol;Acc:HGNC:26900]	2049	0.11001128703355789	0.23413447	Yes	
row_21	CP	ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]	2328	0.10142828524112701	0.22843367	Yes	
row_22	CALHM5	calcium homeostasis modulator family member 5 [Source:HGNC Symbol;Acc:HGNC:21568]	2340	0.10103056579828262	0.23854841	Yes	
row_23	C1QTNF1	C1q and TNF related 1 [Source:HGNC Symbol;Acc:HGNC:14324]	2365	0.10044702887535095	0.24782887	Yes	
row_24	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	2390	0.10002131760120392	0.25706396	Yes	
row_25	SLC24A3	solute carrier family 24 member 3 [Source:HGNC Symbol;Acc:HGNC:10977]	2474	0.09775347262620926	0.26255313	Yes	
row_26	NOX4	NADPH oxidase 4 [Source:HGNC Symbol;Acc:HGNC:7891]	2514	0.09650173038244247	0.27052218	Yes	
row_27	LOX	lysyl oxidase [Source:HGNC Symbol;Acc:HGNC:6664]	2535	0.09592608362436295	0.27955833	Yes	
row_28	COL4A6	collagen type IV alpha 6 chain [Source:HGNC Symbol;Acc:HGNC:2208]	2666	0.09269728511571884	0.28171715	Yes	
row_29	IGFBP3	insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]	2732	0.09091135859489441	0.28754616	Yes	
row_30	CTTN	cortactin [Source:HGNC Symbol;Acc:HGNC:3338]	2742	0.09061837196350098	0.29666993	Yes	
row_31	MXRA8	matrix remodeling associated 8 [Source:HGNC Symbol;Acc:HGNC:7542]	2824	0.08851849287748337	0.3012936	Yes	
row_32	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	2876	0.08705779165029526	0.3075434	Yes	
row_33	LTBP2	latent transforming growth factor beta binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6715]	2928	0.08579996228218079	0.3136591	Yes	
row_34	PHACTR3	phosphatase and actin regulator 3 [Source:HGNC Symbol;Acc:HGNC:15833]	3023	0.08341779559850693	0.316967	Yes	
row_35	FMOD	fibromodulin [Source:HGNC Symbol;Acc:HGNC:3774]	3202	0.07928739488124847	0.3148457	Yes	
row_36	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	3211	0.07909749448299408	0.32280096	Yes	
row_37	HOATZ	HOATZ cilia and flagella associated protein [Source:HGNC Symbol;Acc:HGNC:25061]	3269	0.07796487212181091	0.32772523	Yes	
row_38	BST2	bone marrow stromal cell antigen 2 [Source:HGNC Symbol;Acc:HGNC:1119]	3566	0.07113457471132278	0.3177266	Yes	
row_39	ACTA2	actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]	3629	0.06979747861623764	0.3214834	Yes	
row_40	SERPING1	serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]	3645	0.06956515461206436	0.32800692	Yes	
row_41	KLHL21	kelch like family member 21 [Source:HGNC Symbol;Acc:HGNC:29041]	4330	0.05513729155063629	0.2932588	No	
row_42	TOR4A	torsin family 4 member A [Source:HGNC Symbol;Acc:HGNC:25981]	4459	0.05241350457072258	0.29124284	No	
row_43	AKR1B10	aldo-keto reductase family 1 member B10 [Source:HGNC Symbol;Acc:HGNC:382]	4479	0.052036795765161514	0.29566056	No	
row_44	TSPO	translocator protein [Source:HGNC Symbol;Acc:HGNC:1158]	4725	0.046877820044755936	0.28610563	No	
row_45	PSTPIP1	proline-serine-threonine phosphatase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:9580]	4952	0.042416997253894806	0.2772037	No	
row_46	CD109	CD109 molecule [Source:HGNC Symbol;Acc:HGNC:21685]	5049	0.04067347198724747	0.27583706	No	
row_47	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	5112	0.03958554193377495	0.2763738	No	
row_48	ECRG4	ECRG4 augurin precursor [Source:HGNC Symbol;Acc:HGNC:24642]	5470	0.03256158530712128	0.258641	No	
row_49	UGT1A1	UDP glucuronosyltransferase family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:12530]	5480	0.03231411427259445	0.26155058	No	
row_50	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]	5736	0.028058160096406937	0.24939588	No	
row_51	TMEM37	transmembrane protein 37 [Source:HGNC Symbol;Acc:HGNC:18216]	5891	0.025008942931890488	0.24291486	No	
row_52	PON3	paraoxonase 3 [Source:HGNC Symbol;Acc:HGNC:9206]	6341	0.01736924797296524	0.21809866	No	
row_53	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	6819	0.009914951398968697	0.19082496	No	
row_54	MORC4	MORC family CW-type zinc finger 4 [Source:HGNC Symbol;Acc:HGNC:23485]	7188	0.004733276087790728	0.16947281	No	
row_55	ITGBL1	integrin subunit beta like 1 [Source:HGNC Symbol;Acc:HGNC:6164]	7260	0.0035816633608192205	0.16563766	No	
row_56	CCN5	cellular communication network factor 5 [Source:HGNC Symbol;Acc:HGNC:12770]	8666	-0.019090741872787476	0.08422522	No	
row_57	OMD	osteomodulin [Source:HGNC Symbol;Acc:HGNC:8134]	8826	-0.021791160106658936	0.077104285	No	
row_58	TRAF1	TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]	9199	-0.02833954058587551	0.058030587	No	
row_59	SLF2	SMC5-SMC6 complex localization factor 2 [Source:HGNC Symbol;Acc:HGNC:17814]	9482	-0.03258981555700302	0.044755258	No	
row_60	NUAK2	NUAK family kinase 2 [Source:HGNC Symbol;Acc:HGNC:29558]	9501	-0.03296942636370659	0.047200143	No	
row_61	KAZALD1	Kazal type serine peptidase inhibitor domain 1 [Source:HGNC Symbol;Acc:HGNC:25460]	10043	-0.04196981340646744	0.01954177	No	
row_62	CAPS2	calcyphosine 2 [Source:HGNC Symbol;Acc:HGNC:16471]	10204	-0.044616468250751495	0.014794218	No	
row_63	KIRREL3	kirre like nephrin family adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:23204]	10325	-0.04652384668588638	0.012625679	No	
