NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SYT1	synaptotagmin 1 [Source:HGNC Symbol;Acc:HGNC:11509]	59	0.2586442828178406	0.017512508	No	
row_1	PENK	proenkephalin [Source:HGNC Symbol;Acc:HGNC:8831]	428	0.18849162757396698	0.010981342	No	
row_2	ITPKA	inositol-trisphosphate 3-kinase A [Source:HGNC Symbol;Acc:HGNC:6178]	509	0.18107153475284576	0.02094435	No	
row_3	MYO5B	myosin VB [Source:HGNC Symbol;Acc:HGNC:7603]	622	0.1709839105606079	0.028188055	No	
row_4	GRP	gastrin releasing peptide [Source:HGNC Symbol;Acc:HGNC:4605]	932	0.15279528498649597	0.022259058	No	
row_5	GREM2	gremlin 2, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:17655]	1160	0.1410512924194336	0.020243768	No	
row_6	EPHA7	EPH receptor A7 [Source:HGNC Symbol;Acc:HGNC:3390]	1179	0.14002032577991486	0.030551951	No	
row_7	STX1A	syntaxin 1A [Source:HGNC Symbol;Acc:HGNC:11433]	1281	0.13612288236618042	0.03561619	No	
row_8	CALB1	calbindin 1 [Source:HGNC Symbol;Acc:HGNC:1434]	1327	0.13434457778930664	0.043860365	No	
row_9	SV2B	synaptic vesicle glycoprotein 2B [Source:HGNC Symbol;Acc:HGNC:16874]	1414	0.13122865557670593	0.049417414	No	
row_10	COL19A1	collagen type XIX alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2196]	2063	0.10941296815872192	0.019838907	No	
row_11	PGM2L1	phosphoglucomutase 2 like 1 [Source:HGNC Symbol;Acc:HGNC:20898]	2600	0.09425333142280579	-0.0043224744	No	
row_12	KCNIP4	potassium voltage-gated channel interacting protein 4 [Source:HGNC Symbol;Acc:HGNC:30083]	3452	0.07385481894016266	-0.04884116	No	
row_13	NXPH2	neurexophilin 2 [Source:HGNC Symbol;Acc:HGNC:8076]	4862	0.04407285898923874	-0.1289052	No	
row_14	SLC6A7	solute carrier family 6 member 7 [Source:HGNC Symbol;Acc:HGNC:11054]	5094	0.03985714912414551	-0.13938005	No	
row_15	SLC8A1	solute carrier family 8 member A1 [Source:HGNC Symbol;Acc:HGNC:11068]	5153	0.0389806404709816	-0.139656	No	
row_16	HS3ST2	heparan sulfate-glucosamine 3-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:5195]	5187	0.038315366953611374	-0.1385019	No	
row_17	CKMT1A	creatine kinase, mitochondrial 1A [Source:HGNC Symbol;Acc:HGNC:31736]	5606	0.030398346483707428	-0.16084649	No	
row_18	PPFIA2	PTPRF interacting protein alpha 2 [Source:HGNC Symbol;Acc:HGNC:9246]	5753	0.027844853699207306	-0.16725133	No	
row_19	SATB2	SATB homeobox 2 [Source:HGNC Symbol;Acc:HGNC:21637]	5817	0.026421336457133293	-0.16884457	No	
row_20	TSPYL5	TSPY like 5 [Source:HGNC Symbol;Acc:HGNC:29367]	6234	0.018949901685118675	-0.19200063	No	
row_21	CALN1	calneuron 1 [Source:HGNC Symbol;Acc:HGNC:13248]	6429	0.01589244045317173	-0.20222613	No	
row_22	FABP3	fatty acid binding protein 3 [Source:HGNC Symbol;Acc:HGNC:3557]	6491	0.014960131607949734	-0.20463187	No	
row_23	GABRA5	gamma-aminobutyric acid type A receptor subunit alpha5 [Source:HGNC Symbol;Acc:HGNC:4079]	6494	0.014901476912200451	-0.20353983	No	
row_24	CLSTN2	calsyntenin 2 [Source:HGNC Symbol;Acc:HGNC:17448]	6946	0.00823703221976757	-0.22964409	No	
row_25	GDA	guanine deaminase [Source:HGNC Symbol;Acc:HGNC:4212]	7015	0.007220802828669548	-0.2330942	No	
row_26	PRSS12	serine protease 12 [Source:HGNC Symbol;Acc:HGNC:9477]	7451	4.5847188448533416E-4	-0.25888065	No	
row_27	PRDM8	PR/SET domain 8 [Source:HGNC Symbol;Acc:HGNC:13993]	7876	-0.006227489560842514	-0.28354532	No	
row_28	CCK	cholecystokinin [Source:HGNC Symbol;Acc:HGNC:1569]	8166	-0.010876000858843327	-0.29981807	No	
row_29	BCL11A	BCL11 transcription factor A [Source:HGNC Symbol;Acc:HGNC:13221]	8276	-0.013039256446063519	-0.3052294	No	
row_30	SH2D5	SH2 domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28819]	8311	-0.013581277802586555	-0.3061443	No	
row_31	PHF24	PHD finger protein 24 [Source:HGNC Symbol;Acc:HGNC:29180]	8524	-0.016768142580986023	-0.3173672	No	
row_32	SLC25A22	solute carrier family 25 member 22 [Source:HGNC Symbol;Acc:HGNC:19954]	8614	-0.01830301620066166	-0.32116354	No	
row_33	PNOC	prepronociceptin [Source:HGNC Symbol;Acc:HGNC:9163]	8671	-0.019139932468533516	-0.32293284	No	
row_34	LAMP5	lysosomal associated membrane protein family member 5 [Source:HGNC Symbol;Acc:HGNC:16097]	9200	-0.028347197920084	-0.35197422	No	
row_35	MAL2	mal, T cell differentiation protein 2 [Source:HGNC Symbol;Acc:HGNC:13634]	9309	-0.029988205060362816	-0.35594904	No	
row_36	DYNC1I1	dynein cytoplasmic 1 intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:2963]	9409	-0.03154096007347107	-0.35926345	No	
row_37	CPNE5	copine 5 [Source:HGNC Symbol;Acc:HGNC:2318]	9727	-0.036575328558683395	-0.37511033	No	
row_38	ICAM5	intercellular adhesion molecule 5 [Source:HGNC Symbol;Acc:HGNC:5348]	10690	-0.052653975784778595	-0.42794108	No	
row_39	TRHDE	thyrotropin releasing hormone degrading enzyme [Source:HGNC Symbol;Acc:HGNC:30748]	11119	-0.06054993346333504	-0.4484295	No	
row_40	SYT13	synaptotagmin 13 [Source:HGNC Symbol;Acc:HGNC:14962]	11178	-0.06169572472572327	-0.4468598	No	
row_41	JPH4	junctophilin 4 [Source:HGNC Symbol;Acc:HGNC:20156]	11216	-0.0622318796813488	-0.44399995	No	
row_42	RASL10A	RAS like family 10 member A [Source:HGNC Symbol;Acc:HGNC:16954]	11440	-0.06626582145690918	-0.45185414	No	
row_43	DMTN	dematin actin binding protein [Source:HGNC Symbol;Acc:HGNC:3382]	11695	-0.07178391516208649	-0.4611003	No	
row_44	MEF2C	myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996]	11708	-0.07194643467664719	-0.45596698	No	
row_45	NSF	N-ethylmaleimide sensitive factor, vesicle fusing ATPase [Source:HGNC Symbol;Acc:HGNC:8016]	11796	-0.07377559691667557	-0.4551374	No	
row_46	METRN	meteorin, glial cell differentiation regulator [Source:HGNC Symbol;Acc:HGNC:14151]	11950	-0.0768992081284523	-0.4579721	No	
row_47	FGF9	fibroblast growth factor 9 [Source:HGNC Symbol;Acc:HGNC:3687]	12112	-0.08001025766134262	-0.46102893	No	
row_48	NWD2	NACHT and WD repeat domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29229]	12195	-0.08156108856201172	-0.45926997	No	
row_49	CPNE4	copine 4 [Source:HGNC Symbol;Acc:HGNC:2317]	12954	-0.09733898937702179	-0.49635962	No	
row_50	GABRD	gamma-aminobutyric acid type A receptor subunit delta [Source:HGNC Symbol;Acc:HGNC:4084]	12961	-0.09744182974100113	-0.4887986	No	
row_51	SIDT1	SID1 transmembrane family member 1 [Source:HGNC Symbol;Acc:HGNC:25967]	12996	-0.09791382402181625	-0.48286143	No	
row_52	NTS	neurotensin [Source:HGNC Symbol;Acc:HGNC:8038]	13010	-0.09831617772579193	-0.4756449	No	
row_53	BCL11B	BCL11 transcription factor B [Source:HGNC Symbol;Acc:HGNC:13222]	13094	-0.10036606341600418	-0.47241735	No	
row_54	MYH3	myosin heavy chain 3 [Source:HGNC Symbol;Acc:HGNC:7573]	13633	-0.11262679100036621	-0.49520463	No	
row_55	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	13643	-0.11291671544313431	-0.48656434	No	
row_56	HSD17B4	hydroxysteroid 17-beta dehydrogenase 4 [Source:HGNC Symbol;Acc:HGNC:5213]	13993	-0.12152300775051117	-0.4974088	No	
row_57	CRHBP	corticotropin releasing hormone binding protein [Source:HGNC Symbol;Acc:HGNC:2356]	14013	-0.12219368666410446	-0.48860842	No	
row_58	RAMP3	receptor activity modifying protein 3 [Source:HGNC Symbol;Acc:HGNC:9845]	14090	-0.1240023747086525	-0.48304486	No	
row_59	LIN7B	lin-7 homolog B, crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:17788]	14474	-0.13531072437763214	-0.49478748	No	
row_60	NEFL	neurofilament light chain [Source:HGNC Symbol;Acc:HGNC:7739]	14485	-0.1355268806219101	-0.4843695	No	
row_61	RTN4RL1	reticulon 4 receptor like 1 [Source:HGNC Symbol;Acc:HGNC:21329]	14780	-0.14461612701416016	-0.49007258	No	
row_62	CELF6	CUGBP Elav-like family member 6 [Source:HGNC Symbol;Acc:HGNC:14059]	15509	-0.17356525361537933	-0.51918787	Yes	
row_63	DRD1	dopamine receptor D1 [Source:HGNC Symbol;Acc:HGNC:3020]	15737	-0.18626174330711365	-0.5175298	Yes	
row_64	RGS4	regulator of G protein signaling 4 [Source:HGNC Symbol;Acc:HGNC:10000]	15798	-0.19005808234214783	-0.50564927	Yes	
row_65	HCN1	hyperpolarization activated cyclic nucleotide gated potassium channel 1 [Source:HGNC Symbol;Acc:HGNC:4845]	15913	-0.19714972376823425	-0.49639833	Yes	
row_66	RASGEF1A	RasGEF domain family member 1A [Source:HGNC Symbol;Acc:HGNC:24246]	16012	-0.20370805263519287	-0.48566464	Yes	
row_67	CBLN4	cerebellin 4 precursor [Source:HGNC Symbol;Acc:HGNC:16231]	16036	-0.2054528146982193	-0.47033685	Yes	
row_68	NRGN	neurogranin [Source:HGNC Symbol;Acc:HGNC:8000]	16061	-0.2071847766637802	-0.45492768	Yes	
row_69	KRT222	keratin 222 [Source:HGNC Symbol;Acc:HGNC:28695]	16078	-0.20847924053668976	-0.43893844	Yes	
row_70	NEFM	neurofilament medium chain [Source:HGNC Symbol;Acc:HGNC:7734]	16079	-0.2085018903017044	-0.42199752	Yes	
row_71	MLIP	muscular LMNA interacting protein [Source:HGNC Symbol;Acc:HGNC:21355]	16503	-0.2580079734325409	-0.4261455	Yes	
row_72	NAPB	NSF attachment protein beta [Source:HGNC Symbol;Acc:HGNC:15751]	16547	-0.26612821221351624	-0.40707508	Yes	
row_73	SLC6A17	solute carrier family 6 member 17 [Source:HGNC Symbol;Acc:HGNC:31399]	16554	-0.26732155680656433	-0.3857112	Yes	
row_74	SLC17A6	solute carrier family 17 member 6 [Source:HGNC Symbol;Acc:HGNC:16703]	16583	-0.272036612033844	-0.36527026	Yes	
row_75	KIAA0319	KIAA0319 [Source:HGNC Symbol;Acc:HGNC:21580]	16619	-0.27760007977485657	-0.3447928	Yes	
row_76	GABRG2	gamma-aminobutyric acid type A receptor subunit gamma2 [Source:HGNC Symbol;Acc:HGNC:4087]	16762	-0.31209123134613037	-0.32786497	Yes	
row_77	SST	somatostatin [Source:HGNC Symbol;Acc:HGNC:11329]	16776	-0.316313773393631	-0.302936	Yes	
row_78	SCG2	secretogranin II [Source:HGNC Symbol;Acc:HGNC:10575]	16783	-0.31952381134033203	-0.27733067	Yes	
row_79	GAD2	glutamate decarboxylase 2 [Source:HGNC Symbol;Acc:HGNC:4093]	16786	-0.321760892868042	-0.2513061	Yes	
row_80	CELF4	CUGBP Elav-like family member 4 [Source:HGNC Symbol;Acc:HGNC:14015]	16803	-0.32745373249053955	-0.22565007	Yes	
row_81	MYT1L	myelin transcription factor 1 like [Source:HGNC Symbol;Acc:HGNC:7623]	16813	-0.32944849133491516	-0.19941643	Yes	
row_82	SYT4	synaptotagmin 4 [Source:HGNC Symbol;Acc:HGNC:11512]	16817	-0.3306821584701538	-0.17272636	Yes	
row_83	STXBP1	syntaxin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11444]	16835	-0.33656200766563416	-0.14638966	Yes	
row_84	SLC35F4	solute carrier family 35 member F4 [Source:HGNC Symbol;Acc:HGNC:19845]	16851	-0.34163740277290344	-0.11952185	Yes	
row_85	SYT5	synaptotagmin 5 [Source:HGNC Symbol;Acc:HGNC:11513]	16865	-0.3466011583805084	-0.092132	Yes	
row_86	AMER3	APC membrane recruitment protein 3 [Source:HGNC Symbol;Acc:HGNC:26771]	16902	-0.3714938759803772	-0.06408499	Yes	
row_87	HPCA	hippocalcin [Source:HGNC Symbol;Acc:HGNC:5144]	16924	-0.40466582775115967	-0.03245227	Yes	
row_88	CAMK2B	calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]	16925	-0.40525513887405396	4.7499733E-4	Yes	
