NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHRNB4	cholinergic receptor nicotinic beta 4 subunit [Source:HGNC Symbol;Acc:HGNC:1964]	22	0.28784313797950745	0.025284989	No	
row_1	HEBP1	heme binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17176]	135	0.23141741752624512	0.04000654	No	
row_2	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	144	0.22940850257873535	0.06072524	No	
row_3	AP2B1	adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]	325	0.1973097175359726	0.06825312	No	
row_4	TMEM158	transmembrane protein 158 [Source:HGNC Symbol;Acc:HGNC:30293]	676	0.16718275845050812	0.06289127	No	
row_5	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	761	0.1621456891298294	0.072877616	No	
row_6	ECE1	endothelin converting enzyme 1 [Source:HGNC Symbol;Acc:HGNC:3146]	900	0.15477795898914337	0.07897301	No	
row_7	PLEC	plectin [Source:HGNC Symbol;Acc:HGNC:9069]	969	0.1508331596851349	0.08886542	No	
row_8	CHRNA3	cholinergic receptor nicotinic alpha 3 subunit [Source:HGNC Symbol;Acc:HGNC:1957]	985	0.15024100244045258	0.10185395	No	
row_9	MYOCD	myocardin [Source:HGNC Symbol;Acc:HGNC:16067]	1716	0.12017292529344559	0.0695582	No	
row_10	RNF149	ring finger protein 149 [Source:HGNC Symbol;Acc:HGNC:23137]	2011	0.11089710891246796	0.06232547	No	
row_11	INPPL1	inositol polyphosphate phosphatase like 1 [Source:HGNC Symbol;Acc:HGNC:6080]	2019	0.1107063889503479	0.072137125	No	
row_12	FRMD6	FERM domain containing 6 [Source:HGNC Symbol;Acc:HGNC:19839]	2309	0.10209706425666809	0.06438863	No	
row_13	SPINT1	serine peptidase inhibitor, Kunitz type 1 [Source:HGNC Symbol;Acc:HGNC:11246]	2389	0.10003716498613358	0.068934225	No	
row_14	CAP1	cyclase associated actin cytoskeleton regulatory protein 1 [Source:HGNC Symbol;Acc:HGNC:20040]	2693	0.09195838123559952	0.05941676	No	
row_15	CLIC4	chloride intracellular channel 4 [Source:HGNC Symbol;Acc:HGNC:13518]	2833	0.08825086802244186	0.059306487	No	
row_16	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	2876	0.08705779165029526	0.06485259	No	
row_17	PDIA3	protein disulfide isomerase family A member 3 [Source:HGNC Symbol;Acc:HGNC:4606]	2938	0.08562380075454712	0.06913667	No	
row_18	IL17D	interleukin 17D [Source:HGNC Symbol;Acc:HGNC:5984]	3569	0.07103905826807022	0.038246553	No	
row_19	NECTIN3	nectin cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:17664]	3781	0.06622669845819473	0.031821176	No	
row_20	PYGM	glycogen phosphorylase, muscle associated [Source:HGNC Symbol;Acc:HGNC:9726]	3898	0.06379291415214539	0.030818652	No	
row_21	RETREG3	reticulophagy regulator family member 3 [Source:HGNC Symbol;Acc:HGNC:27258]	4167	0.05830008536577225	0.02027234	No	
row_22	TNC	tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]	4168	0.058272771537303925	0.02565597	No	
