NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FOXD1	forkhead box D1 [Source:HGNC Symbol;Acc:HGNC:3802]	83	0.24586933851242065	0.014788444	Yes	
row_1	BCAR1	BCAR1 scaffold protein, Cas family member [Source:HGNC Symbol;Acc:HGNC:971]	105	0.2382771074771881	0.032661527	Yes	
row_2	PTPN1	protein tyrosine phosphatase non-receptor type 1 [Source:HGNC Symbol;Acc:HGNC:9642]	234	0.21092110872268677	0.041963875	Yes	
row_3	KPNA4	karyopherin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6397]	569	0.17502222955226898	0.036111366	Yes	
row_4	PANX1	pannexin 1 [Source:HGNC Symbol;Acc:HGNC:8599]	585	0.17383378744125366	0.049169667	Yes	
row_5	HLX	H2.0 like homeobox [Source:HGNC Symbol;Acc:HGNC:4978]	624	0.1708400398492813	0.06061734	Yes	
row_6	EIF4A3	eukaryotic translation initiation factor 4A3 [Source:HGNC Symbol;Acc:HGNC:18683]	650	0.16871324181556702	0.07266886	Yes	
row_7	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]	712	0.16487082839012146	0.08226708	Yes	
row_8	SLC28A1	solute carrier family 28 member 1 [Source:HGNC Symbol;Acc:HGNC:11001]	775	0.16143730282783508	0.091530144	Yes	
row_9	PXN	paxillin [Source:HGNC Symbol;Acc:HGNC:9718]	842	0.15805135667324066	0.10028313	Yes	
row_10	ELK3	ETS transcription factor ELK3 [Source:HGNC Symbol;Acc:HGNC:3325]	883	0.15553303062915802	0.11038309	Yes	
row_11	BRPF1	bromodomain and PHD finger containing 1 [Source:HGNC Symbol;Acc:HGNC:14255]	918	0.15356262028217316	0.12068238	Yes	
row_12	SMTN	smoothelin [Source:HGNC Symbol;Acc:HGNC:11126]	1010	0.14910683035850525	0.12722796	Yes	
row_13	MYO9B	myosin IXB [Source:HGNC Symbol;Acc:HGNC:7609]	1056	0.14671194553375244	0.13632204	Yes	
row_14	DCBLD1	discoidin, CUB and LCCL domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21479]	1122	0.14287342131137848	0.14391641	Yes	
row_15	SLC30A1	solute carrier family 30 member 1 [Source:HGNC Symbol;Acc:HGNC:11012]	1169	0.14064432680606842	0.1524639	Yes	
row_16	ATG101	autophagy related 101 [Source:HGNC Symbol;Acc:HGNC:25679]	1192	0.13960415124893188	0.16235785	Yes	
row_17	MSANTD3	Myb/SANT DNA binding domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23370]	1332	0.13418269157409668	0.16484573	Yes	
row_18	NET1	neuroepithelial cell transforming 1 [Source:HGNC Symbol;Acc:HGNC:14592]	1555	0.1264166384935379	0.16176514	Yes	
row_19	PUM3	pumilio RNA binding family member 3 [Source:HGNC Symbol;Acc:HGNC:29676]	1560	0.12602072954177856	0.17164132	Yes	
row_20	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma [Source:HGNC Symbol;Acc:HGNC:12852]	1566	0.12584751844406128	0.18144402	Yes	
row_21	RRP9	ribosomal RNA processing 9, U3 small nucleolar RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16829]	1686	0.1212967112660408	0.18408929	Yes	
row_22	VGLL4	vestigial like family member 4 [Source:HGNC Symbol;Acc:HGNC:28966]	1793	0.11775331199169159	0.1872247	Yes	
row_23	RNPS1	RNA binding protein with serine rich domain 1 [Source:HGNC Symbol;Acc:HGNC:10080]	2005	0.11105483025312424	0.18356654	Yes	
row_24	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	2017	0.11073604226112366	0.1917989	Yes	
row_25	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	2028	0.11058653891086578	0.20007883	Yes	
