NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TBC1D2B	TBC1 domain family member 2B [Source:HGNC Symbol;Acc:HGNC:29183]	15	0.295960396528244	0.018143186	No	
row_1	VAMP5	vesicle associated membrane protein 5 [Source:HGNC Symbol;Acc:HGNC:12646]	130	0.23253706097602844	0.026310168	No	
row_2	ANGPTL2	angiopoietin like 2 [Source:HGNC Symbol;Acc:HGNC:490]	196	0.2189142405986786	0.036519486	No	
row_3	UBE2L6	ubiquitin conjugating enzyme E2 L6 [Source:HGNC Symbol;Acc:HGNC:12490]	258	0.20774930715560913	0.046248913	No	
row_4	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	272	0.20552991330623627	0.058694597	No	
row_5	EPSTI1	epithelial stromal interaction 1 [Source:HGNC Symbol;Acc:HGNC:16465]	329	0.1971701979637146	0.06804137	No	
row_6	ADORA2B	adenosine A2b receptor [Source:HGNC Symbol;Acc:HGNC:264]	917	0.15371230244636536	0.042965014	No	
row_7	IRS2	insulin receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:6126]	975	0.1505187749862671	0.049251534	No	
row_8	MME	membrane metalloendopeptidase [Source:HGNC Symbol;Acc:HGNC:7154]	1149	0.14129090309143066	0.048035216	No	
row_9	TSKU	tsukushi, small leucine rich proteoglycan [Source:HGNC Symbol;Acc:HGNC:28850]	1163	0.14085790514945984	0.056321096	No	
row_10	MRGPRF	MAS related GPR family member F [Source:HGNC Symbol;Acc:HGNC:24828]	1223	0.13825854659080505	0.061699893	No	
row_11	COL8A2	collagen type VIII alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2216]	1448	0.130012646317482	0.05672044	No	
row_12	DRAM1	DNA damage regulated autophagy modulator 1 [Source:HGNC Symbol;Acc:HGNC:25645]	1459	0.1295757293701172	0.064459324	No	
row_13	KIAA0930	KIAA0930 [Source:HGNC Symbol;Acc:HGNC:1314]	1575	0.12550298869609833	0.06568214	No	
row_14	DYRK1B	dual specificity tyrosine phosphorylation regulated kinase 1B [Source:HGNC Symbol;Acc:HGNC:3092]	1616	0.12406176328659058	0.07127947	No	
row_15	PLBD2	phospholipase B domain containing 2 [Source:HGNC Symbol;Acc:HGNC:27283]	1862	0.11550457775592804	0.06411602	No	
row_16	CCL11	C-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10610]	1971	0.1120651364326477	0.064891435	No	
row_17	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	2107	0.10798759758472443	0.063796386	No	
row_18	PLAAT4	phospholipase A and acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:9869]	2307	0.10223022848367691	0.058518995	No	
row_19	GLI3	GLI family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:4319]	2770	0.08967626839876175	0.036769092	No	
row_20	DAAM2	dishevelled associated activator of morphogenesis 2 [Source:HGNC Symbol;Acc:HGNC:18143]	2809	0.08893890678882599	0.040226396	No	
row_21	GAS6	growth arrest specific 6 [Source:HGNC Symbol;Acc:HGNC:4168]	2844	0.08788256347179413	0.043854002	No	
row_22	PAMR1	peptidase domain containing associated with muscle regeneration 1 [Source:HGNC Symbol;Acc:HGNC:24554]	2899	0.08640781790018082	0.046195492	No	
row_23	IGBP1	immunoglobulin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5461]	3022	0.08344409614801407	0.044296082	No	
row_24	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	3226	0.07873944193124771	0.037269477	No	
row_25	FTH1	ferritin heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:3976]	3300	0.07702455669641495	0.03787573	No	
row_26	LPAR3	lysophosphatidic acid receptor 3 [Source:HGNC Symbol;Acc:HGNC:14298]	3369	0.07559417933225632	0.03868779	No	
row_27	C1orf115	chromosome 1 open reading frame 115 [Source:HGNC Symbol;Acc:HGNC:25873]	3478	0.0731031522154808	0.036957115	No	
row_28	DDX60L	DExD/H-box 60 like [Source:HGNC Symbol;Acc:HGNC:26429]	3642	0.06958343833684921	0.03172409	No	
row_29	GAS1	growth arrest specific 1 [Source:HGNC Symbol;Acc:HGNC:4165]	3722	0.06765519082546234	0.031370316	No	
row_30	LINC03124	long intergenic non-protein coding RNA 3124 [Source:HGNC Symbol;Acc:HGNC:25077]	3805	0.06572480499744415	0.030713689	No	
row_31	EPHB6	EPH receptor B6 [Source:HGNC Symbol;Acc:HGNC:3396]	3886	0.06402765214443207	0.030067021	No	
row_32	CMBL	carboxymethylenebutenolidase homolog [Source:HGNC Symbol;Acc:HGNC:25090]	4063	0.060336485505104065	0.023464901	No	
row_33	PDP1	pyruvate dehydrogenase phosphatase catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:9279]	4445	0.052682213485240936	0.004160073	No	
row_34	ADGRB2	adhesion G protein-coupled receptor B2 [Source:HGNC Symbol;Acc:HGNC:944]	4524	0.05108053982257843	0.0027997533	No	
row_35	APOL3	apolipoprotein L3 [Source:HGNC Symbol;Acc:HGNC:14868]	4596	0.04969560727477074	0.001767292	No	
row_36	TMEM258	transmembrane protein 258 [Source:HGNC Symbol;Acc:HGNC:1164]	4707	0.047520361840724945	-0.0017280338	No	
row_37	GLT8D2	glycosyltransferase 8 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24890]	4820	0.044841405004262924	-0.0055148	No	
row_38	ACKR4	atypical chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:1611]	4833	0.04458661377429962	-0.0033616738	No	
row_39	TRERF1	transcriptional regulating factor 1 [Source:HGNC Symbol;Acc:HGNC:18273]	4860	0.04407411441206932	-0.002075392	No	
row_40	TSC22D3	TSC22 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:3051]	5043	0.04080812633037567	-0.010290981	No	
row_41	SGIP1	SH3GL interacting endocytic adaptor 1 [Source:HGNC Symbol;Acc:HGNC:25412]	5433	0.03306775540113449	-0.031333946	No	
