NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHRNB4	cholinergic receptor nicotinic beta 4 subunit [Source:HGNC Symbol;Acc:HGNC:1964]	22	0.28784313797950745	0.022376416	Yes	
row_1	ZYX	zyxin [Source:HGNC Symbol;Acc:HGNC:13200]	138	0.230825275182724	0.03451142	Yes	
row_2	BATF	basic leucine zipper ATF-like transcription factor [Source:HGNC Symbol;Acc:HGNC:958]	232	0.21102091670036316	0.046329204	Yes	
row_3	GLB1	galactosidase beta 1 [Source:HGNC Symbol;Acc:HGNC:4298]	239	0.2105812281370163	0.063301735	Yes	
row_4	FAM3C	FAM3 metabolism regulating signaling molecule C [Source:HGNC Symbol;Acc:HGNC:18664]	281	0.20343276858329773	0.07759765	Yes	
row_5	HK3	hexokinase 3 [Source:HGNC Symbol;Acc:HGNC:4925]	343	0.1963292956352234	0.09011564	Yes	
row_6	E2F4	E2F transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3118]	363	0.1948208212852478	0.10501546	Yes	
row_7	GNAI2	G protein subunit alpha i2 [Source:HGNC Symbol;Acc:HGNC:4385]	478	0.18381626904010773	0.113341354	Yes	
row_8	CARS1	cysteinyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:1493]	545	0.17767532169818878	0.12402582	Yes	
row_9	LTBR	lymphotoxin beta receptor [Source:HGNC Symbol;Acc:HGNC:6718]	736	0.1634712517261505	0.12614274	Yes	
row_10	KCTD2	potassium channel tetramerization domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21294]	974	0.1505517214536667	0.12439212	Yes	
row_11	SMTN	smoothelin [Source:HGNC Symbol;Acc:HGNC:11126]	1010	0.14910683035850525	0.13457508	Yes	
row_12	COL5A2	collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]	1061	0.1463145911693573	0.14363326	Yes	
row_13	PKN1	protein kinase N1 [Source:HGNC Symbol;Acc:HGNC:9405]	1071	0.14583048224449158	0.1550979	Yes	
row_14	MAD1L1	mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]	1091	0.1446496695280075	0.16586871	Yes	
row_15	LPIN2	lipin 2 [Source:HGNC Symbol;Acc:HGNC:14450]	1094	0.14450469613075256	0.1776419	Yes	
row_16	GCHFR	GTP cyclohydrolase I feedback regulator [Source:HGNC Symbol;Acc:HGNC:4194]	1647	0.12273630499839783	0.15480736	Yes	
row_17	THY1	Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]	1671	0.12183264642953873	0.16346169	Yes	
row_18	HSPG2	heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]	1813	0.1171920895576477	0.16469353	Yes	
row_19	DNASE2	deoxyribonuclease 2, lysosomal [Source:HGNC Symbol;Acc:HGNC:2960]	1837	0.11653578281402588	0.17291194	Yes	
row_20	KLC1	kinesin light chain 1 [Source:HGNC Symbol;Acc:HGNC:6387]	1886	0.11474389582872391	0.17949124	Yes	
row_21	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229]	1892	0.1145467460155487	0.18861993	Yes	
row_22	GLI1	GLI family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:4317]	1893	0.11447460204362869	0.19804102	Yes	
row_23	RAB31	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]	1972	0.11202631890773773	0.20260668	Yes	
row_24	TRIO	trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:12303]	2013	0.11088572442531586	0.20934579	Yes	
row_25	DYRK4	dual specificity tyrosine phosphorylation regulated kinase 4 [Source:HGNC Symbol;Acc:HGNC:3095]	2075	0.10907523334026337	0.21468289	Yes	
row_26	NFE2	nuclear factor, erythroid 2 [Source:HGNC Symbol;Acc:HGNC:7780]	2085	0.10885925590991974	0.22310485	Yes	
row_27	PMPCA	peptidase, mitochondrial processing subunit alpha [Source:HGNC Symbol;Acc:HGNC:18667]	2104	0.108025461435318	0.23092121	Yes	
row_28	RRAS	RAS related [Source:HGNC Symbol;Acc:HGNC:10447]	2131	0.10718703269958496	0.23819123	Yes	
row_29	PRRC2A	proline rich coiled-coil 2A [Source:HGNC Symbol;Acc:HGNC:13918]	2162	0.10651469230651855	0.24516726	Yes	
row_30	FOSL2	FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]	2173	0.106051504611969	0.2532985	Yes	
row_31	CGREF1	cell growth regulator with EF-hand domain 1 [Source:HGNC Symbol;Acc:HGNC:16962]	2305	0.10233072191476822	0.25390393	Yes	
row_32	INPP5A	inositol polyphosphate-5-phosphatase A [Source:HGNC Symbol;Acc:HGNC:6076]	2738	0.09072382003068924	0.23559469	Yes	
row_33	PPIB	peptidylprolyl isomerase B [Source:HGNC Symbol;Acc:HGNC:9255]	2767	0.08980327099561691	0.24131472	Yes	
row_34	MASP1	MBL associated serine protease 1 [Source:HGNC Symbol;Acc:HGNC:6901]	2881	0.08690471947193146	0.24172461	Yes	
row_35	CDS1	CDP-diacylglycerol synthase 1 [Source:HGNC Symbol;Acc:HGNC:1800]	2963	0.08490265160799026	0.24387904	Yes	
row_36	PHF20	PHD finger protein 20 [Source:HGNC Symbol;Acc:HGNC:16098]	3009	0.0836927741765976	0.24808186	Yes	
row_37	MGAT5	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7049]	3028	0.08333228528499603	0.25386602	Yes	
row_38	IFITM1	interferon induced transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:5412]	3120	0.0811106264591217	0.2551117	Yes	
row_39	RUNX1	RUNX family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10471]	3208	0.07918328046798706	0.25643742	Yes	
row_40	PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:9081]	3239	0.07856053113937378	0.26111287	Yes	
row_41	PKD1	polycystin 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:9008]	3287	0.07744940370321274	0.26468256	Yes	
row_42	DAP	death associated protein [Source:HGNC Symbol;Acc:HGNC:2672]	3387	0.07527700066566467	0.2649708	Yes	
row_43	DTNA	dystrobrevin alpha [Source:HGNC Symbol;Acc:HGNC:3057]	3468	0.0734071135520935	0.26623884	Yes	
row_44	GGT5	gamma-glutamyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:4260]	3505	0.07243206351995468	0.27005193	Yes	
row_45	SNX17	sorting nexin 17 [Source:HGNC Symbol;Acc:HGNC:14979]	3531	0.0717979371547699	0.27446914	Yes	
row_46	CDR2	cerebellar degeneration related protein 2 [Source:HGNC Symbol;Acc:HGNC:1799]	3564	0.07115060091018677	0.2784154	Yes	
row_47	DMWD	DM1 locus, WD repeat containing [Source:HGNC Symbol;Acc:HGNC:2936]	3741	0.06708444654941559	0.27343518	Yes	
row_48	CENPB	centromere protein B [Source:HGNC Symbol;Acc:HGNC:1852]	3771	0.06636694818735123	0.27716675	Yes	
row_49	CD52	CD52 molecule [Source:HGNC Symbol;Acc:HGNC:1804]	3784	0.0662016049027443	0.28189906	Yes	
row_50	TSC2	TSC complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:12363]	3879	0.06409410387277603	0.28156534	No	
row_51	DUSP5	dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]	4047	0.06068987399339676	0.2765958	No	
row_52	CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	4189	0.057849179953336716	0.27294382	No	
row_53	PTPRH	protein tyrosine phosphatase receptor type H [Source:HGNC Symbol;Acc:HGNC:9672]	4229	0.05697641894221306	0.27530593	No	
row_54	IFRD2	interferon related developmental regulator 2 [Source:HGNC Symbol;Acc:HGNC:5457]	4337	0.054957807064056396	0.27344462	No	
row_55	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	4421	0.053289227187633514	0.272878	No	
row_56	CHRNA5	cholinergic receptor nicotinic alpha 5 subunit [Source:HGNC Symbol;Acc:HGNC:1959]	4607	0.04943222925066948	0.265908	No	
row_57	RASSF7	Ras association domain family member 7 [Source:HGNC Symbol;Acc:HGNC:1166]	4632	0.04887978732585907	0.26849875	No	
