NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZYX	zyxin [Source:HGNC Symbol;Acc:HGNC:13200]	138	0.230825275182724	0.0076828306	Yes	
row_1	SLC12A4	solute carrier family 12 member 4 [Source:HGNC Symbol;Acc:HGNC:10913]	184	0.22033211588859558	0.02018948	Yes	
row_2	BATF	basic leucine zipper ATF-like transcription factor [Source:HGNC Symbol;Acc:HGNC:958]	232	0.21102091670036316	0.031934872	Yes	
row_3	GLB1	galactosidase beta 1 [Source:HGNC Symbol;Acc:HGNC:4298]	239	0.2105812281370163	0.046095524	Yes	
row_4	BMP1	bone morphogenetic protein 1 [Source:HGNC Symbol;Acc:HGNC:1067]	283	0.2029859870672226	0.057525538	Yes	
row_5	GALNS	galactosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4122]	301	0.20076683163642883	0.0703534	Yes	
row_6	MSN	moesin [Source:HGNC Symbol;Acc:HGNC:7373]	314	0.19882573187351227	0.08334568	Yes	
row_7	SMOX	spermine oxidase [Source:HGNC Symbol;Acc:HGNC:15862]	328	0.19723458588123322	0.09616861	Yes	
row_8	HK3	hexokinase 3 [Source:HGNC Symbol;Acc:HGNC:4925]	343	0.1963292956352234	0.10886947	Yes	
row_9	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	562	0.17551623284816742	0.107967176	Yes	
row_10	LTBR	lymphotoxin beta receptor [Source:HGNC Symbol;Acc:HGNC:6718]	736	0.1634712517261505	0.10891859	Yes	
row_11	MYL6	myosin light chain 6 [Source:HGNC Symbol;Acc:HGNC:7587]	906	0.15449172258377075	0.10948951	Yes	
row_12	TK2	thymidine kinase 2 [Source:HGNC Symbol;Acc:HGNC:11831]	991	0.1500559151172638	0.11482469	Yes	
row_13	SMTN	smoothelin [Source:HGNC Symbol;Acc:HGNC:11126]	1010	0.14910683035850525	0.1240312	Yes	
row_14	MAD1L1	mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]	1091	0.1446496695280075	0.12923224	Yes	
row_15	TAGLN	transgelin [Source:HGNC Symbol;Acc:HGNC:11553]	1191	0.13960924744606018	0.13295245	Yes	
row_16	STAT5A	signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366]	1290	0.135748490691185	0.13646613	Yes	
row_17	ANPEP	alanyl aminopeptidase, membrane [Source:HGNC Symbol;Acc:HGNC:500]	1413	0.13123533129692078	0.13823709	Yes	
row_18	BIN1	bridging integrator 1 [Source:HGNC Symbol;Acc:HGNC:1052]	1554	0.1264551281929016	0.13860482	Yes	
row_19	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	1581	0.12524498999118805	0.145689	Yes	
row_20	GCHFR	GTP cyclohydrolase I feedback regulator [Source:HGNC Symbol;Acc:HGNC:4194]	1647	0.12273630499839783	0.15027393	Yes	
row_21	THY1	Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]	1671	0.12183264642953873	0.15730178	Yes	
row_22	GUCA2B	guanylate cyclase activator 2B [Source:HGNC Symbol;Acc:HGNC:4683]	1780	0.11822489649057388	0.15901081	Yes	
row_23	HSPG2	heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]	1813	0.1171920895576477	0.16518189	Yes	
row_24	DNASE2	deoxyribonuclease 2, lysosomal [Source:HGNC Symbol;Acc:HGNC:2960]	1837	0.11653578281402588	0.17184456	Yes	
row_25	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229]	1892	0.1145467460155487	0.17652099	Yes	
row_26	GNL1	G protein nucleolar 1 (putative) [Source:HGNC Symbol;Acc:HGNC:4413]	1907	0.11415032297372818	0.18355602	Yes	
row_27	RAB31	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]	1972	0.11202631890773773	0.18746221	Yes	
row_28	CD1A	CD1a molecule [Source:HGNC Symbol;Acc:HGNC:1634]	1973	0.11201764643192291	0.19518527	Yes	
row_29	DYRK4	dual specificity tyrosine phosphorylation regulated kinase 4 [Source:HGNC Symbol;Acc:HGNC:3095]	2075	0.10907523334026337	0.19668102	Yes	
row_30	NFE2	nuclear factor, erythroid 2 [Source:HGNC Symbol;Acc:HGNC:7780]	2085	0.10885925590991974	0.20364949	Yes	
row_31	RRAS	RAS related [Source:HGNC Symbol;Acc:HGNC:10447]	2131	0.10718703269958496	0.20835535	Yes	
row_32	CXCR3	C-X-C motif chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:4540]	2148	0.10676352679729462	0.2147618	Yes	
row_33	PRRC2A	proline rich coiled-coil 2A [Source:HGNC Symbol;Acc:HGNC:13918]	2162	0.10651469230651855	0.22133003	Yes	
row_34	NKG7	natural killer cell granule protein 7 [Source:HGNC Symbol;Acc:HGNC:7830]	2223	0.10464218258857727	0.22496572	Yes	
row_35	RCVRN	recoverin [Source:HGNC Symbol;Acc:HGNC:9937]	2229	0.10432779788970947	0.23186035	Yes	
row_36	CGREF1	cell growth regulator with EF-hand domain 1 [Source:HGNC Symbol;Acc:HGNC:16962]	2305	0.10233072191476822	0.23444195	Yes	
row_37	FGD1	FYVE, RhoGEF and PH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:3663]	2414	0.09934206306934357	0.23484911	Yes	
row_38	PCDHGA12	protocadherin gamma subfamily A, 12 [Source:HGNC Symbol;Acc:HGNC:8699]	2425	0.09908976405858994	0.24108438	Yes	
row_39	SGCA	sarcoglycan alpha [Source:HGNC Symbol;Acc:HGNC:10805]	2434	0.09890090674161911	0.24742593	Yes	
row_40	UBXN1	UBX domain protein 1 [Source:HGNC Symbol;Acc:HGNC:18402]	2627	0.09365851432085037	0.24243079	Yes	
row_41	PPIB	peptidylprolyl isomerase B [Source:HGNC Symbol;Acc:HGNC:9255]	2767	0.08980327099561691	0.2403312	Yes	
row_42	SPOCK2	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:13564]	2853	0.08758789300918579	0.24129987	Yes	
row_43	SELPLG	selectin P ligand [Source:HGNC Symbol;Acc:HGNC:10722]	2856	0.08745595812797546	0.24721022	Yes	
row_44	MASP1	MBL associated serine protease 1 [Source:HGNC Symbol;Acc:HGNC:6901]	2881	0.08690471947193146	0.25177032	Yes	
