NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FOXD1	forkhead box D1 [Source:HGNC Symbol;Acc:HGNC:3802]	83	0.24586933851242065	0.010526311	No	
row_1	TMEM158	transmembrane protein 158 [Source:HGNC Symbol;Acc:HGNC:30293]	676	0.16718275845050812	-0.014278608	No	
row_2	SYNM	synemin [Source:HGNC Symbol;Acc:HGNC:24466]	980	0.15027883648872375	-0.022900233	No	
row_3	ABCG2	ATP binding cassette subfamily G member 2 (JR blood group) [Source:HGNC Symbol;Acc:HGNC:74]	1084	0.1451244056224823	-0.019910356	No	
row_4	WNT9A	Wnt family member 9A [Source:HGNC Symbol;Acc:HGNC:12778]	1193	0.13953375816345215	-0.01757086	No	
row_5	RHOBTB2	Rho related BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18756]	1279	0.1361568421125412	-0.014071331	No	
row_6	DCLRE1B	DNA cross-link repair 1B [Source:HGNC Symbol;Acc:HGNC:17641]	2381	0.10014316439628601	-0.07347419	No	
row_7	CHRDL2	chordin like 2 [Source:HGNC Symbol;Acc:HGNC:24168]	2465	0.09796746075153351	-0.07225968	No	
row_8	MSRB1	methionine sulfoxide reductase B1 [Source:HGNC Symbol;Acc:HGNC:14133]	2699	0.09176702052354813	-0.08038756	No	
row_9	EFS	embryonal Fyn-associated substrate [Source:HGNC Symbol;Acc:HGNC:16898]	2741	0.09063906967639923	-0.077127874	No	
row_10	CYP26A1	cytochrome P450 family 26 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2603]	2783	0.08943343907594681	-0.07394409	No	
row_11	NPAS1	neuronal PAS domain protein 1 [Source:HGNC Symbol;Acc:HGNC:7894]	2826	0.08845780789852142	-0.07088142	No	
row_12	MFHAS1	multifunctional ROCO family signaling regulator 1 [Source:HGNC Symbol;Acc:HGNC:16982]	3002	0.08390466123819351	-0.07604286	No	
row_13	CIBAR1	CBY1 interacting BAR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30452]	3017	0.08355782926082611	-0.07161763	No	
row_14	UGT8	UDP glycosyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:12555]	3178	0.080014169216156	-0.07612882	No	
row_15	TSPAN5	tetraspanin 5 [Source:HGNC Symbol;Acc:HGNC:17753]	3295	0.07722965627908707	-0.07818939	No	
row_16	REEP1	receptor accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:25786]	3522	0.07204591482877731	-0.087141134	No	
row_17	PGAP4	post-GPI attachment to proteins GalNAc transferase 4 [Source:HGNC Symbol;Acc:HGNC:28180]	3714	0.06797178089618683	-0.09426058	No	
row_18	PCOLCE2	procollagen C-endopeptidase enhancer 2 [Source:HGNC Symbol;Acc:HGNC:8739]	4070	0.06027600169181824	-0.11165208	No	
