NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HEBP1	heme binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17176]	135	0.23141741752624512	0.005697945	No	
row_1	IRS1	insulin receptor substrate 1 [Source:HGNC Symbol;Acc:HGNC:6125]	312	0.1989155262708664	0.007014198	No	
row_2	SNX7	sorting nexin 7 [Source:HGNC Symbol;Acc:HGNC:14971]	514	0.18035531044006348	0.0057334965	No	
row_3	H2BC6	H2B clustered histone 6 [Source:HGNC Symbol;Acc:HGNC:4753]	669	0.16756722331047058	0.0064996476	No	
row_4	CSTA	cystatin A [Source:HGNC Symbol;Acc:HGNC:2481]	706	0.16528570652008057	0.014178268	No	
row_5	H4C8	H4 clustered histone 8 [Source:HGNC Symbol;Acc:HGNC:4788]	711	0.16489288210868835	0.023744889	No	
row_6	PRPF6	pre-mRNA processing factor 6 [Source:HGNC Symbol;Acc:HGNC:15860]	1002	0.14940579235553741	0.015307767	No	
row_7	H2BC5	H2B clustered histone 5 [Source:HGNC Symbol;Acc:HGNC:4747]	1112	0.14353619515895844	0.017332736	No	
row_8	ARMC9	armadillo repeat containing 9 [Source:HGNC Symbol;Acc:HGNC:20730]	1153	0.14121782779693604	0.023341214	No	
row_9	PDLIM3	PDZ and LIM domain 3 [Source:HGNC Symbol;Acc:HGNC:20767]	1319	0.13466079533100128	0.021493517	No	
row_10	ATF7IP	activating transcription factor 7 interacting protein [Source:HGNC Symbol;Acc:HGNC:20092]	1420	0.1309623420238495	0.023308339	No	
row_11	DDX60	DExD/H-box helicase 60 [Source:HGNC Symbol;Acc:HGNC:25942]	1426	0.13080184161663055	0.030787967	No	
row_12	NET1	neuroepithelial cell transforming 1 [Source:HGNC Symbol;Acc:HGNC:14592]	1555	0.1264166384935379	0.030660033	No	
row_13	BMERB1	bMERB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19213]	1607	0.12443958967924118	0.035013743	No	
row_14	CTSH	cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]	1622	0.1237993985414505	0.041539393	No	
row_15	H1-2	H1.2 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4716]	1799	0.11758117377758026	0.03801901	No	
row_16	GULP1	GULP PTB domain containing engulfment adaptor 1 [Source:HGNC Symbol;Acc:HGNC:18649]	1924	0.1134972795844078	0.03736173	No	
row_17	H2AC11	H2A clustered histone 11 [Source:HGNC Symbol;Acc:HGNC:4737]	1933	0.1132453978061676	0.043618154	No	
row_18	H2AC6	H2A clustered histone 6 [Source:HGNC Symbol;Acc:HGNC:4733]	2103	0.10810592025518417	0.03995242	No	
row_19	IFI27	interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]	2189	0.10554573684930801	0.041151766	No	
row_20	H3C10	H3 clustered histone 10 [Source:HGNC Symbol;Acc:HGNC:4775]	2413	0.09940940141677856	0.033743463	No	
row_21	MDK	midkine [Source:HGNC Symbol;Acc:HGNC:6972]	2711	0.09150585532188416	0.021445146	No	
row_22	MOCOS	molybdenum cofactor sulfurase [Source:HGNC Symbol;Acc:HGNC:18234]	2787	0.08935990184545517	0.022279283	No	
row_23	PHF20	PHD finger protein 20 [Source:HGNC Symbol;Acc:HGNC:16098]	3009	0.0836927741765976	0.014055833	No	
row_24	HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 [Source:HGNC Symbol;Acc:HGNC:26072]	3242	0.07850607484579086	0.004866921	No	
row_25	TSPAN5	tetraspanin 5 [Source:HGNC Symbol;Acc:HGNC:17753]	3295	0.07722965627908707	0.006353508	No	
