NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRS1	insulin receptor substrate 1 [Source:HGNC Symbol;Acc:HGNC:6125]	312	0.1989155262708664	-0.0074312342	No	
row_1	ADAM9	ADAM metallopeptidase domain 9 [Source:HGNC Symbol;Acc:HGNC:216]	384	0.1925337165594101	-8.2288706E-4	No	
row_2	IFT57	intraflagellar transport 57 [Source:HGNC Symbol;Acc:HGNC:17367]	1123	0.14287157356739044	-0.03686513	No	
row_3	DDX60	DExD/H-box helicase 60 [Source:HGNC Symbol;Acc:HGNC:25942]	1426	0.13080184161663055	-0.047537506	No	
row_4	STK17A	serine/threonine kinase 17a [Source:HGNC Symbol;Acc:HGNC:11395]	1593	0.12490137666463852	-0.050416697	No	
row_5	BMERB1	bMERB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19213]	1607	0.12443958967924118	-0.044180494	No	
row_6	ANXA3	annexin A3 [Source:HGNC Symbol;Acc:HGNC:541]	1704	0.12059058248996735	-0.043120276	No	
row_7	HSPB8	heat shock protein family B (small) member 8 [Source:HGNC Symbol;Acc:HGNC:30171]	1863	0.11546510457992554	-0.04605328	No	
row_8	GULP1	GULP PTB domain containing engulfment adaptor 1 [Source:HGNC Symbol;Acc:HGNC:18649]	1924	0.1134972795844078	-0.04324189	No	
row_9	MTCL1	microtubule crosslinking factor 1 [Source:HGNC Symbol;Acc:HGNC:29121]	1942	0.11299512535333633	-0.03788964	No	
row_10	RAB31	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]	1972	0.11202631890773773	-0.033308964	No	
row_11	OAS2	2'-5'-oligoadenylate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:8087]	2001	0.11113903671503067	-0.028718542	No	
row_12	IFI27	interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]	2189	0.10554573684930801	-0.03394325	No	
row_13	RIGI	RNA sensor RIG-I [Source:HGNC Symbol;Acc:HGNC:19102]	2525	0.0961824581027031	-0.04853832	No	
row_14	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	2785	0.08941233158111572	-0.058974087	No	
row_15	EHBP1	EH domain binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29144]	2866	0.0872698724269867	-0.058835726	No	
row_16	RBBP8	RB binding protein 8, endonuclease [Source:HGNC Symbol;Acc:HGNC:9891]	3193	0.07949987798929214	-0.07383323	No	
row_17	HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 [Source:HGNC Symbol;Acc:HGNC:26072]	3242	0.07850607484579086	-0.07227683	No	
row_18	SMAD7	SMAD family member 7 [Source:HGNC Symbol;Acc:HGNC:6773]	3464	0.07355039566755295	-0.081336096	No	
row_19	BST2	bone marrow stromal cell antigen 2 [Source:HGNC Symbol;Acc:HGNC:1119]	3566	0.07113457471132278	-0.08336177	No	
row_20	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	3742	0.06708206981420517	-0.09003716	No	
row_21	WIPF1	WAS/WASL interacting protein family member 1 [Source:HGNC Symbol;Acc:HGNC:12736]	3840	0.06507941335439682	-0.09216508	No	
row_22	TM4SF1	transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]	3870	0.06443957984447479	-0.09026621	No	
row_23	NRIP1	nuclear receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8001]	4036	0.060825034976005554	-0.09669675	No	
row_24	OAS1	2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]	4404	0.05357199162244797	-0.11560511	No	
