NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SAP30BP	SAP30 binding protein [Source:HGNC Symbol;Acc:HGNC:30785]	278	0.2036658525466919	-4.5398698E-4	Yes	
row_1	BMP1	bone morphogenetic protein 1 [Source:HGNC Symbol;Acc:HGNC:1067]	283	0.2029859870672226	0.015377875	Yes	
row_2	VPS33B	VPS33B late endosome and lysosome associated [Source:HGNC Symbol;Acc:HGNC:12712]	453	0.18625932931900024	0.020045904	Yes	
row_3	TFEB	transcription factor EB [Source:HGNC Symbol;Acc:HGNC:11753]	546	0.17762503027915955	0.028622162	Yes	
row_4	NAPSA	napsin A aspartic peptidase [Source:HGNC Symbol;Acc:HGNC:13395]	621	0.17100723087787628	0.037747897	Yes	
row_5	MYL9	myosin light chain 9 [Source:HGNC Symbol;Acc:HGNC:15754]	704	0.1653834730386734	0.04595133	Yes	
row_6	APOBR	apolipoprotein B receptor [Source:HGNC Symbol;Acc:HGNC:24087]	744	0.1630069762468338	0.05653087	Yes	
row_7	CNN1	calponin 1 [Source:HGNC Symbol;Acc:HGNC:2155]	863	0.15665949881076813	0.061896805	Yes	
row_8	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]	880	0.15561933815479279	0.07326304	Yes	
row_9	ANGPTL4	angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039]	925	0.15331147611141205	0.08277682	Yes	
row_10	AMH	anti-Mullerian hormone [Source:HGNC Symbol;Acc:HGNC:464]	1025	0.14857307076454163	0.0886356	Yes	
row_11	NINJ2	ninjurin 2 [Source:HGNC Symbol;Acc:HGNC:7825]	1086	0.14506249129772186	0.096542165	Yes	
row_12	MAD1L1	mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]	1091	0.1446496695280075	0.10775554	Yes	
row_13	SLC30A1	solute carrier family 30 member 1 [Source:HGNC Symbol;Acc:HGNC:11012]	1169	0.14064432680606842	0.114298545	Yes	
