NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NRP2	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]	32	0.2758718729019165	0.017149033	Yes	
row_1	ARAF	A-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:646]	42	0.26616042852401733	0.03499878	Yes	
row_2	RAB34	RAB34, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16519]	77	0.24894064664840698	0.050168127	Yes	
row_3	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	92	0.2426067739725113	0.0660926	Yes	
row_4	NECAP2	NECAP endocytosis associated 2 [Source:HGNC Symbol;Acc:HGNC:25528]	104	0.23931904137134552	0.081968874	Yes	
row_5	TUBA4B	tubulin alpha 4b [Source:HGNC Symbol;Acc:HGNC:18637]	142	0.22989872097969055	0.09564389	Yes	
row_6	TBC1D1	TBC1 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:11578]	150	0.22795237600803375	0.110973485	Yes	
row_7	ZDHHC5	zinc finger DHHC-type palmitoyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:18472]	156	0.22717086970806122	0.12636834	Yes	
row_8	CD276	CD276 molecule [Source:HGNC Symbol;Acc:HGNC:19137]	219	0.21339823305606842	0.13741267	Yes	
row_9	CDHR5	cadherin related family member 5 [Source:HGNC Symbol;Acc:HGNC:7521]	247	0.20952820777893066	0.15027682	Yes	
row_10	EEPD1	endonuclease/exonuclease/phosphatase family domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22223]	313	0.1989048570394516	0.16014104	Yes	
row_11	NPTN	neuroplastin [Source:HGNC Symbol;Acc:HGNC:17867]	383	0.19273413717746735	0.16934045	Yes	
row_12	ITGAE	integrin subunit alpha E [Source:HGNC Symbol;Acc:HGNC:6147]	414	0.18945813179016113	0.18063925	Yes	
row_13	IRF9	interferon regulatory factor 9 [Source:HGNC Symbol;Acc:HGNC:6131]	437	0.18745073676109314	0.19227646	Yes	
row_14	RMDN3	regulator of microtubule dynamics 3 [Source:HGNC Symbol;Acc:HGNC:25550]	468	0.18515552580356598	0.20327805	Yes	
row_15	CX3CL1	C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]	531	0.17865511775016785	0.21192232	Yes	
row_16	CDCP1	CUB domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:24357]	617	0.1713111847639084	0.21868767	Yes	
row_17	DOK1	docking protein 1 [Source:HGNC Symbol;Acc:HGNC:2990]	633	0.17016912996768951	0.2295485	Yes	
row_18	TTC23	tetratricopeptide repeat domain 23 [Source:HGNC Symbol;Acc:HGNC:25730]	642	0.16898201406002045	0.24074475	Yes	
row_19	GNPTAB	N-acetylglucosamine-1-phosphate transferase subunits alpha and beta [Source:HGNC Symbol;Acc:HGNC:29670]	722	0.16440410912036896	0.24739078	Yes	
row_20	WIPI2	WD repeat domain, phosphoinositide interacting 2 [Source:HGNC Symbol;Acc:HGNC:32225]	733	0.16362778842449188	0.2580979	Yes	
row_21	F8A1	coagulation factor VIII associated 1 [Source:HGNC Symbol;Acc:HGNC:3547]	781	0.1611679047346115	0.26642865	Yes	
row_22	HYOU1	hypoxia up-regulated 1 [Source:HGNC Symbol;Acc:HGNC:16931]	814	0.1592947542667389	0.2755245	Yes	
row_23	NACC2	NACC family member 2 [Source:HGNC Symbol;Acc:HGNC:23846]	841	0.15811610221862793	0.28489673	Yes	
row_24	CNN1	calponin 1 [Source:HGNC Symbol;Acc:HGNC:2155]	863	0.15665949881076813	0.2944665	Yes	
row_25	MDFI	MyoD family inhibitor [Source:HGNC Symbol;Acc:HGNC:6967]	894	0.1549176722764969	0.30337924	Yes	
row_26	DHRSX	dehydrogenase/reductase X-linked [Source:HGNC Symbol;Acc:HGNC:18399]	921	0.15339098870754242	0.31242505	Yes	
row_27	ACVR1	activin A receptor type 1 [Source:HGNC Symbol;Acc:HGNC:171]	1046	0.14715152978897095	0.31519574	Yes	
row_28	CCDC71L	coiled-coil domain containing 71 like [Source:HGNC Symbol;Acc:HGNC:26685]	1274	0.13624484837055206	0.31107068	Yes	
row_29	STX1A	syntaxin 1A [Source:HGNC Symbol;Acc:HGNC:11433]	1281	0.13612288236618042	0.3201163	Yes	
row_30	PPM1M	protein phosphatase, Mg2+/Mn2+ dependent 1M [Source:HGNC Symbol;Acc:HGNC:26506]	1361	0.13302873075008392	0.3245949	Yes	
row_31	SLC11A1	solute carrier family 11 member 1 [Source:HGNC Symbol;Acc:HGNC:10907]	1440	0.1304185390472412	0.32895282	Yes	
row_32	PSMB8	proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]	1445	0.13013231754302979	0.33770385	Yes	
row_33	IKBKG	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma [Source:HGNC Symbol;Acc:HGNC:5961]	1552	0.1264796108007431	0.34011993	Yes	
row_34	HSPG2	heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]	1813	0.1171920895576477	0.3327108	Yes	
row_35	CNN2	calponin 2 [Source:HGNC Symbol;Acc:HGNC:2156]	1934	0.11319632083177567	0.33337435	Yes	
row_36	AGTRAP	angiotensin II receptor associated protein [Source:HGNC Symbol;Acc:HGNC:13539]	2061	0.10948587208986282	0.33342382	Yes	
row_37	MLLT1	MLLT1 super elongation complex subunit [Source:HGNC Symbol;Acc:HGNC:7134]	2133	0.10717303305864334	0.33659336	Yes	
row_38	PITPNM1	phosphatidylinositol transfer protein membrane associated 1 [Source:HGNC Symbol;Acc:HGNC:9003]	2163	0.10647279769182205	0.34221914	Yes	
row_39	GJB6	gap junction protein beta 6 [Source:HGNC Symbol;Acc:HGNC:4288]	2224	0.10464175045490265	0.3458698	Yes	
row_40	PDCD7	programmed cell death 7 [Source:HGNC Symbol;Acc:HGNC:8767]	2231	0.10429065674543381	0.35271645	Yes	
row_41	GLA	galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]	2247	0.10381785780191422	0.3589937	Yes	
row_42	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:249]	2248	0.10372035950422287	0.36615875	Yes	
