NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRR5L	proline rich 5 like [Source:HGNC Symbol;Acc:HGNC:25878]	23	0.2853368818759918	0.01778575	No	
row_1	TREM1	triggering receptor expressed on myeloid cells 1 [Source:HGNC Symbol;Acc:HGNC:17760]	228	0.21213003993034363	0.019874666	No	
row_2	PRKG2	protein kinase cGMP-dependent 2 [Source:HGNC Symbol;Acc:HGNC:9416]	356	0.19539853930473328	0.02542721	No	
row_3	TG	thyroglobulin [Source:HGNC Symbol;Acc:HGNC:11764]	476	0.1844109147787094	0.030718667	No	
row_4	MYLK	myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]	943	0.15200720727443695	0.01316397	No	
row_5	SEC14L2	SEC14 like lipid binding 2 [Source:HGNC Symbol;Acc:HGNC:10699]	1120	0.1429147571325302	0.012274132	No	
row_6	ZNF286A	zinc finger protein 286A [Source:HGNC Symbol;Acc:HGNC:13501]	1267	0.13648398220539093	0.012739667	No	
row_7	HAL	histidine ammonia-lyase [Source:HGNC Symbol;Acc:HGNC:4806]	1297	0.13554324209690094	0.020111725	No	
row_8	LMOD1	leiomodin 1 [Source:HGNC Symbol;Acc:HGNC:6647]	1305	0.13508792221546173	0.028763752	No	
row_9	RHOD	ras homolog family member D [Source:HGNC Symbol;Acc:HGNC:670]	1352	0.13329365849494934	0.034972098	No	
row_10	ZNF629	zinc finger protein 629 [Source:HGNC Symbol;Acc:HGNC:29008]	1386	0.13190999627113342	0.04186196	No	
row_11	HYAL3	hyaluronidase 3 [Source:HGNC Symbol;Acc:HGNC:5322]	1588	0.12497738003730774	0.038278665	No	
row_12	CEP41	centrosomal protein 41 [Source:HGNC Symbol;Acc:HGNC:12370]	1693	0.1209968850016594	0.04020642	No	
row_13	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	1706	0.12052150815725327	0.047582697	No	
row_14	GUCA1B	guanylate cyclase activator 1B [Source:HGNC Symbol;Acc:HGNC:4679]	1726	0.11991080641746521	0.054500982	No	
row_15	GJB3	gap junction protein beta 3 [Source:HGNC Symbol;Acc:HGNC:4285]	1797	0.11763416230678558	0.058228362	No	
row_16	SLC8B1	solute carrier family 8 member B1 [Source:HGNC Symbol;Acc:HGNC:26175]	1867	0.11526669561862946	0.061856374	No	
row_17	ITGA6	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	1925	0.11341778934001923	0.0660751	No	
row_18	GPC4	glypican 4 [Source:HGNC Symbol;Acc:HGNC:4452]	2366	0.1004309430718422	0.04660669	No	
row_19	ASPHD1	aspartate beta-hydroxylase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:27380]	2493	0.09710415452718735	0.04561989	No	
row_20	KCNS1	potassium voltage-gated channel modifier subfamily S member 1 [Source:HGNC Symbol;Acc:HGNC:6300]	2574	0.09480999410152435	0.047219288	No	
row_21	GCNT4	glucosaminyl (N-acetyl) transferase 4 [Source:HGNC Symbol;Acc:HGNC:17973]	2659	0.09278082102537155	0.04844418	No	
row_22	FES	FES proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3657]	2848	0.08777546882629395	0.043137774	No	
row_23	ADAM28	ADAM metallopeptidase domain 28 [Source:HGNC Symbol;Acc:HGNC:206]	2937	0.08562599122524261	0.043644052	No	
row_24	OSGIN1	oxidative stress induced growth inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:30093]	2983	0.08441409468650818	0.04663048	No	
row_25	PHKG1	phosphorylase kinase catalytic subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:8930]	2997	0.08409241586923599	0.051501546	No	
row_26	CLEC7A	C-type lectin domain containing 7A [Source:HGNC Symbol;Acc:HGNC:14558]	3040	0.08300522714853287	0.054572098	No	
row_27	MISP	mitotic spindle positioning [Source:HGNC Symbol;Acc:HGNC:27000]	3272	0.07782172411680222	0.04603595	No	
row_28	EFNA5	ephrin A5 [Source:HGNC Symbol;Acc:HGNC:3225]	3353	0.0758652538061142	0.046363506	No	
row_29	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	3567	0.07112877070903778	0.03845029	No	
