NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SYT1	synaptotagmin 1 [Source:HGNC Symbol;Acc:HGNC:11509]	59	0.2586442828178406	0.0115656955	No	
row_1	NEBL	nebulette [Source:HGNC Symbol;Acc:HGNC:16932]	1152	0.14123335480690002	-0.04518988	No	
row_2	CALB1	calbindin 1 [Source:HGNC Symbol;Acc:HGNC:1434]	1327	0.13434457778930664	-0.047713917	No	
row_3	SV2B	synaptic vesicle glycoprotein 2B [Source:HGNC Symbol;Acc:HGNC:16874]	1414	0.13122865557670593	-0.04518243	No	
row_4	GPNMB	glycoprotein nmb [Source:HGNC Symbol;Acc:HGNC:4462]	1970	0.11206888407468796	-0.071679495	No	
row_5	GPRC5B	G protein-coupled receptor class C group 5 member B [Source:HGNC Symbol;Acc:HGNC:13308]	2218	0.10467633605003357	-0.08027742	No	
row_6	TRIL	TLR4 interactor with leucine rich repeats [Source:HGNC Symbol;Acc:HGNC:22200]	2282	0.102810800075531	-0.07803367	No	
row_7	CP	ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]	2328	0.10142828524112701	-0.07479928	No	
row_8	TUBB4A	tubulin beta 4A class IVa [Source:HGNC Symbol;Acc:HGNC:20774]	2335	0.1011253222823143	-0.06926153	No	
row_9	SORBS1	sorbin and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14565]	2871	0.08712824434041977	-0.096022174	No	
row_10	GRM5	glutamate metabotropic receptor 5 [Source:HGNC Symbol;Acc:HGNC:4597]	2915	0.08605456352233887	-0.09356492	No	
row_11	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:800]	3146	0.08059509843587875	-0.10255488	No	
row_12	SLC1A3	solute carrier family 1 member 3 [Source:HGNC Symbol;Acc:HGNC:10941]	3171	0.08014874905347824	-0.099311136	No	
row_13	PELI2	pellino E3 ubiquitin protein ligase family member 2 [Source:HGNC Symbol;Acc:HGNC:8828]	3596	0.07051842659711838	-0.120434046	No	
row_14	CDR1	cerebellar degeneration related 1 [Source:HGNC Symbol;Acc:HGNC:1798]	4098	0.059626977890729904	-0.14677435	No	
row_15	XK	X-linked Kx blood group antigen, Kell and VPS13A binding protein [Source:HGNC Symbol;Acc:HGNC:12811]	4544	0.050773970782756805	-0.170298	No	
row_16	ANK3	ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]	4631	0.048918716609478	-0.17256454	No	
row_17	PCP4	Purkinje cell protein 4 [Source:HGNC Symbol;Acc:HGNC:8742]	4701	0.04760035499930382	-0.17389621	No	
row_18	AK5	adenylate kinase 5 [Source:HGNC Symbol;Acc:HGNC:365]	6174	0.020011380314826965	-0.26033312	No	
row_19	MPZL2	myelin protein zero like 2 [Source:HGNC Symbol;Acc:HGNC:3496]	6226	0.019120322540402412	-0.2622537	No	
row_20	GPM6A	glycoprotein M6A [Source:HGNC Symbol;Acc:HGNC:4460]	6416	0.016153989359736443	-0.27256006	No	
row_21	VIPR2	vasoactive intestinal peptide receptor 2 [Source:HGNC Symbol;Acc:HGNC:12695]	6490	0.01496851071715355	-0.27603197	No	
row_22	GABRA5	gamma-aminobutyric acid type A receptor subunit alpha5 [Source:HGNC Symbol;Acc:HGNC:4079]	6494	0.014901476912200451	-0.27534187	No	
row_23	DDX6	DEAD-box helicase 6 [Source:HGNC Symbol;Acc:HGNC:2747]	6732	0.011174271814525127	-0.2887951	No	
row_24	MAFB	MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]	7046	0.006650457624346018	-0.30703506	No	
row_25	DUSP6	dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]	7069	0.00640885578468442	-0.30797076	No	
row_26	ITGBL1	integrin subunit beta like 1 [Source:HGNC Symbol;Acc:HGNC:6164]	7260	0.0035816633608192205	-0.3190695	No	
row_27	ANK2	ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]	7326	0.0024246752727776766	-0.3227965	No	
row_28	NDN	necdin, MAGE family member [Source:HGNC Symbol;Acc:HGNC:7675]	7328	0.0023659158032387495	-0.3227181	No	
row_29	CRTAM	cytotoxic and regulatory T cell molecule [Source:HGNC Symbol;Acc:HGNC:24313]	7409	0.0011359313502907753	-0.32741293	No	
row_30	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	7689	-0.0032165679149329662	-0.34382963	No	
row_31	GABRR2	gamma-aminobutyric acid type A receptor subunit rho2 [Source:HGNC Symbol;Acc:HGNC:4091]	8396	-0.014717343263328075	-0.384988	No	
row_32	NUDT11	nudix hydrolase 11 [Source:HGNC Symbol;Acc:HGNC:18011]	8628	-0.01844501495361328	-0.39766037	No	
row_33	CRYAB	crystallin alpha B [Source:HGNC Symbol;Acc:HGNC:2389]	8934	-0.023786431178450584	-0.4144253	No	
row_34	PLCL1	phospholipase C like 1 (inactive) [Source:HGNC Symbol;Acc:HGNC:9063]	8998	-0.024849670007824898	-0.4167261	No	
row_35	RAPGEF4	Rap guanine nucleotide exchange factor 4 [Source:HGNC Symbol;Acc:HGNC:16626]	9249	-0.029229935258626938	-0.42990053	No	
row_36	GLDC	glycine decarboxylase [Source:HGNC Symbol;Acc:HGNC:4313]	9327	-0.03019050695002079	-0.43272316	No	
row_37	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	9357	-0.030795147642493248	-0.43265393	No	
row_38	KCNJ8	potassium inwardly rectifying channel subfamily J member 8 [Source:HGNC Symbol;Acc:HGNC:6269]	9374	-0.031064577400684357	-0.4317953	No	
row_39	SCN2A	sodium voltage-gated channel alpha subunit 2 [Source:HGNC Symbol;Acc:HGNC:10588]	9391	-0.03129303827881813	-0.43092337	No	
row_40	DYNC1I1	dynein cytoplasmic 1 intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:2963]	9409	-0.03154096007347107	-0.4300965	No	
