NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MARCHF2	membrane associated ring-CH-type finger 2 [Source:HGNC Symbol;Acc:HGNC:28038]	102	0.23973417282104492	0.007978292	No	
row_1	MVP	major vault protein [Source:HGNC Symbol;Acc:HGNC:7531]	299	0.20114292204380035	0.008080464	No	
row_2	DPYSL3	dihydropyrimidinase like 3 [Source:HGNC Symbol;Acc:HGNC:3015]	422	0.18896223604679108	0.011885526	No	
row_3	VILL	villin like [Source:HGNC Symbol;Acc:HGNC:30906]	961	0.15102441608905792	-0.011369923	No	
row_4	RNF144A	ring finger protein 144A [Source:HGNC Symbol;Acc:HGNC:20457]	1109	0.1436036378145218	-0.011718929	No	
row_5	RHOBTB2	Rho related BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18756]	1279	0.1361568421125412	-0.013818264	No	
row_6	MFGE8	milk fat globule EGF and factor V/VIII domain containing [Source:HGNC Symbol;Acc:HGNC:7036]	1367	0.1326681524515152	-0.011227083	No	
row_7	PDGFC	platelet derived growth factor C [Source:HGNC Symbol;Acc:HGNC:8801]	1488	0.12846073508262634	-0.010852823	No	
row_8	TLR3	toll like receptor 3 [Source:HGNC Symbol;Acc:HGNC:11849]	1564	0.1258806735277176	-0.007943553	No	
row_9	CTSH	cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]	1622	0.1237993985414505	-0.0040818485	No	
row_10	BTN3A3	butyrophilin subfamily 3 member A3 [Source:HGNC Symbol;Acc:HGNC:1140]	1636	0.12325673550367355	0.002374722	No	
row_11	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	1701	0.12069398164749146	0.0056363167	No	
row_12	PLLP	plasmolipin [Source:HGNC Symbol;Acc:HGNC:18553]	1858	0.11564769595861435	0.003109589	No	
row_13	TPM1	tropomyosin 1 [Source:HGNC Symbol;Acc:HGNC:12010]	1958	0.11243872344493866	0.003797342	No	
row_14	TEX14	testis expressed 14, intercellular bridge forming factor [Source:HGNC Symbol;Acc:HGNC:11737]	2067	0.10931815952062607	0.0037647004	No	
row_15	OAS3	2'-5'-oligoadenylate synthetase 3 [Source:HGNC Symbol;Acc:HGNC:8088]	2287	0.1026967391371727	-0.0032829533	No	
row_16	HCFC1R1	host cell factor C1 regulator 1 [Source:HGNC Symbol;Acc:HGNC:21198]	2367	0.10040808469057083	-0.002107194	No	
row_17	CYP2J2	cytochrome P450 family 2 subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:2634]	2438	0.0987376868724823	-4.921711E-4	No	
row_18	SLC6A20	solute carrier family 6 member 20 [Source:HGNC Symbol;Acc:HGNC:30927]	2515	0.0964587852358818	6.309392E-4	No	
row_19	RIGI	RNA sensor RIG-I [Source:HGNC Symbol;Acc:HGNC:19102]	2525	0.0961824581027031	0.005737596	No	
row_20	MOCOS	molybdenum cofactor sulfurase [Source:HGNC Symbol;Acc:HGNC:18234]	2787	0.08935990184545517	-0.0045999694	No	
row_21	DIXDC1	DIX domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23695]	2814	0.0888555645942688	-9.381154E-4	No	
row_22	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	2907	0.08620518445968628	-0.0013718478	No	
row_23	TNS3	tensin 3 [Source:HGNC Symbol;Acc:HGNC:21616]	3057	0.08261238783597946	-0.005419186	No	
row_24	PLAC8	placenta associated 8 [Source:HGNC Symbol;Acc:HGNC:19254]	3215	0.07905742526054382	-0.010152711	No	
row_25	HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 [Source:HGNC Symbol;Acc:HGNC:26072]	3242	0.07850607484579086	-0.0070981598	No	
row_26	CXCL5	C-X-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10642]	3371	0.07558020204305649	-0.010304486	No	
row_27	GALC	galactosylceramidase [Source:HGNC Symbol;Acc:HGNC:4115]	3404	0.07481735199689865	-0.0078245755	No	
row_28	HAUS4	HAUS augmin like complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:20163]	3422	0.07452073693275452	-0.0044666007	No	
row_29	C1orf115	chromosome 1 open reading frame 115 [Source:HGNC Symbol;Acc:HGNC:25873]	3478	0.0731031522154808	-0.0034603302	No	
row_30	PDGFRL	platelet derived growth factor receptor like [Source:HGNC Symbol;Acc:HGNC:8805]	3520	0.07205799967050552	-0.001679618	No	
row_31	GAREM1	GRB2 associated regulator of MAPK1 subtype 1 [Source:HGNC Symbol;Acc:HGNC:26136]	3727	0.06751212477684021	-0.010015814	No	
row_32	NUDT18	nudix hydrolase 18 [Source:HGNC Symbol;Acc:HGNC:26194]	3755	0.0667295902967453	-0.0077119996	No	
row_33	TM4SF1	transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]	3870	0.06443957984447479	-0.010736281	No	
row_34	RABL6	RAB, member RAS oncogene family like 6 [Source:HGNC Symbol;Acc:HGNC:24703]	4040	0.06079171970486641	-0.017258003	No	
row_35	USP18	ubiquitin specific peptidase 18 [Source:HGNC Symbol;Acc:HGNC:12616]	4065	0.06031597778201103	-0.015151443	No	
row_36	OAS1	2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]	4404	0.05357199162244797	-0.032185767	No	
row_37	XK	X-linked Kx blood group antigen, Kell and VPS13A binding protein [Source:HGNC Symbol;Acc:HGNC:12811]	4544	0.050773970782756805	-0.037504386	No	
row_38	ACSL5	acyl-CoA synthetase long chain family member 5 [Source:HGNC Symbol;Acc:HGNC:16526]	4559	0.05049476772546768	-0.03537715	No	
row_39	SLC24A1	solute carrier family 24 member 1 [Source:HGNC Symbol;Acc:HGNC:10975]	4613	0.049337368458509445	-0.035646047	No	
row_40	ANK3	ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]	4631	0.048918716609478	-0.033790387	No	
row_41	EFNB2	ephrin B2 [Source:HGNC Symbol;Acc:HGNC:3227]	4683	0.04788021370768547	-0.034025393	No	
row_42	PCP4	Purkinje cell protein 4 [Source:HGNC Symbol;Acc:HGNC:8742]	4701	0.04760035499930382	-0.032247093	No	
row_43	KLRC3	killer cell lectin like receptor C3 [Source:HGNC Symbol;Acc:HGNC:6376]	4844	0.04439699649810791	-0.038119007	No	
row_44	PRR15L	proline rich 15 like [Source:HGNC Symbol;Acc:HGNC:28149]	4932	0.04270990937948227	-0.040806532	No	
row_45	SLC44A4	solute carrier family 44 member 4 [Source:HGNC Symbol;Acc:HGNC:13941]	4972	0.041939977556467056	-0.040673733	No	
row_46	PRSS8	serine protease 8 [Source:HGNC Symbol;Acc:HGNC:9491]	5235	0.03752189874649048	-0.054112826	No	
row_47	GDE1	glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644]	5305	0.03603287413716316	-0.05611759	No	
row_48	ID3	inhibitor of DNA binding 3 [Source:HGNC Symbol;Acc:HGNC:5362]	5336	0.035585466772317886	-0.05582039	No	
row_49	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	5342	0.03542974218726158	-0.05403988	No	
row_50	PAK1	p21 (RAC1) activated kinase 1 [Source:HGNC Symbol;Acc:HGNC:8590]	5398	0.03416989743709564	-0.055318195	No	
row_51	TNFSF15	TNF superfamily member 15 [Source:HGNC Symbol;Acc:HGNC:11931]	5444	0.03292560949921608	-0.056072544	No	
row_52	RAC2	Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]	5464	0.032641228288412094	-0.055291433	No	
row_53	MANBA	mannosidase beta [Source:HGNC Symbol;Acc:HGNC:6831]	5619	0.030261993408203125	-0.06270915	No	
row_54	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	5704	0.02869940921664238	-0.06603971	No	
row_55	PF4	platelet factor 4 [Source:HGNC Symbol;Acc:HGNC:8861]	5816	0.026459356769919395	-0.071113564	No	
row_56	KRT20	keratin 20 [Source:HGNC Symbol;Acc:HGNC:20412]	5821	0.026359666138887405	-0.069805585	No	
row_57	RBM47	RNA binding motif protein 47 [Source:HGNC Symbol;Acc:HGNC:30358]	5854	0.025612585246562958	-0.07021298	No	
row_58	GALNT12	polypeptide N-acetylgalactosaminyltransferase 12 [Source:HGNC Symbol;Acc:HGNC:19877]	6003	0.023159559816122055	-0.07768928	No	
row_59	NLRP2	NLR family pyrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:22948]	6399	0.01641188934445381	-0.10030693	No	
row_60	TSPAN8	tetraspanin 8 [Source:HGNC Symbol;Acc:HGNC:11855]	6517	0.014437439851462841	-0.1064444	No	
row_61	FAM83E	family with sequence similarity 83 member E [Source:HGNC Symbol;Acc:HGNC:25972]	6589	0.013029620051383972	-0.109918386	No	
row_62	AP1M2	adaptor related protein complex 1 subunit mu 2 [Source:HGNC Symbol;Acc:HGNC:558]	6717	0.011401264928281307	-0.116831	No	
row_63	GSPT2	G1 to S phase transition 2 [Source:HGNC Symbol;Acc:HGNC:4622]	6951	0.008190811611711979	-0.13025999	No	
row_64	ALCAM	activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]	6960	0.008083117194473743	-0.13026325	No	
row_65	AKR1C3	aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]	7005	0.007343113888055086	-0.13245907	No	
row_66	BDKRB2	bradykinin receptor B2 [Source:HGNC Symbol;Acc:HGNC:1030]	7097	0.006023224908858538	-0.13753815	No	
row_67	ID1	inhibitor of DNA binding 1 [Source:HGNC Symbol;Acc:HGNC:5360]	7196	0.004636360332369804	-0.14311649	No	
row_68	SH3BGRL	SH3 domain binding glutamate rich protein like [Source:HGNC Symbol;Acc:HGNC:10823]	7239	0.003911142237484455	-0.1453943	No	
row_69	NME3	NME/NM23 nucleoside diphosphate kinase 3 [Source:HGNC Symbol;Acc:HGNC:7851]	7286	0.0031402679160237312	-0.14795613	No	
row_70	MANSC1	MANSC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25505]	7316	0.0026214937679469585	-0.14953354	No	
row_71	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	7396	0.0012619431363418698	-0.15417562	No	
