NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FLVCR2	FLVCR choline and putative heme transporter 2 [Source:HGNC Symbol;Acc:HGNC:20105]	0	0.35044556856155396	0.020128291	Yes	
row_1	CUEDC1	CUE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:31350]	33	0.2758442163467407	0.03406017	Yes	
row_2	PACS1	phosphofurin acidic cluster sorting protein 1 [Source:HGNC Symbol;Acc:HGNC:30032]	49	0.26152676343917847	0.048185237	Yes	
row_3	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	92	0.2426067739725113	0.05961071	Yes	
row_4	CHST11	carbohydrate sulfotransferase 11 [Source:HGNC Symbol;Acc:HGNC:17422]	139	0.23078827559947968	0.07011842	Yes	
row_5	ALDH1A3	aldehyde dehydrogenase 1 family member A3 [Source:HGNC Symbol;Acc:HGNC:409]	155	0.22731751203536987	0.08227864	Yes	
row_6	TGFB1I1	transforming growth factor beta 1 induced transcript 1 [Source:HGNC Symbol;Acc:HGNC:11767]	198	0.2185821384191513	0.09232422	Yes	
row_7	ARL4C	ADP ribosylation factor like GTPase 4C [Source:HGNC Symbol;Acc:HGNC:698]	211	0.2157914936542511	0.10400164	Yes	
row_8	RAB5C	RAB5C, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9785]	253	0.20884354412555695	0.113547616	Yes	
row_9	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	272	0.20552991330623627	0.12427722	Yes	
row_10	ABCG1	ATP binding cassette subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:73]	286	0.20280934870243073	0.13514926	Yes	
row_11	NPC2	NPC intracellular cholesterol transporter 2 [Source:HGNC Symbol;Acc:HGNC:14537]	302	0.20053964853286743	0.14577144	Yes	
row_12	ITGB4	integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	500	0.18155516684055328	0.14443108	Yes	
row_13	CAPN2	calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479]	515	0.1803170144557953	0.1539515	Yes	
row_14	COTL1	coactosin like F-actin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:18304]	529	0.17879390716552734	0.16344418	Yes	
row_15	PTK7	protein tyrosine kinase 7 (inactive) [Source:HGNC Symbol;Acc:HGNC:9618]	532	0.17859020829200745	0.17358226	Yes	
row_16	CBLB	Cbl proto-oncogene B [Source:HGNC Symbol;Acc:HGNC:1542]	567	0.17505310475826263	0.18160559	Yes	
row_17	PTPRE	protein tyrosine phosphatase receptor type E [Source:HGNC Symbol;Acc:HGNC:9669]	655	0.16831208765506744	0.18607569	Yes	
row_18	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24693]	708	0.16518324613571167	0.19245686	Yes	
row_19	ANGPTL4	angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039]	925	0.15331147611141205	0.18835928	Yes	
row_20	KRT7	keratin 7 [Source:HGNC Symbol;Acc:HGNC:6445]	1033	0.14789821207523346	0.19046213	Yes	
