NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AP2B1	adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]	325	0.1973097175359726	-0.0069226897	No	
row_1	TG	thyroglobulin [Source:HGNC Symbol;Acc:HGNC:11764]	476	0.1844109147787094	-0.004228816	No	
row_2	SEPTIN9	septin 9 [Source:HGNC Symbol;Acc:HGNC:7323]	780	0.16119982302188873	-0.012118373	No	
row_3	JPT1	Jupiter microtubule associated homolog 1 [Source:HGNC Symbol;Acc:HGNC:14569]	837	0.1582571119070053	-0.005471921	No	
row_4	MAK	male germ cell associated kinase [Source:HGNC Symbol;Acc:HGNC:6816]	858	0.15694133937358856	0.003237188	No	
row_5	IFI30	IFI30 lysosomal thiol reductase [Source:HGNC Symbol;Acc:HGNC:5398]	891	0.15509572625160217	0.011114638	No	
row_6	ADORA2B	adenosine A2b receptor [Source:HGNC Symbol;Acc:HGNC:264]	917	0.15371230244636536	0.019322023	No	
row_7	TMEM106A	transmembrane protein 106A [Source:HGNC Symbol;Acc:HGNC:28288]	1050	0.14706875383853912	0.020732882	No	
row_8	PFKP	phosphofructokinase, platelet [Source:HGNC Symbol;Acc:HGNC:8878]	1216	0.13864445686340332	0.019645404	No	
row_9	IFI35	interferon induced protein 35 [Source:HGNC Symbol;Acc:HGNC:5399]	1365	0.13271088898181915	0.01919682	No	
row_10	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	1473	0.1289217621088028	0.020952862	No	
row_11	SPRR1A	small proline rich protein 1A [Source:HGNC Symbol;Acc:HGNC:11259]	1532	0.1273757368326187	0.02553186	No	
row_12	CDKN2B	cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]	1873	0.11508825421333313	0.012527939	No	
row_13	OAS2	2'-5'-oligoadenylate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:8087]	2001	0.11113903671503067	0.011970065	No	
row_14	STEAP1	STEAP family member 1 [Source:HGNC Symbol;Acc:HGNC:11378]	2032	0.11051388084888458	0.017154131	No	
row_15	KRBA1	KRAB-A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22228]	2170	0.10621793568134308	0.015689773	No	
row_16	ALPK2	alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:20565]	2235	0.1041865199804306	0.018448194	No	
row_17	PTPN14	protein tyrosine phosphatase non-receptor type 14 [Source:HGNC Symbol;Acc:HGNC:9647]	2455	0.09828677028417587	0.011596123	No	
row_18	CCAR2	cell cycle and apoptosis regulator 2 [Source:HGNC Symbol;Acc:HGNC:23360]	2466	0.09793173521757126	0.01717844	No	
row_19	ZNF518B	zinc finger protein 518B [Source:HGNC Symbol;Acc:HGNC:29365]	2564	0.0950775220990181	0.01739533	No	
row_20	CYP26A1	cytochrome P450 family 26 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2603]	2783	0.08943343907594681	0.01004432	No	
row_21	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	2876	0.08705779165029526	0.010053269	No	
row_22	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	2976	0.08456218242645264	0.00948756	No	
row_23	UBE2C	ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937]	3151	0.08050605654716492	0.0041958187	No	
row_24	SIGLEC1	sialic acid binding Ig like lectin 1 [Source:HGNC Symbol;Acc:HGNC:11127]	3154	0.08047758787870407	0.009153801	No	
row_25	IDH3A	isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:5384]	3390	0.07520007342100143	-1.083983E-4	No	
row_26	ERN1	endoplasmic reticulum to nucleus signaling 1 [Source:HGNC Symbol;Acc:HGNC:3449]	3532	0.07179555296897888	-0.0039828084	No	
row_27	BST2	bone marrow stromal cell antigen 2 [Source:HGNC Symbol;Acc:HGNC:1119]	3566	0.07113457471132278	-0.0014619177	No	
row_28	HSD17B13	hydroxysteroid 17-beta dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:18685]	3731	0.06740093231201172	-0.006984419	No	
row_29	CMBL	carboxymethylenebutenolidase homolog [Source:HGNC Symbol;Acc:HGNC:25090]	4063	0.060336485505104065	-0.022906113	No	
row_30	USP18	ubiquitin specific peptidase 18 [Source:HGNC Symbol;Acc:HGNC:12616]	4065	0.06031597778201103	-0.01916049	No	
row_31	RETREG3	reticulophagy regulator family member 3 [Source:HGNC Symbol;Acc:HGNC:27258]	4167	0.05830008536577225	-0.02150223	No	
row_32	TMEM40	transmembrane protein 40 [Source:HGNC Symbol;Acc:HGNC:25620]	4433	0.053043827414512634	-0.033950284	No	
row_33	NSDHL	NAD(P) dependent steroid dehydrogenase-like [Source:HGNC Symbol;Acc:HGNC:13398]	4484	0.05192985758185387	-0.033654213	No	
row_34	FAM131A	family with sequence similarity 131 member A [Source:HGNC Symbol;Acc:HGNC:28308]	4566	0.05032406002283096	-0.03530711	No	
row_35	CPPED1	calcineurin like phosphoesterase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25632]	4780	0.04568200558423996	-0.04512031	No	
row_36	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	5112	0.03958554193377495	-0.062351145	No	
row_37	BACH2	BTB domain and CNC homolog 2 [Source:HGNC Symbol;Acc:HGNC:14078]	5173	0.038580529391765594	-0.06349328	No	
row_38	H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4795]	5306	0.03598949313163757	-0.06909022	No	
row_39	PRKCA	protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]	5431	0.03308792784810066	-0.074393384	No	
row_40	MYO7B	myosin VIIB [Source:HGNC Symbol;Acc:HGNC:7607]	5522	0.03168907016515732	-0.07775835	No	
row_41	TMPRSS4	transmembrane serine protease 4 [Source:HGNC Symbol;Acc:HGNC:11878]	5524	0.03166765347123146	-0.075820096	No	
row_42	GSDME	gasdermin E [Source:HGNC Symbol;Acc:HGNC:2810]	5562	0.031092701479792595	-0.07606378	No	
row_43	BLK	BLK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:1057]	5616	0.03028828836977482	-0.07731184	No	
row_44	SMTNL1	smoothelin like 1 [Source:HGNC Symbol;Acc:HGNC:32394]	5858	0.025582613423466682	-0.09006193	No	
row_45	COQ4	coenzyme Q4 [Source:HGNC Symbol;Acc:HGNC:19693]	6104	0.021430417895317078	-0.10331238	No	
row_46	AK4	adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]	6166	0.02014732174575329	-0.10567704	No	
