NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHST15	carbohydrate sulfotransferase 15 [Source:HGNC Symbol;Acc:HGNC:18137]	66	0.2547796666622162	0.022364829	Yes	
row_1	LIMK1	LIM domain kinase 1 [Source:HGNC Symbol;Acc:HGNC:6613]	71	0.2511703670024872	0.04804268	Yes	
row_2	TUBA4B	tubulin alpha 4b [Source:HGNC Symbol;Acc:HGNC:18637]	142	0.22989872097969055	0.06760254	Yes	
row_3	ADCY2	adenylate cyclase 2 [Source:HGNC Symbol;Acc:HGNC:233]	172	0.2243562638759613	0.089027666	Yes	
row_4	CBLN1	cerebellin 1 precursor [Source:HGNC Symbol;Acc:HGNC:1543]	524	0.17910289764404297	0.08664311	Yes	
row_5	ADRB3	adrenoceptor beta 3 [Source:HGNC Symbol;Acc:HGNC:288]	755	0.16241340339183807	0.08972908	Yes	
row_6	SLC28A1	solute carrier family 28 member 1 [Source:HGNC Symbol;Acc:HGNC:11001]	775	0.16143730282783508	0.105256684	Yes	
row_7	CCL13	C-C motif chemokine ligand 13 [Source:HGNC Symbol;Acc:HGNC:10611]	836	0.15825942158699036	0.11801926	Yes	
row_8	KIAA1217	KIAA1217 [Source:HGNC Symbol;Acc:HGNC:25428]	936	0.15243284404277802	0.1278624	Yes	
row_9	COL1A2	collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]	1019	0.14881443977355957	0.13834271	Yes	
row_10	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1 [Source:HGNC Symbol;Acc:HGNC:4938]	1023	0.1486712396144867	0.15350421	Yes	
row_11	MXRA5	matrix remodeling associated 5 [Source:HGNC Symbol;Acc:HGNC:7539]	1051	0.1470542997121811	0.16707224	Yes	
row_12	GK	glycerol kinase [Source:HGNC Symbol;Acc:HGNC:4289]	1186	0.13974449038505554	0.17352572	Yes	
row_13	ITGB6	integrin subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:6161]	1197	0.13948173820972443	0.18732294	Yes	
row_14	CYP3A4	cytochrome P450 family 3 subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:2637]	1326	0.13435235619544983	0.19357671	Yes	
row_15	FCGR2A	Fc gamma receptor IIa [Source:HGNC Symbol;Acc:HGNC:3616]	1330	0.13420331478118896	0.20724541	Yes	
row_16	RHOBTB1	Rho related BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18738]	1573	0.12560410797595978	0.20582011	Yes	
row_17	HYAL3	hyaluronidase 3 [Source:HGNC Symbol;Acc:HGNC:5322]	1588	0.12497738003730774	0.217883	Yes	
row_18	GNLY	granulysin [Source:HGNC Symbol;Acc:HGNC:4414]	1672	0.12183168530464172	0.22551982	Yes	
row_19	CLCN7	chloride voltage-gated channel 7 [Source:HGNC Symbol;Acc:HGNC:2025]	1871	0.11512681841850281	0.22562894	Yes	
row_20	FBN2	fibrillin 2 [Source:HGNC Symbol;Acc:HGNC:3604]	1901	0.11438936740159988	0.23570774	Yes	
row_21	LY75	lymphocyte antigen 75 [Source:HGNC Symbol;Acc:HGNC:6729]	2637	0.09332005679607391	0.20164627	No	
row_22	MC1R	melanocortin 1 receptor [Source:HGNC Symbol;Acc:HGNC:6929]	2870	0.08717643469572067	0.19685043	No	
row_23	SLC13A2	solute carrier family 13 member 2 [Source:HGNC Symbol;Acc:HGNC:10917]	2916	0.08601987361907959	0.20305102	No	
row_24	DNMBP	dynamin binding protein [Source:HGNC Symbol;Acc:HGNC:30373]	3080	0.08213174343109131	0.20183621	No	
row_25	GNL3L	G protein nucleolar 3 like [Source:HGNC Symbol;Acc:HGNC:25553]	3245	0.0783628299832344	0.20017308	No	
row_26	COL4A5	collagen type IV alpha 5 chain [Source:HGNC Symbol;Acc:HGNC:2207]	3264	0.07802192121744156	0.20715338	No	
row_27	LY86	lymphocyte antigen 86 [Source:HGNC Symbol;Acc:HGNC:16837]	3327	0.07653190195560455	0.21136446	No	
row_28	CBLIF	cobalamin binding intrinsic factor [Source:HGNC Symbol;Acc:HGNC:4268]	3418	0.07461424171924591	0.2137133	No	
row_29	ANXA2P2	annexin A2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:539]	3423	0.07451775670051575	0.22116424	No	
