NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FLVCR2	FLVCR choline and putative heme transporter 2 [Source:HGNC Symbol;Acc:HGNC:20105]	0	0.35044556856155396	0.020537559	Yes	
row_1	CD300A	CD300a molecule [Source:HGNC Symbol;Acc:HGNC:19319]	36	0.27283579111099243	0.034437437	Yes	
row_2	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1 [Source:HGNC Symbol;Acc:HGNC:4944]	40	0.26777637004852295	0.049951144	Yes	
row_3	NCF2	neutrophil cytosolic factor 2 [Source:HGNC Symbol;Acc:HGNC:7661]	74	0.2507082521915436	0.06267365	Yes	
row_4	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	127	0.23294904828071594	0.07322114	Yes	
row_5	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	144	0.22940850257873535	0.08571026	Yes	
row_6	ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	160	0.22666092216968536	0.098098055	Yes	
row_7	ITGAM	integrin subunit alpha M [Source:HGNC Symbol;Acc:HGNC:6149]	188	0.2199816256761551	0.10937805	Yes	
row_8	ARL4C	ADP ribosylation factor like GTPase 4C [Source:HGNC Symbol;Acc:HGNC:698]	211	0.2157914936542511	0.12071096	Yes	
row_9	CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]	282	0.20328231155872345	0.1284453	Yes	
row_10	CLEC5A	C-type lectin domain containing 5A [Source:HGNC Symbol;Acc:HGNC:2054]	377	0.19336503744125366	0.13416567	Yes	
row_11	PILRA	paired immunoglobin like type 2 receptor alpha [Source:HGNC Symbol;Acc:HGNC:20396]	396	0.19161079823970795	0.1443203	Yes	
row_12	HLA-DMA	major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]	444	0.18699781596660614	0.15247335	Yes	
row_13	HLA-DMB	major histocompatibility complex, class II, DM beta [Source:HGNC Symbol;Acc:HGNC:4935]	467	0.18515785038471222	0.162011	Yes	
row_14	SLC31A2	solute carrier family 31 member 2 [Source:HGNC Symbol;Acc:HGNC:11017]	553	0.17693530023097992	0.16730583	Yes	
row_15	AZU1	azurocidin 1 [Source:HGNC Symbol;Acc:HGNC:913]	556	0.17686298489570618	0.17755133	Yes	
row_16	BCL2A1	BCL2 related protein A1 [Source:HGNC Symbol;Acc:HGNC:991]	560	0.175810307264328	0.18767545	Yes	
row_17	BST1	bone marrow stromal cell antigen 1 [Source:HGNC Symbol;Acc:HGNC:1118]	599	0.17301593720912933	0.19554637	Yes	
row_18	CYSLTR1	cysteinyl leukotriene receptor 1 [Source:HGNC Symbol;Acc:HGNC:17451]	600	0.17294009029865265	0.20568137	Yes	
row_19	CDCP1	CUB domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:24357]	617	0.1713111847639084	0.21476576	Yes	
row_20	PTPRE	protein tyrosine phosphatase receptor type E [Source:HGNC Symbol;Acc:HGNC:9669]	655	0.16831208765506744	0.2224207	Yes	
row_21	CSTA	cystatin A [Source:HGNC Symbol;Acc:HGNC:2481]	706	0.16528570652008057	0.22912224	Yes	
