NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TBC1D2B	TBC1 domain family member 2B [Source:HGNC Symbol;Acc:HGNC:29183]	15	0.295960396528244	0.016609892	Yes	
row_1	FOXD1	forkhead box D1 [Source:HGNC Symbol;Acc:HGNC:3802]	83	0.24586933851242065	0.02715292	Yes	
row_2	ABTB2	ankyrin repeat and BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23842]	111	0.23691394925117493	0.039554033	Yes	
row_3	CHST11	carbohydrate sulfotransferase 11 [Source:HGNC Symbol;Acc:HGNC:17422]	139	0.23078827559947968	0.051592827	Yes	
row_4	HRH1	histamine receptor H1 [Source:HGNC Symbol;Acc:HGNC:5182]	159	0.2267485409975052	0.06387024	Yes	
row_5	ITGA5	integrin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6141]	217	0.21408554911613464	0.07313027	Yes	
row_6	MLXIP	MLX interacting protein [Source:HGNC Symbol;Acc:HGNC:17055]	251	0.2090027779340744	0.08352234	Yes	
row_7	PDLIM4	PDZ and LIM domain 4 [Source:HGNC Symbol;Acc:HGNC:16501]	260	0.2072506546974182	0.09530314	Yes	
row_8	DACT1	dishevelled binding antagonist of beta catenin 1 [Source:HGNC Symbol;Acc:HGNC:17748]	284	0.20285533368587494	0.105928555	Yes	
row_9	ABCG1	ATP binding cassette subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:73]	286	0.20280934870243073	0.11786452	Yes	
row_10	IRS1	insulin receptor substrate 1 [Source:HGNC Symbol;Acc:HGNC:6125]	312	0.1989155262708664	0.12813751	Yes	
row_11	FOXF2	forkhead box F2 [Source:HGNC Symbol;Acc:HGNC:3810]	324	0.1973743438720703	0.13915506	Yes	
row_12	SMOX	spermine oxidase [Source:HGNC Symbol;Acc:HGNC:15862]	328	0.19723458588123322	0.1506419	Yes	
row_13	TNS4	tensin 4 [Source:HGNC Symbol;Acc:HGNC:24352]	403	0.19070856273174286	0.15750445	Yes	
row_14	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	417	0.18927322328090668	0.16792345	Yes	
row_15	LARP6	La ribonucleoprotein 6, translational regulator [Source:HGNC Symbol;Acc:HGNC:24012]	426	0.1888156235218048	0.17861387	Yes	
