NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GCNP_SHH_UP_LATE.V1_DN	GCNP_SHH_UP_LATE.V1_DN	Details ...	165	0.3907273	1.7271228	0.002386635	0.271048	0.224	3389	tags=35%, list=20%, signal=44%	
GLI1_UP.V1_UP	GLI1_UP.V1_UP	Details ...	24	0.45046908	1.512457	0.04415011	0.79756725	0.655	4258	tags=50%, list=25%, signal=67%	
TGFB_UP.V1_UP	TGFB_UP.V1_UP	Details ...	182	0.36287603	1.4882537	0.047916666	0.6302084	0.708	3083	tags=34%, list=18%, signal=41%	
RB_DN.V1_DN	RB_DN.V1_DN	Details ...	117	0.3372087	1.4507098	0.04656863	0.61251193	0.78	4168	tags=45%, list=25%, signal=60%	
BMI1_DN_MEL18_DN.V1_UP	BMI1_DN_MEL18_DN.V1_UP	Details ...	139	0.36835632	1.4302644	0.08158508	0.5570788	0.813	3887	tags=41%, list=23%, signal=53%	
MEL18_DN.V1_UP	MEL18_DN.V1_UP	Details ...	140	0.35786766	1.4182289	0.084134616	0.50365233	0.837	3429	tags=37%, list=20%, signal=46%	
EGFR_UP.V1_UP	EGFR_UP.V1_UP	Details ...	192	0.33884597	1.3575182	0.11510792	0.63020253	0.908	3429	tags=33%, list=20%, signal=41%	
SINGH_KRAS_DEPENDENCY_SIGNATURE	SINGH_KRAS_DEPENDENCY_SIGNATURE	Details ...	20	0.5719896	1.3573995	0.18820861	0.55198884	0.908	4286	tags=65%, list=25%, signal=87%	
BMI1_DN.V1_UP	BMI1_DN.V1_UP	Details ...	142	0.33157745	1.343047	0.1097561	0.5333324	0.924	4412	tags=44%, list=26%, signal=59%	
CAHOY_ASTROGLIAL	CAHOY_ASTROGLIAL	Details ...	97	0.32800692	1.3265585	0.12440191	0.52799	0.934	3645	tags=42%, list=22%, signal=54%	
ESC_V6.5_UP_EARLY.V1_DN	ESC_V6.5_UP_EARLY.V1_DN	Details ...	156	0.30544543	1.2739762	0.1502463	0.63754594	0.965	3153	tags=33%, list=19%, signal=40%	
CSR_EARLY_UP.V1_UP	CSR_EARLY_UP.V1_UP	Details ...	150	0.32152733	1.2582064	0.21085595	0.63592273	0.971	4300	tags=44%, list=25%, signal=58%	
RPS14_DN.V1_UP	RPS14_DN.V1_UP	Details ...	183	0.3588741	1.2487136	0.23467231	0.6165038	0.975	2729	tags=31%, list=16%, signal=37%	
CYCLIN_D1_KE_.V1_UP	CYCLIN_D1_KE_.V1_UP	Details ...	174	0.28189906	1.227298	0.16981132	0.64247227	0.982	3784	tags=29%, list=22%, signal=37%	
CYCLIN_D1_UP.V1_UP	CYCLIN_D1_UP.V1_UP	Details ...	169	0.27061036	1.1874876	0.1764706	0.729888	0.99	3784	tags=35%, list=22%, signal=45%	
ESC_J1_UP_EARLY.V1_DN	ESC_J1_UP_EARLY.V1_DN	Details ...	165	0.24974853	1.1738248	0.20050125	0.73092026	0.991	2876	tags=25%, list=17%, signal=30%	
PTEN_DN.V2_UP	PTEN_DN.V2_UP	Details ...	123	0.2690261	1.1631657	0.25118482	0.72217625	0.993	2654	tags=28%, list=16%, signal=33%	
MEK_UP.V1_UP	MEK_UP.V1_UP	Details ...	194	0.25713834	1.1121731	0.3004926	0.8616189	0.998	3502	tags=30%, list=21%, signal=37%	
GLI1_UP.V1_DN	GLI1_UP.V1_DN	Details ...	17	0.35979685	1.09517	0.34004474	0.88059956	0.998	849	tags=18%, list=5%, signal=19%	
PDGF_UP.V1_DN	PDGF_UP.V1_DN	Details ...	111	0.23570774	1.08706	0.3019943	0.8671523	0.999	1901	tags=19%, list=11%, signal=21%	
VEGF_A_UP.V1_UP	VEGF_A_UP.V1_UP		184	0.24326251	1.0397885	0.35969388	1.0	0.999	3512	tags=30%, list=21%, signal=38%	
BRCA1_DN.V1_DN	BRCA1_DN.V1_DN		115	0.22662643	1.0101999	0.41217798	1.0	1.0	3754	tags=36%, list=22%, signal=45%	
RAPA_EARLY_UP.V1_DN	RAPA_EARLY_UP.V1_DN		167	0.21699215	1.0081193	0.4072022	1.0	1.0	3001	tags=26%, list=18%, signal=32%	
HINATA_NFKB_IMMU_INF	HINATA_NFKB_IMMU_INF		15	0.39684573	0.99548495	0.47737557	1.0	1.0	1155	tags=33%, list=7%, signal=36%	
CORDENONSI_YAP_CONSERVED_SIGNATURE	CORDENONSI_YAP_CONSERVED_SIGNATURE		57	0.29800442	0.98616207	0.48444444	1.0	1.0	2844	tags=26%, list=17%, signal=32%	
SNF5_DN.V1_UP	SNF5_DN.V1_UP		164	0.24979493	0.98262805	0.48101267	1.0	1.0	4142	tags=36%, list=24%, signal=47%	
ESC_J1_UP_LATE.V1_UP	ESC_J1_UP_LATE.V1_UP		172	0.21884722	0.98080474	0.48257372	0.98128796	1.0	2903	tags=24%, list=17%, signal=28%	
IL2_UP.V1_UP	IL2_UP.V1_UP		171	0.21215059	0.9526918	0.53246754	1.0	1.0	4324	tags=31%, list=26%, signal=41%	
BCAT_BILD_ET_AL_UP	BCAT_BILD_ET_AL_UP		44	0.25977674	0.9368399	0.53636366	1.0	1.0	3190	tags=30%, list=19%, signal=36%	
CYCLIN_D1_UP.V1_DN	CYCLIN_D1_UP.V1_DN		176	0.19063401	0.92178935	0.6455026	1.0	1.0	1675	tags=14%, list=10%, signal=16%	
YAP1_UP	YAP1_UP		45	0.24740589	0.9072576	0.5835095	1.0	1.0	4852	tags=42%, list=29%, signal=59%	
P53_DN.V1_UP	P53_DN.V1_UP		190	0.20886342	0.8918321	0.6196172	1.0	1.0	3601	tags=30%, list=21%, signal=38%	
E2F3_UP.V1_DN	E2F3_UP.V1_DN		142	0.19208853	0.88870454	0.6879795	1.0	1.0	3910	tags=33%, list=23%, signal=43%	
MTOR_UP.V1_DN	MTOR_UP.V1_DN		175	0.19946717	0.8850004	0.65989846	1.0	1.0	3179	tags=27%, list=19%, signal=33%	
RAF_UP.V1_UP	RAF_UP.V1_UP		191	0.20692049	0.8774825	0.63265306	1.0	1.0	3843	tags=30%, list=23%, signal=38%	
NOTCH_DN.V1_DN	NOTCH_DN.V1_DN		149	0.18968362	0.86029166	0.73463684	1.0	1.0	3625	tags=29%, list=21%, signal=36%	
SIRNA_EIF4GI_DN	SIRNA_EIF4GI_DN		90	0.22280598	0.85674804	0.6361702	1.0	1.0	2522	tags=23%, list=15%, signal=27%	
PRC2_EZH2_UP.V1_UP	PRC2_EZH2_UP.V1_UP		185	0.19262257	0.85467196	0.7350649	1.0	1.0	3280	tags=26%, list=19%, signal=32%	
TBK1.DN.48HRS_DN	TBK1.DN.48HRS_DN		50	0.22301693	0.85333866	0.6760563	1.0	1.0	1533	tags=16%, list=9%, signal=18%	
GCNP_SHH_UP_EARLY.V1_DN	GCNP_SHH_UP_EARLY.V1_DN		155	0.17056067	0.84845847	0.8494318	1.0	1.0	3121	tags=22%, list=18%, signal=27%	
TBK1.DN.48HRS_UP	TBK1.DN.48HRS_UP		50	0.21192388	0.8470382	0.7424594	0.9968886	1.0	2865	tags=26%, list=17%, signal=31%	
E2F1_UP.V1_DN	E2F1_UP.V1_DN		184	0.17585477	0.84522897	0.76648355	0.9776462	1.0	4007	tags=30%, list=24%, signal=39%	
PDGF_ERK_DN.V1_DN	PDGF_ERK_DN.V1_DN		143	0.1861522	0.82902944	0.7837838	0.99372345	1.0	4980	tags=38%, list=29%, signal=54%	
CAMP_UP.V1_UP	CAMP_UP.V1_UP		199	0.19913551	0.82873744	0.7019231	0.9718415	1.0	3462	tags=27%, list=20%, signal=33%	
IL15_UP.V1_UP	IL15_UP.V1_UP		166	0.18480122	0.81194943	0.80597013	0.9902551	1.0	2639	tags=18%, list=16%, signal=21%	
RB_P130_DN.V1_UP	RB_P130_DN.V1_UP		120	0.2040837	0.8045943	0.7463768	0.98509616	1.0	3871	tags=31%, list=23%, signal=40%	
HOXA9_DN.V1_UP	HOXA9_DN.V1_UP		190	0.21663244	0.7967929	0.6802444	0.97948146	1.0	1254	tags=14%, list=7%, signal=15%	
TBK1.DF_UP	TBK1.DF_UP		284	0.16774383	0.76557994	0.88539326	1.0	1.0	3328	tags=24%, list=20%, signal=29%	
ATF2_S_UP.V1_DN	ATF2_S_UP.V1_DN		177	0.17332338	0.754341	0.872449	1.0	1.0	3722	tags=30%, list=22%, signal=38%	
MYC_UP.V1_DN	MYC_UP.V1_DN		156	0.1687875	0.743621	0.9187817	1.0	1.0	1534	tags=13%, list=9%, signal=15%	
CAHOY_ASTROCYTIC	CAHOY_ASTROCYTIC		92	0.16320716	0.70304525	0.9575071	1.0	1.0	4019	tags=28%, list=24%, signal=37%	
