NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZNF711	zinc finger protein 711 [Source:HGNC Symbol;Acc:HGNC:13128]	6	0.31034108996391296	0.10215056	Yes	
row_1	DKFZP434A062	uncharacterized LOC26102 [Source:NCBI gene (formerly Entrezgene);Acc:26102]	922	0.15603221952915192	0.09955553	Yes	
row_2	PRELID3A	PRELI domain containing 3A [Source:HGNC Symbol;Acc:HGNC:24639]	1104	0.14803270995616913	0.13774252	Yes	
row_3	AMH	anti-Mullerian hormone [Source:HGNC Symbol;Acc:HGNC:464]	1520	0.13223302364349365	0.15686716	Yes	
row_4	EXOC3	exocyst complex component 3 [Source:HGNC Symbol;Acc:HGNC:30378]	2014	0.11669128388166428	0.16624382	Yes	
row_5	NAA80	N-alpha-acetyltransferase 80, NatH catalytic subunit [Source:HGNC Symbol;Acc:HGNC:30252]	2039	0.11611701548099518	0.20317736	Yes	
row_6	ZNF749	zinc finger protein 749 [Source:HGNC Symbol;Acc:HGNC:32783]	2095	0.11444690078496933	0.23772526	Yes	
row_7	KIAA0319L	KIAA0319 like [Source:HGNC Symbol;Acc:HGNC:30071]	2210	0.11099410057067871	0.2676422	Yes	
row_8	CCN6	cellular communication network factor 6 [Source:HGNC Symbol;Acc:HGNC:12771]	2492	0.10464654117822647	0.28558263	Yes	
row_9	TMPRSS2	transmembrane serine protease 2 [Source:HGNC Symbol;Acc:HGNC:11876]	2669	0.0998426154255867	0.30814826	Yes	
row_10	CDH12	cadherin 12 [Source:HGNC Symbol;Acc:HGNC:1751]	2729	0.09823904931545258	0.33710608	Yes	
row_11	DOCK3	dedicator of cytokinesis 3 [Source:HGNC Symbol;Acc:HGNC:2989]	3463	0.082147017121315	0.3208741	No	
row_12	TLN2	talin 2 [Source:HGNC Symbol;Acc:HGNC:15447]	6039	0.03511608764529228	0.18013312	No	
row_13	DSG3	desmoglein 3 [Source:HGNC Symbol;Acc:HGNC:3050]	6557	0.02742314524948597	0.15860468	No	
row_14	WASHC3	WASH complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:24256]	6847	0.022388242185115814	0.14890195	No	
row_15	SERGEF	secretion regulating guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:17499]	6902	0.02149423398077488	0.15280679	No	
row_16	DEPP1	DEPP autophagy regulator 1 [Source:HGNC Symbol;Acc:HGNC:23355]	7425	0.013589601032435894	0.12641333	No	
row_17	B9D2	B9 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28636]	7904	0.005461754277348518	0.09993835	No	
row_18	H2AC18	H2A clustered histone 18 [Source:HGNC Symbol;Acc:HGNC:4736]	8422	-0.002442664699628949	0.07015887	No	
row_19	RALGPS2	Ral GEF with PH domain and SH3 binding motif 2 [Source:HGNC Symbol;Acc:HGNC:30279]	10821	-0.0399780236184597	-0.05850471	No	
row_20	C22orf46P	chromosome 22 open reading frame 46, pseudogene [Source:HGNC Symbol;Acc:HGNC:26294]	11915	-0.056997377425432205	-0.10434158	No	
row_21	TTR	transthyretin [Source:HGNC Symbol;Acc:HGNC:12405]	12184	-0.06119722127914429	-0.099983335	No	
row_22	PRKN	parkin RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:8607]	13371	-0.08182410895824432	-0.14312193	No	
row_23	KLHL4	kelch like family member 4 [Source:HGNC Symbol;Acc:HGNC:6355]	13449	-0.08339913189411163	-0.120130636	No	
row_24	TENT5A	terminal nucleotidyltransferase 5A [Source:HGNC Symbol;Acc:HGNC:18345]	13703	-0.0877770483493805	-0.10610567	No	
row_25	FZD4	frizzled class receptor 4 [Source:HGNC Symbol;Acc:HGNC:4042]	14350	-0.1003694161772728	-0.11117177	No	
row_26	CPLANE1	ciliogenesis and planar polarity effector complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:25801]	14874	-0.11212051659822464	-0.105079666	No	
row_27	PMCH	pro-melanin concentrating hormone [Source:HGNC Symbol;Acc:HGNC:9109]	15516	-0.13000717759132385	-0.10006061	No	
row_28	IGFBP5	insulin like growth factor binding protein 5 [Source:HGNC Symbol;Acc:HGNC:5474]	16365	-0.1666509062051773	-0.0951845	No	
row_29	KLF10	KLF transcription factor 10 [Source:HGNC Symbol;Acc:HGNC:11810]	16639	-0.19129636883735657	-0.048150375	No	
row_30	SNAI2	snail family transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:11094]	16701	-0.19825811684131622	0.013725366	No	
