NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDCA7L	cell division cycle associated 7 like [Source:HGNC Symbol;Acc:HGNC:30777]	146	0.2246810644865036	0.004739839	No	
row_1	TTYH3	tweety family member 3 [Source:HGNC Symbol;Acc:HGNC:22222]	302	0.20020952820777893	0.0074756867	No	
row_2	CLK1	CDC like kinase 1 [Source:HGNC Symbol;Acc:HGNC:2068]	343	0.19577404856681824	0.01681636	No	
row_3	SRSF2	serine and arginine rich splicing factor 2 [Source:HGNC Symbol;Acc:HGNC:10783]	756	0.16589593887329102	0.0021419127	No	
row_4	SLC35E2A	solute carrier family 35 member E2A (pseudogene) [Source:HGNC Symbol;Acc:HGNC:20863]	949	0.15448181331157684	-7.2705574E-5	No	
row_5	TARBP1	TAR (HIV-1) RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11568]	1000	0.1525503695011139	0.006080637	No	
row_6	LINC01089	long intergenic non-protein coding RNA 1089 [Source:HGNC Symbol;Acc:HGNC:27886]	1135	0.1464661955833435	0.006850906	No	
row_7	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 [Source:HGNC Symbol;Acc:HGNC:8875]	1548	0.13125525414943695	-0.009899153	No	
row_8	ACAT2	acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]	1632	0.12830707430839539	-0.007169989	No	
row_9	ENTREP3	endosomal transmembrane epsin interactor 3 [Source:HGNC Symbol;Acc:HGNC:1233]	1640	0.12799867987632751	8.126332E-5	No	
row_10	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	1751	0.12455885857343674	9.7274495E-4	No	
row_11	MED4	mediator complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:17903]	1810	0.12266035377979279	0.004857175	No	
row_12	MAL2	mal, T cell differentiation protein 2 [Source:HGNC Symbol;Acc:HGNC:13634]	1853	0.12141928821802139	0.00962315	No	
row_13	INSIG1	insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]	2378	0.10704861581325531	-0.01526869	No	
row_14	CD160	CD160 molecule [Source:HGNC Symbol;Acc:HGNC:17013]	2392	0.10677887499332428	-0.009647358	No	
