NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TCP11	t-complex 11 [Source:HGNC Symbol;Acc:HGNC:11658]	267	0.20507563650608063	0.0048525357	Yes	
row_1	SH3YL1	SH3 and SYLF domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29546]	304	0.20008859038352966	0.022941045	Yes	
row_2	RHPN1	rhophilin Rho GTPase binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19973]	437	0.1862739473581314	0.033922628	Yes	
row_3	POLG2	DNA polymerase gamma 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9180]	476	0.18279077112674713	0.050143287	Yes	
row_4	GRTP1	growth hormone regulated TBC protein 1 [Source:HGNC Symbol;Acc:HGNC:20310]	777	0.16490133106708527	0.04897114	Yes	
row_5	PAQR4	progestin and adipoQ receptor family member 4 [Source:HGNC Symbol;Acc:HGNC:26386]	913	0.15626436471939087	0.056740176	Yes	
row_6	OSGEP	O-sialoglycoprotein endopeptidase [Source:HGNC Symbol;Acc:HGNC:18028]	939	0.1552315652370453	0.07094774	Yes	
row_7	STK35	serine/threonine kinase 35 [Source:HGNC Symbol;Acc:HGNC:16254]	967	0.15374040603637695	0.084885575	Yes	
row_8	KCNJ14	potassium inwardly rectifying channel subfamily J member 14 [Source:HGNC Symbol;Acc:HGNC:6260]	1052	0.15055237710475922	0.09511065	Yes	
row_9	NXNL2	nucleoredoxin like 2 [Source:HGNC Symbol;Acc:HGNC:30482]	1273	0.1413511037826538	0.09631598	Yes	
row_10	DOHH	deoxyhypusine hydroxylase [Source:HGNC Symbol;Acc:HGNC:28662]	1339	0.1386914700269699	0.10647201	Yes	
row_11	GUCA1B	guanylate cyclase activator 1B [Source:HGNC Symbol;Acc:HGNC:4679]	1352	0.13823702931404114	0.11973461	Yes	
row_12	RNF207	ring finger protein 207 [Source:HGNC Symbol;Acc:HGNC:32947]	1360	0.13794170320034027	0.13326475	Yes	
