NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IP6K2	inositol hexakisphosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:17313]	220	0.21224051713943481	0.007838385	Yes	
row_1	ZNF337	zinc finger protein 337 [Source:HGNC Symbol;Acc:HGNC:15809]	291	0.2010144740343094	0.023493199	Yes	
row_2	POLL	DNA polymerase lambda [Source:HGNC Symbol;Acc:HGNC:9184]	328	0.19749189913272858	0.04082331	Yes	
row_3	ANKZF1	ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:25527]	363	0.19357167184352875	0.057885885	Yes	
row_4	AMT	aminomethyltransferase [Source:HGNC Symbol;Acc:HGNC:473]	413	0.18856023252010345	0.07356203	Yes	
row_5	BBC3	BCL2 binding component 3 [Source:HGNC Symbol;Acc:HGNC:17868]	643	0.17256039381027222	0.07695276	Yes	
row_6	CIRBP	cold inducible RNA binding protein [Source:HGNC Symbol;Acc:HGNC:1982]	687	0.16948242485523224	0.091104865	Yes	
row_7	CROCCP2	CROCC pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:28170]	767	0.1654662936925888	0.10271941	Yes	
row_8	ACBD4	acyl-CoA binding domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23337]	909	0.156524658203125	0.109764084	Yes	
row_9	STX16	syntaxin 16 [Source:HGNC Symbol;Acc:HGNC:11431]	938	0.15529268980026245	0.12340947	Yes	
row_10	GSDMB	gasdermin B [Source:HGNC Symbol;Acc:HGNC:23690]	986	0.15306265652179718	0.13570471	Yes	
row_11	TFAP2A	transcription factor AP-2 alpha [Source:HGNC Symbol;Acc:HGNC:11742]	1149	0.14598815143108368	0.14046128	Yes	
row_12	CC2D1A	coiled-coil and C2 domain containing 1A [Source:HGNC Symbol;Acc:HGNC:30237]	1172	0.14512670040130615	0.15346129	Yes	
row_13	SIX5	SIX homeobox 5 [Source:HGNC Symbol;Acc:HGNC:10891]	1259	0.14179997146129608	0.16232604	Yes	
row_14	PRRT2	proline rich transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:30500]	1269	0.14144638180732727	0.17573653	Yes	
row_15	ZNF500	zinc finger protein 500 [Source:HGNC Symbol;Acc:HGNC:23716]	1274	0.1411629021167755	0.18941653	Yes	
row_16	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	1312	0.13967366516590118	0.20098656	Yes	
row_17	ACYP1	acylphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:179]	1760	0.12420525401830673	0.18664126	Yes	
row_18	MRI1	methylthioribose-1-phosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:28469]	1856	0.12134313583374023	0.19295368	Yes	
row_19	NPHP3	nephrocystin 3 [Source:HGNC Symbol;Acc:HGNC:7907]	1861	0.12122227251529694	0.20466761	Yes	
row_20	HOXA10	homeobox A10 [Source:HGNC Symbol;Acc:HGNC:5100]	2047	0.11581137776374817	0.20508067	Yes	
row_21	DENND11	DENN domain containing 11 [Source:HGNC Symbol;Acc:HGNC:29472]	2094	0.11445187032222748	0.21362858	Yes	
row_22	ZNF226	zinc finger protein 226 [Source:HGNC Symbol;Acc:HGNC:13019]	2099	0.11432480812072754	0.22466247	Yes	
row_23	YEATS2	YEATS domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25489]	2108	0.11399200558662415	0.23542559	Yes	
row_24	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	2193	0.1114489734172821	0.24141687	Yes	
row_25	GRHL1	grainyhead like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:17923]	2268	0.10951277613639832	0.24781212	Yes	
row_26	BRD8	bromodomain containing 8 [Source:HGNC Symbol;Acc:HGNC:19874]	2330	0.10787765681743622	0.2548195	Yes	
row_27	STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]	2336	0.1077660322189331	0.26514727	Yes	
row_28	TAF15	TATA-box binding protein associated factor 15 [Source:HGNC Symbol;Acc:HGNC:11547]	2357	0.10747146606445312	0.27455363	Yes	
row_29	TDRD6	tudor domain containing 6 [Source:HGNC Symbol;Acc:HGNC:21339]	2453	0.10556622594594955	0.27931052	Yes	
row_30	APBB3	amyloid beta precursor protein binding family B member 3 [Source:HGNC Symbol;Acc:HGNC:20708]	2463	0.10529152303934097	0.28915635	Yes	
row_31	LDB1	LIM domain binding 1 [Source:HGNC Symbol;Acc:HGNC:6532]	2481	0.10495992749929428	0.29849353	Yes	
row_32	UBN2	ubinuclein 2 [Source:HGNC Symbol;Acc:HGNC:21931]	2550	0.10285617411136627	0.30458942	Yes	
row_33	ADAMTSL4	ADAMTS like 4 [Source:HGNC Symbol;Acc:HGNC:19706]	2556	0.10273736715316772	0.31442136	Yes	
row_34	NSUN5P2	NSUN5 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:16609]	2844	0.09536588937044144	0.3067508	Yes	
row_35	FZD2	frizzled class receptor 2 [Source:HGNC Symbol;Acc:HGNC:4040]	2947	0.09340986609458923	0.3098927	Yes	
row_36	DHRS3	dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693]	3010	0.09189170598983765	0.3152645	Yes	
row_37	DXO	decapping exoribonuclease [Source:HGNC Symbol;Acc:HGNC:2992]	3060	0.09090492129325867	0.3213123	Yes	
row_38	ZNF302	zinc finger protein 302 [Source:HGNC Symbol;Acc:HGNC:13848]	3257	0.08665180951356888	0.318196	Yes	
row_39	ABCC10	ATP binding cassette subfamily C member 10 [Source:HGNC Symbol;Acc:HGNC:52]	3522	0.08073423057794571	0.31045106	Yes	
row_40	ING4	inhibitor of growth family member 4 [Source:HGNC Symbol;Acc:HGNC:19423]	3666	0.07770702242851257	0.30960572	Yes	
row_41	ZFP64	ZFP64 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:15940]	3692	0.0772608295083046	0.31573606	Yes	
row_42	ZNF467	zinc finger protein 467 [Source:HGNC Symbol;Acc:HGNC:23154]	3696	0.07713522017002106	0.32316273	Yes	
row_43	DDX17	DEAD-box helicase 17 [Source:HGNC Symbol;Acc:HGNC:2740]	3867	0.07362614572048187	0.32030886	Yes	
row_44	MINDY1	MINDY lysine 48 deubiquitinase 1 [Source:HGNC Symbol;Acc:HGNC:25648]	4028	0.07013867795467377	0.31770602	Yes	
