NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DOT1L	DOT1 like histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:24948]	250	0.2075473666191101	0.0011687975	No	
row_1	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 [Source:HGNC Symbol;Acc:HGNC:11100]	322	0.1981244534254074	0.0122731915	No	
row_2	SOX9	SRY-box transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:11204]	574	0.1763874590396881	0.010970667	No	
row_3	YOD1	YOD1 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:25035]	714	0.16801978647708893	0.015693516	No	
row_4	HPCAL1	hippocalcin like 1 [Source:HGNC Symbol;Acc:HGNC:5145]	955	0.15414060652256012	0.013324496	No	
row_5	ZBTB12	zinc finger and BTB domain containing 12 [Source:HGNC Symbol;Acc:HGNC:19066]	1455	0.1345558613538742	-0.0059917257	No	
row_6	VGLL4	vestigial like family member 4 [Source:HGNC Symbol;Acc:HGNC:28966]	1467	0.13384446501731873	0.003712302	No	
row_7	ELL	elongation factor for RNA polymerase II [Source:HGNC Symbol;Acc:HGNC:23114]	1821	0.12228930741548538	-0.007854576	No	
row_8	B3GNT6	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:24141]	2155	0.11243932694196701	-0.018992221	No	
row_9	SPRY2	sprouty RTK signaling antagonist 2 [Source:HGNC Symbol;Acc:HGNC:11270]	2272	0.10944578051567078	-0.017432583	No	
row_10	HMGA1	high mobility group AT-hook 1 [Source:HGNC Symbol;Acc:HGNC:5010]	2393	0.10677248239517212	-0.016318178	No	
row_11	ADRM1	ADRM1 26S proteasome ubiquitin receptor [Source:HGNC Symbol;Acc:HGNC:15759]	2473	0.10505454242229462	-0.012893936	No	
row_12	MRPS35	mitochondrial ribosomal protein S35 [Source:HGNC Symbol;Acc:HGNC:16635]	2906	0.09418762475252151	-0.031342715	No	
row_13	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	3016	0.09176243841648102	-0.030734686	No	
row_14	EMC6	ER membrane protein complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:28430]	3035	0.09140853583812714	-0.024732217	No	
row_15	NCL	nucleolin [Source:HGNC Symbol;Acc:HGNC:7667]	3083	0.09029887616634369	-0.02054347	No	
row_16	CCDC59	coiled-coil domain containing 59 [Source:HGNC Symbol;Acc:HGNC:25005]	3255	0.08670324832201004	-0.024021009	No	
row_17	NIFK	nucleolar protein interacting with the FHA domain of MKI67 [Source:HGNC Symbol;Acc:HGNC:17838]	3275	0.08640733361244202	-0.018465206	No	
row_18	DSP	desmoplakin [Source:HGNC Symbol;Acc:HGNC:3052]	3735	0.07621970027685165	-0.03991336	No	
row_19	TENT4A	terminal nucleotidyltransferase 4A [Source:HGNC Symbol;Acc:HGNC:16705]	3775	0.07533960789442062	-0.036405798	No	
row_20	NET1	neuroepithelial cell transforming 1 [Source:HGNC Symbol;Acc:HGNC:14592]	3798	0.07483170181512833	-0.03192468	No	
row_21	PTPN12	protein tyrosine phosphatase non-receptor type 12 [Source:HGNC Symbol;Acc:HGNC:9645]	3876	0.07353135198354721	-0.030821139	No	
row_22	PCSK7	proprotein convertase subtilisin/kexin type 7 [Source:HGNC Symbol;Acc:HGNC:8748]	3929	0.07210282236337662	-0.028338648	No	
row_23	PPIF	peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]	4162	0.06745266169309616	-0.036940575	No	
row_24	RNPS1	RNA binding protein with serine rich domain 1 [Source:HGNC Symbol;Acc:HGNC:10080]	4300	0.06486791372299194	-0.040082406	No	
row_25	VTA1	vesicle trafficking 1 [Source:HGNC Symbol;Acc:HGNC:20954]	4546	0.06058128923177719	-0.049990717	No	
row_26	SHB	SH2 domain containing adaptor protein B [Source:HGNC Symbol;Acc:HGNC:10838]	4661	0.058540087193250656	-0.052251965	No	
row_27	PXN	paxillin [Source:HGNC Symbol;Acc:HGNC:9718]	4857	0.0550185889005661	-0.059611794	No	
row_28	CBFB	core-binding factor subunit beta [Source:HGNC Symbol;Acc:HGNC:1539]	4923	0.054031502455472946	-0.05930255	No	
row_29	TXNDC12	thioredoxin domain containing 12 [Source:HGNC Symbol;Acc:HGNC:24626]	5305	0.047362055629491806	-0.07833697	No	
row_30	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	5510	0.043871428817510605	-0.087095805	No	
row_31	TDG	thymine DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:11700]	5554	0.04319942370057106	-0.08631418	No	
row_32	ILF2	interleukin enhancer binding factor 2 [Source:HGNC Symbol;Acc:HGNC:6037]	5593	0.04263059049844742	-0.08527868	No	
row_33	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	5641	0.041883908212184906	-0.0848372	No	
row_34	TBX2	T-box transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:11597]	5649	0.04177577793598175	-0.082020864	No	
row_35	FZD8	frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]	5860	0.038136981427669525	-0.09158102	No	
row_36	BCAR1	BCAR1 scaffold protein, Cas family member [Source:HGNC Symbol;Acc:HGNC:971]	6517	0.028089042752981186	-0.1284918	No	
row_37	UBE2N	ubiquitin conjugating enzyme E2 N [Source:HGNC Symbol;Acc:HGNC:12492]	6656	0.025764301419258118	-0.13471979	No	
row_38	HLX	H2.0 like homeobox [Source:HGNC Symbol;Acc:HGNC:4978]	6880	0.021868886426091194	-0.14631362	No	
row_39	RIPK2	receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]	7024	0.01963089406490326	-0.15331423	No	
