NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HPX	hemopexin [Source:HGNC Symbol;Acc:HGNC:5171]	340	0.19597414135932922	-0.005034243	No	
row_1	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	663	0.17139501869678497	-0.0109068155	No	
row_2	ILF3	interleukin enhancer binding factor 3 [Source:HGNC Symbol;Acc:HGNC:6038]	708	0.16841360926628113	-4.3110666E-4	No	
row_3	NTF4	neurotrophin 4 [Source:HGNC Symbol;Acc:HGNC:8024]	738	0.16684085130691528	0.010816881	No	
row_4	EYA1	EYA transcriptional coactivator and phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3519]	779	0.16478562355041504	0.021248955	No	
row_5	DRD4	dopamine receptor D4 [Source:HGNC Symbol;Acc:HGNC:3025]	1147	0.1460571587085724	0.010721655	No	
row_6	MC1R	melanocortin 1 receptor [Source:HGNC Symbol;Acc:HGNC:6929]	1408	0.13611023128032684	0.005802225	No	
row_7	KIAA0040	KIAA0040 [Source:HGNC Symbol;Acc:HGNC:28950]	1529	0.13179486989974976	0.008896863	No	
row_8	PBX2	PBX homeobox 2 [Source:HGNC Symbol;Acc:HGNC:8633]	2258	0.1097702607512474	-0.02598337	No	
row_9	PVALB	parvalbumin [Source:HGNC Symbol;Acc:HGNC:9704]	2924	0.09391044825315475	-0.058339864	No	
row_10	COG2	component of oligomeric golgi complex 2 [Source:HGNC Symbol;Acc:HGNC:6546]	2986	0.09250073879957199	-0.05478287	No	
row_11	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	3016	0.09176243841648102	-0.049374796	No	
row_12	DELE1	DAP3 binding cell death enhancer 1 [Source:HGNC Symbol;Acc:HGNC:28969]	3145	0.08887200057506561	-0.050096005	No	
row_13	NTSR1	neurotensin receptor 1 [Source:HGNC Symbol;Acc:HGNC:8039]	3367	0.08428905159235	-0.056720305	No	
row_14	CYP2C9	cytochrome P450 family 2 subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:2623]	3399	0.08363499492406845	-0.052063696	No	
