NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MTRF1	mitochondrial translation release factor 1 [Source:HGNC Symbol;Acc:HGNC:7469]	34	0.26090699434280396	0.017941495	Yes	
row_1	TNRC18	trinucleotide repeat containing 18 [Source:HGNC Symbol;Acc:HGNC:11962]	130	0.22716189920902252	0.02966281	Yes	
row_2	ZNF84	zinc finger protein 84 [Source:HGNC Symbol;Acc:HGNC:13159]	170	0.21997182071208954	0.044173118	Yes	
row_3	IP6K2	inositol hexakisphosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:17313]	220	0.21224051713943481	0.057495393	Yes	
row_4	ASIC4	acid sensing ion channel subunit family member 4 [Source:HGNC Symbol;Acc:HGNC:21263]	384	0.19162426888942719	0.06244192	Yes	
row_5	SP140L	SP140 nuclear body protein like [Source:HGNC Symbol;Acc:HGNC:25105]	405	0.18953096866607666	0.075755365	Yes	
row_6	MSH5	mutS homolog 5 [Source:HGNC Symbol;Acc:HGNC:7328]	435	0.18634873628616333	0.088288575	Yes	
row_7	FUT3	fucosyltransferase 3 (Lewis blood group) [Source:HGNC Symbol;Acc:HGNC:4014]	448	0.18473665416240692	0.10171212	Yes	
row_8	RASL10A	RAS like family 10 member A [Source:HGNC Symbol;Acc:HGNC:16954]	529	0.17907747626304626	0.11064768	Yes	
row_9	CDK10	cyclin dependent kinase 10 [Source:HGNC Symbol;Acc:HGNC:1770]	567	0.17697259783744812	0.12198623	Yes	
row_10	CHEK2	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	582	0.1758633852005005	0.13461138	Yes	
row_11	STARD3	StAR related lipid transfer domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17579]	710	0.16826938092708588	0.1399171	Yes	
row_12	S100A14	S100 calcium binding protein A14 [Source:HGNC Symbol;Acc:HGNC:18901]	724	0.16763778030872345	0.15197232	Yes	
row_13	GPR19	G protein-coupled receptor 19 [Source:HGNC Symbol;Acc:HGNC:4473]	902	0.156887486577034	0.1534254	Yes	
row_14	TRIM52	tripartite motif containing 52 [Source:HGNC Symbol;Acc:HGNC:19024]	903	0.1567668318748474	0.16542378	Yes	
row_15	TAF1C	TATA-box binding protein associated factor, RNA polymerase I subunit C [Source:HGNC Symbol;Acc:HGNC:11534]	934	0.1555110067129135	0.17553715	Yes	
row_16	LRP5L	LDL receptor related protein 5 like (pseudogene) [Source:HGNC Symbol;Acc:HGNC:25323]	975	0.15355315804481506	0.18490438	Yes	
row_17	TBX6	T-box transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:11605]	1023	0.1518275886774063	0.19372211	Yes	
row_18	ACIN1	apoptotic chromatin condensation inducer 1 [Source:HGNC Symbol;Acc:HGNC:17066]	1056	0.1502426415681839	0.20331301	Yes	
row_19	IRF2BP1	interferon regulatory factor 2 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:21728]	1070	0.14967693388462067	0.21399356	Yes	
row_20	ZKSCAN4	zinc finger with KRAB and SCAN domains 4 [Source:HGNC Symbol;Acc:HGNC:13854]	1281	0.14084334671497345	0.21225087	Yes	
row_21	VPS52	VPS52 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:10518]	1528	0.1318318247795105	0.20767178	Yes	
row_22	SETD4	SET domain containing 4 [Source:HGNC Symbol;Acc:HGNC:1258]	1678	0.12650944292545319	0.20846947	Yes	
row_23	ZNF652	zinc finger protein 652 [Source:HGNC Symbol;Acc:HGNC:29147]	1783	0.12339428812265396	0.21171209	Yes	
row_24	RNPEPL1	arginyl aminopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:10079]	2055	0.11559668183326721	0.20439965	Yes	
row_25	WDR91	WD repeat domain 91 [Source:HGNC Symbol;Acc:HGNC:24997]	2140	0.11289709061384201	0.20803146	Yes	
row_26	DHX35	DEAH-box helicase 35 [Source:HGNC Symbol;Acc:HGNC:15861]	2147	0.11259624361991882	0.21629141	Yes	
row_27	PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1 [Source:HGNC Symbol;Acc:HGNC:8988]	2348	0.10758506506681442	0.21259955	Yes	
row_28	PHKG2	phosphorylase kinase catalytic subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:8931]	2412	0.10620742291212082	0.21697159	Yes	
row_29	LIN7B	lin-7 homolog B, crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:17788]	2423	0.10602796822786331	0.2244903	Yes	
row_30	KATNBL1	katanin regulatory subunit B1 like 1 [Source:HGNC Symbol;Acc:HGNC:26199]	2524	0.10374414175748825	0.22646749	Yes	
row_31	MSANTD2	Myb/SANT DNA binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26266]	2960	0.09303127974271774	0.2076486	No	
row_32	PKD1	polycystin 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:9008]	3049	0.0911482498049736	0.20937732	No	
row_33	LRRC37A2	leucine rich repeat containing 37 member A2 [Source:HGNC Symbol;Acc:HGNC:32404]	3233	0.08721870929002762	0.2051404	No	
row_34	ASPM	assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]	3250	0.08677960187196732	0.21082813	No	
row_35	ANKRD46	ankyrin repeat domain 46 [Source:HGNC Symbol;Acc:HGNC:27229]	3327	0.08534280210733414	0.21282807	No	
row_36	FAM222B	family with sequence similarity 222 member B [Source:HGNC Symbol;Acc:HGNC:25563]	3492	0.0814557746052742	0.20928304	No	
row_37	YIPF3	Yip1 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:21023]	3508	0.08114265650510788	0.21459897	No	
row_38	KCTD3	potassium channel tetramerization domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21305]	3571	0.07977451384067535	0.21700756	No	
row_39	KRT5	keratin 5 [Source:HGNC Symbol;Acc:HGNC:6442]	3612	0.07868238538503647	0.22064443	No	
row_40	LRRC14	leucine rich repeat containing 14 [Source:HGNC Symbol;Acc:HGNC:20419]	3869	0.07358545064926147	0.21101105	No	
row_41	ZNF821	zinc finger protein 821 [Source:HGNC Symbol;Acc:HGNC:28043]	3880	0.07346229255199432	0.2160373	No	
row_42	NUP62	nucleoporin 62 [Source:HGNC Symbol;Acc:HGNC:8066]	3924	0.07218225300312042	0.21899778	No	
row_43	PKP1	plakophilin 1 [Source:HGNC Symbol;Acc:HGNC:9023]	3978	0.07124599814414978	0.22129029	No	
row_44	MFSD12	major facilitator superfamily domain containing 12 [Source:HGNC Symbol;Acc:HGNC:28299]	4025	0.07026838511228561	0.2239254	No	
row_45	ADM2	adrenomedullin 2 [Source:HGNC Symbol;Acc:HGNC:28898]	4122	0.06825324892997742	0.22342476	No	
row_46	CMC1	C-X9-C motif containing 1 [Source:HGNC Symbol;Acc:HGNC:28783]	4179	0.0671316608786583	0.2252235	No	
row_47	NACC1	nucleus accumbens associated 1 [Source:HGNC Symbol;Acc:HGNC:20967]	4468	0.06213487312197685	0.21280555	No	
row_48	ALK	ALK receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:427]	4633	0.05892079696059227	0.20753579	No	
row_49	NPIPA1	nuclear pore complex interacting protein family member A1 [Source:HGNC Symbol;Acc:HGNC:7909]	4655	0.05859765037894249	0.21076842	No	
row_50	RAB11FIP1	RAB11 family interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:30265]	5022	0.052381400018930435	0.19295283	No	
row_51	ZNF32	zinc finger protein 32 [Source:HGNC Symbol;Acc:HGNC:13095]	5058	0.051796987652778625	0.19483012	No	
row_52	RALGDS	ral guanine nucleotide dissociation stimulator [Source:HGNC Symbol;Acc:HGNC:9842]	5123	0.05068686604499817	0.19489318	No	
row_53	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	5345	0.04674706608057022	0.18529275	No	
row_54	GSDMD	gasdermin D [Source:HGNC Symbol;Acc:HGNC:25697]	5407	0.045819927006959915	0.1851622	No	
row_55	PRRX2	paired related homeobox 2 [Source:HGNC Symbol;Acc:HGNC:21338]	5431	0.04542648047208786	0.1872675	No	
row_56	RS1	retinoschisin 1 [Source:HGNC Symbol;Acc:HGNC:10457]	5612	0.04235592857003212	0.17977582	No	
