NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AJUBA	ajuba LIM protein [Source:HGNC Symbol;Acc:HGNC:20250]	591	0.17528800666332245	-0.022905232	No	
row_1	EFNA4	ephrin A4 [Source:HGNC Symbol;Acc:HGNC:3224]	666	0.171112060546875	-0.015239686	No	
row_2	CIRBP	cold inducible RNA binding protein [Source:HGNC Symbol;Acc:HGNC:1982]	687	0.16948242485523224	-0.0044653397	No	
row_3	SLC11A2	solute carrier family 11 member 2 [Source:HGNC Symbol;Acc:HGNC:10908]	719	0.16781176626682281	0.005534312	No	
row_4	DTX2	deltex E3 ubiquitin ligase 2 [Source:HGNC Symbol;Acc:HGNC:15973]	946	0.15474136173725128	0.0029691784	No	
row_5	PSEN2	presenilin 2 [Source:HGNC Symbol;Acc:HGNC:9509]	1064	0.1498841792345047	0.006568506	No	
row_6	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 [Source:HGNC Symbol;Acc:HGNC:3368]	1093	0.14835502207279205	0.015373282	No	
row_7	NFKBIZ	NFKB inhibitor zeta [Source:HGNC Symbol;Acc:HGNC:29805]	1229	0.14293351769447327	0.017407147	No	
row_8	SIX5	SIX homeobox 5 [Source:HGNC Symbol;Acc:HGNC:10891]	1259	0.14179997146129608	0.02568932	No	
row_9	ERBB3	erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]	1420	0.1356792151927948	0.02571837	No	
row_10	RAP2B	RAP2B, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9862]	1424	0.13556823134422302	0.035112716	No	
row_11	SLC35E4	solute carrier family 35 member E4 [Source:HGNC Symbol;Acc:HGNC:17058]	1658	0.12743738293647766	0.030201541	No	
row_12	RTKN	rhotekin [Source:HGNC Symbol;Acc:HGNC:10466]	1778	0.12356282025575638	0.031822726	No	
row_13	ZMYND8	zinc finger MYND-type containing 8 [Source:HGNC Symbol;Acc:HGNC:9397]	1934	0.11909158527851105	0.030978909	No	
row_14	WDR26	WD repeat domain 26 [Source:HGNC Symbol;Acc:HGNC:21208]	1973	0.11790163815021515	0.037036136	No	
row_15	TRIM41	tripartite motif containing 41 [Source:HGNC Symbol;Acc:HGNC:19013]	2086	0.11468345671892166	0.038448196	No	
