NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZIC2	Zic family member 2 [Source:HGNC Symbol;Acc:HGNC:12873]	261	0.20575913786888123	-2.1355615E-4	Yes	
row_1	POLE	DNA polymerase epsilon, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9177]	297	0.20048467814922333	0.012666778	Yes	
row_2	TMEM121	transmembrane protein 121 [Source:HGNC Symbol;Acc:HGNC:20511]	317	0.1988787055015564	0.026382083	Yes	
row_3	CSPG5	chondroitin sulfate proteoglycan 5 [Source:HGNC Symbol;Acc:HGNC:2467]	596	0.1750125288963318	0.022858277	Yes	
row_4	MMP15	matrix metallopeptidase 15 [Source:HGNC Symbol;Acc:HGNC:7161]	722	0.16767336428165436	0.02791755	Yes	
row_5	SLC27A3	solute carrier family 27 member 3 [Source:HGNC Symbol;Acc:HGNC:10997]	754	0.1659923791885376	0.038461246	Yes	
row_6	SAMD1	sterile alpha motif domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17958]	849	0.15975894033908844	0.044779677	Yes	
row_7	CABLES2	Cdk5 and Abl enzyme substrate 2 [Source:HGNC Symbol;Acc:HGNC:16143]	882	0.15825113654136658	0.054685693	Yes	
row_8	HOXA9	homeobox A9 [Source:HGNC Symbol;Acc:HGNC:5109]	947	0.1547110676765442	0.06241763	Yes	
row_9	RTN4R	reticulon 4 receptor [Source:HGNC Symbol;Acc:HGNC:18601]	1116	0.14743436872959137	0.06339952	Yes	
row_10	SBK1	SH3 domain binding kinase 1 [Source:HGNC Symbol;Acc:HGNC:17699]	1144	0.14617474377155304	0.07270226	Yes	
row_11	SIX5	SIX homeobox 5 [Source:HGNC Symbol;Acc:HGNC:10891]	1259	0.14179997146129608	0.076486185	Yes	
row_12	MBOAT1	membrane bound O-acyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21579]	1291	0.14050830900669098	0.085127115	Yes	
row_13	FAM222A	family with sequence similarity 222 member A [Source:HGNC Symbol;Acc:HGNC:25915]	1348	0.13829734921455383	0.09211097	Yes	
row_14	NOL4L	nucleolar protein 4 like [Source:HGNC Symbol;Acc:HGNC:16106]	1421	0.13566040992736816	0.097943045	Yes	
row_15	ZNF703	zinc finger protein 703 [Source:HGNC Symbol;Acc:HGNC:25883]	1459	0.13426156342029572	0.10575949	Yes	
row_16	CDKN1C	cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]	1559	0.1307476907968521	0.1096134	Yes	
row_17	TP53I13	tumor protein p53 inducible protein 13 [Source:HGNC Symbol;Acc:HGNC:25102]	1578	0.1301211714744568	0.118254624	Yes	
row_18	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	1751	0.12455885857343674	0.1172898	Yes	
row_19	GAD1	glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092]	1797	0.12295898795127869	0.12378489	Yes	
row_20	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	1873	0.12060476094484329	0.12831381	Yes	
row_21	FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]	1894	0.12009841948747635	0.13608733	Yes	
row_22	SMAD6	SMAD family member 6 [Source:HGNC Symbol;Acc:HGNC:6772]	1983	0.11752279102802277	0.13961029	Yes	
