NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TMEM121	transmembrane protein 121 [Source:HGNC Symbol;Acc:HGNC:20511]	317	0.1988787055015564	-0.0061609084	No	
row_1	CYP27B1	cytochrome P450 family 27 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2606]	563	0.17733913660049438	-0.009404691	No	
row_2	FHOD1	formin homology 2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17905]	607	0.17429915070533752	-7.782604E-4	No	
row_3	BACE2	beta-secretase 2 [Source:HGNC Symbol;Acc:HGNC:934]	790	0.1640433371067047	-0.0011130094	No	
row_4	GABBR2	gamma-aminobutyric acid type B receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:4507]	794	0.1637674868106842	0.009226198	No	
row_5	DUSP6	dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]	851	0.15953484177589417	0.016127862	No	
row_6	CEACAM6	CEA cell adhesion molecule 6 [Source:HGNC Symbol;Acc:HGNC:1818]	1162	0.1455584019422531	0.0069604274	No	
row_7	LPAR6	lysophosphatidic acid receptor 6 [Source:HGNC Symbol;Acc:HGNC:15520]	1319	0.13931840658187866	0.0065906355	No	
row_8	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	1893	0.12011636793613434	-0.019919876	No	
row_9	FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]	1894	0.12009841948747635	-0.01220624	No	
row_10	EGLN3	egl-9 family hypoxia inducible factor 3 [Source:HGNC Symbol;Acc:HGNC:14661]	1923	0.11935011297464371	-0.006213105	No	
row_11	CLDN1	claudin 1 [Source:HGNC Symbol;Acc:HGNC:2032]	2079	0.11490331590175629	-0.0080912905	No	
row_12	DBNDD2	dysbindin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:15881]	2359	0.10739205032587051	-0.017858429	No	
row_13	NT5C2	5'-nucleotidase, cytosolic II [Source:HGNC Symbol;Acc:HGNC:8022]	2387	0.10690788179636002	-0.0126046995	No	
row_14	MMP10	matrix metallopeptidase 10 [Source:HGNC Symbol;Acc:HGNC:7156]	2732	0.09821104258298874	-0.026843963	No	
row_15	BMP7	bone morphogenetic protein 7 [Source:HGNC Symbol;Acc:HGNC:1074]	2957	0.09312238544225693	-0.03424246	No	
row_16	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	2982	0.09261142462491989	-0.029727766	No	
