NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TOB1	transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]	163	0.22076088190078735	0.0056407047	No	
row_1	GDF15	growth differentiation factor 15 [Source:HGNC Symbol;Acc:HGNC:30142]	449	0.18469281494617462	0.0014831512	No	
row_2	ZNF107	zinc finger protein 107 [Source:HGNC Symbol;Acc:HGNC:12887]	521	0.17970937490463257	0.009759209	No	
row_3	TICAM1	TIR domain containing adaptor molecule 1 [Source:HGNC Symbol;Acc:HGNC:18348]	928	0.15572774410247803	-0.0036421705	No	
row_4	SHTN1	shootin 1 [Source:HGNC Symbol;Acc:HGNC:29319]	1099	0.14823958277702332	-0.0034704835	No	
row_5	TRPM4	transient receptor potential cation channel subfamily M member 4 [Source:HGNC Symbol;Acc:HGNC:17993]	1114	0.14764752984046936	0.005976739	No	
row_6	LPAR6	lysophosphatidic acid receptor 6 [Source:HGNC Symbol;Acc:HGNC:15520]	1319	0.13931840658187866	0.0034965065	No	
row_7	FDXR	ferredoxin reductase [Source:HGNC Symbol;Acc:HGNC:3642]	1477	0.13351590931415558	0.0034191175	No	
row_8	STK39	serine/threonine kinase 39 [Source:HGNC Symbol;Acc:HGNC:17717]	1684	0.12627482414245605	-8.90191E-5	No	
row_9	BAX	BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]	1862	0.12120688706636429	-0.002218163	No	
row_10	PLK2	polo like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19699]	2353	0.10754100233316422	-0.02399237	No	
row_11	RABAC1	Rab acceptor 1 [Source:HGNC Symbol;Acc:HGNC:9794]	2487	0.10480689257383347	-0.024635933	No	
row_12	TNFRSF10B	TNF receptor superfamily member 10b [Source:HGNC Symbol;Acc:HGNC:11905]	2892	0.09438156336545944	-0.0421905	No	
row_13	FZD2	frizzled class receptor 2 [Source:HGNC Symbol;Acc:HGNC:4040]	2947	0.09340986609458923	-0.038909733	No	
row_14	ANKRD46	ankyrin repeat domain 46 [Source:HGNC Symbol;Acc:HGNC:27229]	3327	0.08534280210733414	-0.055600762	No	
row_15	CLK4	CDC like kinase 4 [Source:HGNC Symbol;Acc:HGNC:13659]	3468	0.0819869115948677	-0.05825175	No	
row_16	HDAC4	histone deacetylase 4 [Source:HGNC Symbol;Acc:HGNC:14063]	3945	0.07180125266313553	-0.08167903	No	
row_17	CDK2AP1	cyclin dependent kinase 2 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:14002]	4053	0.06947005540132523	-0.08323094	No	
row_18	NUP58	nucleoporin 58 [Source:HGNC Symbol;Acc:HGNC:20261]	4265	0.0654793307185173	-0.09127197	No	
row_19	H2BC9	H2B clustered histone 9 [Source:HGNC Symbol;Acc:HGNC:4755]	4371	0.0637788400053978	-0.09310081	No	
row_20	PARP12	poly(ADP-ribose) polymerase family member 12 [Source:HGNC Symbol;Acc:HGNC:21919]	4403	0.0632241815328598	-0.09054878	No	
row_21	ISG15	ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]	4471	0.06210250407457352	-0.09022491	No	
