NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DBF4B	DBF4B-CDC7 kinase regulatory subunit [Source:HGNC Symbol;Acc:HGNC:17883]	3	0.32530078291893005	0.025453111	Yes	
row_1	LINC00115	long intergenic non-protein coding RNA 115 [Source:HGNC Symbol;Acc:HGNC:26211]	41	0.2588290870189667	0.043644857	Yes	
row_2	CSAD	cysteine sulfinic acid decarboxylase [Source:HGNC Symbol;Acc:HGNC:18966]	59	0.24703186750411987	0.06209753	Yes	
row_3	TNRC18	trinucleotide repeat containing 18 [Source:HGNC Symbol;Acc:HGNC:11962]	130	0.22716189920902252	0.07582981	Yes	
row_4	LINC00937	long intergenic non-protein coding RNA 937 [Source:HGNC Symbol;Acc:HGNC:48629]	133	0.2268824577331543	0.0935877	Yes	
row_5	GABBR1	gamma-aminobutyric acid type B receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:4070]	210	0.21363608539104462	0.105897084	Yes	
row_6	CCNL1	cyclin L1 [Source:HGNC Symbol;Acc:HGNC:20569]	225	0.21089012920856476	0.12168059	Yes	
row_7	PNISR	PNN interacting serine and arginine rich protein [Source:HGNC Symbol;Acc:HGNC:21222]	367	0.19322875142097473	0.12851295	Yes	
row_8	PCDHB13	protocadherin beta 13 [Source:HGNC Symbol;Acc:HGNC:8684]	401	0.19048316776752472	0.14155756	Yes	
row_9	AMT	aminomethyltransferase [Source:HGNC Symbol;Acc:HGNC:473]	413	0.18856023252010345	0.15576017	Yes	
row_10	GABRE	gamma-aminobutyric acid type A receptor subunit epsilon [Source:HGNC Symbol;Acc:HGNC:4085]	576	0.1763058304786682	0.16000912	Yes	
row_11	DMTF1	cyclin D binding myb like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:14603]	599	0.17473286390304565	0.17246747	Yes	
row_12	ZNF721	zinc finger protein 721 [Source:HGNC Symbol;Acc:HGNC:29425]	620	0.17354851961135864	0.18495153	Yes	
row_13	CAPRIN2	caprin family member 2 [Source:HGNC Symbol;Acc:HGNC:21259]	623	0.17340750992298126	0.19849592	Yes	
row_14	SLC4A5	solute carrier family 4 member 5 [Source:HGNC Symbol;Acc:HGNC:18168]	627	0.17318780720233917	0.21196347	Yes	
row_15	C8orf44	chromosome 8 putative open reading frame 44 [Source:HGNC Symbol;Acc:HGNC:25646]	631	0.17304685711860657	0.22541992	Yes	
row_16	SLC27A3	solute carrier family 27 member 3 [Source:HGNC Symbol;Acc:HGNC:10997]	754	0.1659923791885376	0.23123719	Yes	
row_17	TRIM52	tripartite motif containing 52 [Source:HGNC Symbol;Acc:HGNC:19024]	903	0.1567668318748474	0.23477992	Yes	
row_18	ANKRD36B	ankyrin repeat domain 36B [Source:HGNC Symbol;Acc:HGNC:29333]	911	0.15638017654418945	0.24668504	Yes	
row_19	GOLGA8A	golgin A8 family member A [Source:HGNC Symbol;Acc:HGNC:31972]	960	0.15406139194965363	0.255967	Yes	
row_20	NSUN6	NOP2/Sun RNA methyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:23529]	964	0.15384149551391602	0.26791015	Yes	
row_21	SEC31B	SEC31 homolog B, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:23197]	1121	0.14720533788204193	0.27022332	Yes	
row_22	MBTD1	mbt domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19866]	1342	0.13850177824497223	0.26804116	Yes	
row_23	ZNF44	zinc finger protein 44 [Source:HGNC Symbol;Acc:HGNC:13110]	1383	0.1371987909078598	0.27647063	Yes	
row_24	ZNF160	zinc finger protein 160 [Source:HGNC Symbol;Acc:HGNC:12948]	1456	0.13449642062187195	0.28278238	Yes	
row_25	SUZ12P1	SUZ12 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:32421]	1471	0.13374625146389008	0.29248744	Yes	
row_26	POLR2J4	RNA polymerase II subunit J4 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:28195]	1680	0.12641315162181854	0.29006705	Yes	
row_27	NOL12	nucleolar protein 12 [Source:HGNC Symbol;Acc:HGNC:28585]	1727	0.12529711425304413	0.29720157	Yes	
row_28	MTMR11	myotubularin related protein 11 [Source:HGNC Symbol;Acc:HGNC:24307]	2062	0.11538643389940262	0.28641236	Yes	
row_29	ZNF529	zinc finger protein 529 [Source:HGNC Symbol;Acc:HGNC:29328]	2097	0.1143374815583229	0.29339764	Yes	
row_30	LRRC37A	leucine rich repeat containing 37A [Source:HGNC Symbol;Acc:HGNC:29069]	2174	0.11190906167030334	0.29769158	Yes	
row_31	NEAT1	nuclear paraspeckle assembly transcript 1 [Source:HGNC Symbol;Acc:HGNC:30815]	2253	0.10986361652612686	0.3017053	Yes	
