NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DBF4B	DBF4B-CDC7 kinase regulatory subunit [Source:HGNC Symbol;Acc:HGNC:17883]	3	0.32530078291893005	0.03321433	Yes	
row_1	CACNA1F	calcium voltage-gated channel subunit alpha1 F [Source:HGNC Symbol;Acc:HGNC:1393]	53	0.2505585849285126	0.05602074	Yes	
row_2	PRODH	proline dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:9453]	148	0.2245628535747528	0.073482625	Yes	
row_3	PLCH2	phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037]	251	0.2075168341398239	0.08871896	Yes	
row_4	OVGP1	oviductal glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:8524]	283	0.20221641659736633	0.10763337	Yes	
row_5	IGF2-AS	IGF2 antisense RNA [Source:HGNC Symbol;Acc:HGNC:14062]	316	0.19901877641677856	0.12616007	Yes	
row_6	KREMEN2	kringle containing transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:18797]	399	0.1905559003353119	0.14084467	Yes	
row_7	DGKQ	diacylglycerol kinase theta [Source:HGNC Symbol;Acc:HGNC:2856]	565	0.1771727055311203	0.14921969	Yes	
row_8	C19orf73	chromosome 19 open reading frame 73 [Source:HGNC Symbol;Acc:HGNC:25534]	918	0.15612421929836273	0.1443137	Yes	
row_9	SLC5A2	solute carrier family 5 member 2 [Source:HGNC Symbol;Acc:HGNC:11037]	1069	0.14972105622291565	0.15076277	Yes	
row_10	SETD1A	SET domain containing 1A, histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:29010]	1095	0.14829924702644348	0.16449928	Yes	
row_11	H2AJ	H2A.J histone [Source:HGNC Symbol;Acc:HGNC:14456]	1283	0.1407853662967682	0.1678308	Yes	
row_12	AATK	apoptosis associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:21]	1351	0.13824091851711273	0.17803718	Yes	
row_13	ABCB8	ATP binding cassette subfamily B member 8 [Source:HGNC Symbol;Acc:HGNC:49]	1428	0.13529996573925018	0.18740647	Yes	
row_14	SYNPO2L	synaptopodin 2 like [Source:HGNC Symbol;Acc:HGNC:23532]	1625	0.1286216378211975	0.18895414	Yes	
row_15	TF	transferrin [Source:HGNC Symbol;Acc:HGNC:11740]	1656	0.12744802236557007	0.2002529	Yes	
row_16	PROM1	prominin 1 [Source:HGNC Symbol;Acc:HGNC:9454]	1702	0.12587492167949677	0.21049818	Yes	
row_17	TBXAS1	thromboxane A synthase 1 [Source:HGNC Symbol;Acc:HGNC:11609]	1724	0.12536534667015076	0.22211836	Yes	
row_18	PGPEP1	pyroglutamyl-peptidase I [Source:HGNC Symbol;Acc:HGNC:13568]	1830	0.1221354752779007	0.22841173	Yes	
row_19	HOXC11	homeobox C11 [Source:HGNC Symbol;Acc:HGNC:5123]	2004	0.11690164357423782	0.23012409	Yes	
row_20	CLDN16	claudin 16 [Source:HGNC Symbol;Acc:HGNC:2037]	2031	0.11629407852888107	0.24051575	Yes	
row_21	ADRA2C	adrenoceptor alpha 2C [Source:HGNC Symbol;Acc:HGNC:283]	2118	0.11363955587148666	0.24706689	Yes	
row_22	MXD3	MAX dimerization protein 3 [Source:HGNC Symbol;Acc:HGNC:14008]	2201	0.11122064292430878	0.25360757	Yes	
row_23	HOXC8	homeobox C8 [Source:HGNC Symbol;Acc:HGNC:5129]	2576	0.10234382003545761	0.24187264	No	
row_24	ZNF480	zinc finger protein 480 [Source:HGNC Symbol;Acc:HGNC:23305]	2841	0.09542965888977051	0.23596933	No	
row_25	PPM1H	protein phosphatase, Mg2+/Mn2+ dependent 1H [Source:HGNC Symbol;Acc:HGNC:18583]	3097	0.08995167165994644	0.23003891	No	
row_26	MAB21L4	mab-21 like 4 [Source:HGNC Symbol;Acc:HGNC:26216]	3460	0.08223219215869904	0.21695308	No	
row_27	LILRA4	leukocyte immunoglobulin like receptor A4 [Source:HGNC Symbol;Acc:HGNC:15503]	3628	0.07836364209651947	0.21506624	No	
row_28	GMIP	GEM interacting protein [Source:HGNC Symbol;Acc:HGNC:24852]	3770	0.07539486885070801	0.2144208	No	
row_29	PODNL1	podocan like 1 [Source:HGNC Symbol;Acc:HGNC:26275]	3928	0.07213544100522995	0.21248928	No	
row_30	HDAC7	histone deacetylase 7 [Source:HGNC Symbol;Acc:HGNC:14067]	4000	0.07086150348186493	0.21554118	No	
row_31	CCN5	cellular communication network factor 5 [Source:HGNC Symbol;Acc:HGNC:12770]	4284	0.06525374203920364	0.20541039	No	
row_32	GDF10	growth differentiation factor 10 [Source:HGNC Symbol;Acc:HGNC:4215]	4335	0.06423319876194	0.20903069	No	
row_33	C5	complement C5 [Source:HGNC Symbol;Acc:HGNC:1331]	4336	0.06422816216945648	0.21562383	No	
row_34	RAPGEF3	Rap guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:16629]	4399	0.06338117271661758	0.21844305	No	
row_35	ACE	angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]	4460	0.062364254146814346	0.22127683	No	
row_36	WDR33	WD repeat domain 33 [Source:HGNC Symbol;Acc:HGNC:25651]	4472	0.06209095939993858	0.22699645	No	
row_37	SDS	serine dehydratase [Source:HGNC Symbol;Acc:HGNC:10691]	4475	0.06207062304019928	0.23324917	No	
row_38	CLUHP3	clustered mitochondria homolog pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:28447]	4497	0.06159733608365059	0.23832345	No	
