NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MPP3	MAGUK p55 scaffold protein 3 [Source:HGNC Symbol;Acc:HGNC:7221]	4	0.3131573796272278	0.023405744	Yes	
row_1	ZNF239	zinc finger protein 239 [Source:HGNC Symbol;Acc:HGNC:13031]	83	0.23855701088905334	0.03676364	Yes	
row_2	LSM14B	LSM family member 14B [Source:HGNC Symbol;Acc:HGNC:15887]	129	0.2277577668428421	0.05127513	Yes	
row_3	SF3A2	splicing factor 3a subunit 2 [Source:HGNC Symbol;Acc:HGNC:10766]	246	0.2082853764295578	0.06008012	Yes	
row_4	HPX	hemopexin [Source:HGNC Symbol;Acc:HGNC:5171]	340	0.19597414135932922	0.06932788	Yes	
row_5	TRA2A	transformer 2 alpha homolog [Source:HGNC Symbol;Acc:HGNC:16645]	404	0.1898629367351532	0.079904206	Yes	
row_6	TJP3	tight junction protein 3 [Source:HGNC Symbol;Acc:HGNC:11829]	483	0.18242114782333374	0.08902366	Yes	
row_7	MEX3D	mex-3 RNA binding family member D [Source:HGNC Symbol;Acc:HGNC:16734]	514	0.1801294982433319	0.10083405	Yes	
row_8	TAF4	TATA-box binding protein associated factor 4 [Source:HGNC Symbol;Acc:HGNC:11537]	522	0.1795184463262558	0.113970615	Yes	
row_9	LCAT	lecithin-cholesterol acyltransferase [Source:HGNC Symbol;Acc:HGNC:6522]	633	0.1730065941810608	0.120469935	Yes	
row_10	PSPH	phosphoserine phosphatase [Source:HGNC Symbol;Acc:HGNC:9577]	830	0.1610901653766632	0.12093826	Yes	
row_11	EPPK1	epiplakin 1 [Source:HGNC Symbol;Acc:HGNC:15577]	1122	0.14711028337478638	0.1146828	Yes	
row_12	CDK18	cyclin dependent kinase 18 [Source:HGNC Symbol;Acc:HGNC:8751]	1141	0.14631985127925873	0.12465644	Yes	
row_13	CBX4	chromobox 4 [Source:HGNC Symbol;Acc:HGNC:1554]	1228	0.14294281601905823	0.13031782	Yes	
row_14	FANCE	FA complementation group E [Source:HGNC Symbol;Acc:HGNC:3586]	1230	0.14292524755001068	0.14104949	Yes	
row_15	ALOX12P2	arachidonate 12-lipoxygenase pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:432]	1237	0.14266638457775116	0.15146327	Yes	
row_16	COL11A2	collagen type XI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2187]	1240	0.14263518154621124	0.16211335	Yes	
row_17	RNF39	ring finger protein 39 [Source:HGNC Symbol;Acc:HGNC:18064]	1349	0.138288676738739	0.1661107	Yes	
row_18	PTGER1	prostaglandin E receptor 1 [Source:HGNC Symbol;Acc:HGNC:9593]	1402	0.13639110326766968	0.17330605	Yes	
row_19	ARFGAP1	ADP ribosylation factor GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:15852]	1475	0.1336597055196762	0.17910184	Yes	
row_20	HMGN3	high mobility group nucleosomal binding domain 3 [Source:HGNC Symbol;Acc:HGNC:12312]	1909	0.11973004788160324	0.16230653	Yes	
row_21	SMAD6	SMAD family member 6 [Source:HGNC Symbol;Acc:HGNC:6772]	1983	0.11752279102802277	0.16682428	Yes	
row_22	TMEM168	transmembrane protein 168 [Source:HGNC Symbol;Acc:HGNC:25826]	2052	0.11568554490804672	0.17150164	Yes	
row_23	CLDN1	claudin 1 [Source:HGNC Symbol;Acc:HGNC:2032]	2079	0.11490331590175629	0.1786259	Yes	
row_24	AUTS2	activator of transcription and developmental regulator AUTS2 [Source:HGNC Symbol;Acc:HGNC:14262]	2109	0.11393523216247559	0.18549807	Yes	
row_25	ALOX5	arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:435]	2133	0.1130550429224968	0.19266178	Yes	
row_26	PRSS8	serine protease 8 [Source:HGNC Symbol;Acc:HGNC:9491]	2278	0.10926748812198639	0.19231994	Yes	
row_27	PDGFA	platelet derived growth factor subunit A [Source:HGNC Symbol;Acc:HGNC:8799]	2287	0.1091090589761734	0.20008071	Yes	
row_28	ALG13	ALG13 UDP-N-acetylglucosaminyltransferase subunit [Source:HGNC Symbol;Acc:HGNC:30881]	2312	0.10831361263990402	0.20682676	Yes	
row_29	MAP7	microtubule associated protein 7 [Source:HGNC Symbol;Acc:HGNC:6869]	2328	0.10789526998996735	0.21407822	Yes	
row_30	SIGLEC6	sialic acid binding Ig like lectin 6 [Source:HGNC Symbol;Acc:HGNC:10875]	2400	0.10657879710197449	0.217889	Yes	
