NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CACNA1F	calcium voltage-gated channel subunit alpha1 F [Source:HGNC Symbol;Acc:HGNC:1393]	53	0.2505585849285126	0.02604725	Yes	
row_1	PRODH	proline dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:9453]	148	0.2245628535747528	0.046627413	Yes	
row_2	PLCH2	phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037]	251	0.2075168341398239	0.06474549	Yes	
row_3	RAB40AL	RAB40A like [Source:HGNC Symbol;Acc:HGNC:25410]	277	0.2027663141489029	0.08688813	Yes	
row_4	KRT15	keratin 15 [Source:HGNC Symbol;Acc:HGNC:6421]	305	0.19999635219573975	0.10858906	Yes	
row_5	RTP4	receptor transporter protein 4 [Source:HGNC Symbol;Acc:HGNC:23992]	505	0.18077288568019867	0.11782329	Yes	
row_6	BBC3	BCL2 binding component 3 [Source:HGNC Symbol;Acc:HGNC:17868]	643	0.17256039381027222	0.12978679	Yes	
row_7	TGM1	transglutaminase 1 [Source:HGNC Symbol;Acc:HGNC:11777]	863	0.15879777073860168	0.13527104	Yes	
row_8	PIK3C2B	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta [Source:HGNC Symbol;Acc:HGNC:8972]	894	0.15763986110687256	0.15185766	Yes	
row_9	OLFML2A	olfactomedin like 2A [Source:HGNC Symbol;Acc:HGNC:27270]	1096	0.14826899766921997	0.15718518	Yes	
row_10	UPK3B	uroplakin 3B [Source:HGNC Symbol;Acc:HGNC:21444]	1165	0.1454341858625412	0.17009008	Yes	
row_11	EPHB3	EPH receptor B3 [Source:HGNC Symbol;Acc:HGNC:3394]	1366	0.13775765895843506	0.17425214	Yes	
row_12	CDKN1C	cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]	1559	0.1307476907968521	0.17807296	Yes	
row_13	PPFIBP2	PPFIA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9250]	1643	0.12781694531440735	0.188033	Yes	
row_14	TF	transferrin [Source:HGNC Symbol;Acc:HGNC:11740]	1656	0.12744802236557007	0.20217147	Yes	
row_15	ATAT1	alpha tubulin acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:21186]	1699	0.1259026825428009	0.21434617	Yes	
row_16	PROM1	prominin 1 [Source:HGNC Symbol;Acc:HGNC:9454]	1702	0.12587492167949677	0.2288959	Yes	
row_17	IHH	Indian hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:5956]	1883	0.12035266309976578	0.23221882	Yes	
row_18	TOP6BL	TOP6B like initiator of meiotic double strand breaks [Source:HGNC Symbol;Acc:HGNC:26197]	1995	0.11725277453660965	0.23928301	Yes	
row_19	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	2162	0.1122463271021843	0.24249367	Yes	
