NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL9A3	collagen type IX alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2219]	284	0.20203548669815063	-0.0046688244	No	
row_1	OBSL1	obscurin like cytoskeletal adaptor 1 [Source:HGNC Symbol;Acc:HGNC:29092]	481	0.18249233067035675	-0.005271965	No	
row_2	SCML1	Scm polycomb group protein like 1 [Source:HGNC Symbol;Acc:HGNC:10580]	598	0.17475773394107819	-0.0015688586	No	
row_3	NMNAT2	nicotinamide nucleotide adenylyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16789]	833	0.1609048992395401	-0.005753942	No	
row_4	TCHH	trichohyalin [Source:HGNC Symbol;Acc:HGNC:11791]	907	0.15657587349414825	-5.892413E-4	No	
row_5	ZNF350	zinc finger protein 350 [Source:HGNC Symbol;Acc:HGNC:16656]	1090	0.1484287828207016	-0.002428312	No	
row_6	PCSK1N	proprotein convertase subtilisin/kexin type 1 inhibitor [Source:HGNC Symbol;Acc:HGNC:17301]	1188	0.14458990097045898	5.7435705E-4	No	
row_7	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	1312	0.13967366516590118	0.0017255814	No	
row_8	INHBE	inhibin subunit beta E [Source:HGNC Symbol;Acc:HGNC:24029]	1676	0.12664036452770233	-0.012245989	No	
row_9	FGF13	fibroblast growth factor 13 [Source:HGNC Symbol;Acc:HGNC:3670]	1713	0.12563879787921906	-0.0067537585	No	
row_10	ISYNA1	inositol-3-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:29821]	1924	0.11931086331605911	-0.012035713	No	
row_11	CAVIN3	caveolae associated protein 3 [Source:HGNC Symbol;Acc:HGNC:9400]	1968	0.1180306151509285	-0.0074241953	No	
row_12	AUTS2	activator of transcription and developmental regulator AUTS2 [Source:HGNC Symbol;Acc:HGNC:14262]	2109	0.11393523216247559	-0.008853508	No	
row_13	SLC17A9	solute carrier family 17 member 9 [Source:HGNC Symbol;Acc:HGNC:16192]	2173	0.11191754043102264	-0.0058079795	No	
row_14	PDGFA	platelet derived growth factor subunit A [Source:HGNC Symbol;Acc:HGNC:8799]	2287	0.1091090589761734	-0.0059187026	No	
row_15	ADGRE2	adhesion G protein-coupled receptor E2 [Source:HGNC Symbol;Acc:HGNC:3337]	2725	0.09833763539791107	-0.02603017	No	
row_16	TH	tyrosine hydroxylase [Source:HGNC Symbol;Acc:HGNC:11782]	2824	0.09588344395160675	-0.026049687	No	
row_17	BMP7	bone morphogenetic protein 7 [Source:HGNC Symbol;Acc:HGNC:1074]	2957	0.09312238544225693	-0.028267233	No	
row_18	PLEKHF1	pleckstrin homology and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20764]	3104	0.0897926315665245	-0.031523228	No	
row_19	CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	3126	0.08924919366836548	-0.027348695	No	
row_20	TMEM47	transmembrane protein 47 [Source:HGNC Symbol;Acc:HGNC:18515]	3222	0.08735384792089462	-0.027707882	No	
