NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	INE1	inactivation escape 1 [Source:HGNC Symbol;Acc:HGNC:6060]	791	0.16387543082237244	-0.028101766	No	
row_1	RAD9A	RAD9 checkpoint clamp component A [Source:HGNC Symbol;Acc:HGNC:9827]	997	0.15263819694519043	-0.022667455	No	
row_2	MC1R	melanocortin 1 receptor [Source:HGNC Symbol;Acc:HGNC:6929]	1408	0.13611023128032684	-0.03132677	No	
row_3	TRAIP	TRAF interacting protein [Source:HGNC Symbol;Acc:HGNC:30764]	1473	0.1337190568447113	-0.019695036	No	
row_4	ZNF688	zinc finger protein 688 [Source:HGNC Symbol;Acc:HGNC:30489]	1951	0.11855600029230118	-0.034363393	No	
row_5	GPR39	G protein-coupled receptor 39 [Source:HGNC Symbol;Acc:HGNC:4496]	2302	0.108730748295784	-0.042616755	No	
row_6	MAP7	microtubule associated protein 7 [Source:HGNC Symbol;Acc:HGNC:6869]	2328	0.10789526998996735	-0.031647768	No	
row_7	KLF5	KLF transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]	2522	0.10375288873910904	-0.031143293	No	
row_8	CLCN7	chloride voltage-gated channel 7 [Source:HGNC Symbol;Acc:HGNC:2025]	2953	0.09322046488523483	-0.0459425	No	
row_9	CUBN	cubilin [Source:HGNC Symbol;Acc:HGNC:2548]	3009	0.09189382195472717	-0.03860394	No	
row_10	HOXD1	homeobox D1 [Source:HGNC Symbol;Acc:HGNC:5132]	3161	0.08870559185743332	-0.03733989	No	
row_11	SLC9A2	solute carrier family 9 member A2 [Source:HGNC Symbol;Acc:HGNC:11072]	3258	0.0866023376584053	-0.033049297	No	
row_12	CYB5R1	cytochrome b5 reductase 1 [Source:HGNC Symbol;Acc:HGNC:13397]	3315	0.08555155992507935	-0.026502306	No	
row_13	ARSL	arylsulfatase L [Source:HGNC Symbol;Acc:HGNC:719]	4092	0.06881294399499893	-0.06468611	No	
row_14	ZBTB7A	zinc finger and BTB domain containing 7A [Source:HGNC Symbol;Acc:HGNC:18078]	4105	0.06853151321411133	-0.057488386	No	
row_15	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	4155	0.06758004426956177	-0.052599866	No	
row_16	PLAG1	PLAG1 zinc finger [Source:HGNC Symbol;Acc:HGNC:9045]	4413	0.06310150027275085	-0.060592357	No	
