NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DBF4B	DBF4B-CDC7 kinase regulatory subunit [Source:HGNC Symbol;Acc:HGNC:17883]	3	0.32530078291893005	0.019448182	Yes	
row_1	TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	86	0.23779532313346863	0.028898811	Yes	
row_2	XRCC3	X-ray repair cross complementing 3 [Source:HGNC Symbol;Acc:HGNC:12830]	173	0.21895922720432281	0.03697407	Yes	
row_3	FASN	fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]	187	0.21687321364879608	0.04928297	Yes	
row_4	SLC26A1	solute carrier family 26 member 1 [Source:HGNC Symbol;Acc:HGNC:10993]	293	0.20088624954223633	0.05513311	Yes	
row_5	PLXNB1	plexin B1 [Source:HGNC Symbol;Acc:HGNC:9103]	331	0.19707302749156952	0.06481409	Yes	
row_6	ANKZF1	ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:25527]	363	0.19357167184352875	0.07464213	Yes	
row_7	H1-10	H1.10 linker histone [Source:HGNC Symbol;Acc:HGNC:4722]	429	0.18660904467105865	0.08201961	Yes	
row_8	TSC2	TSC complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:12363]	553	0.1779060810804367	0.08540827	Yes	
row_9	POLD1	DNA polymerase delta 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9175]	569	0.17682865262031555	0.09518161	Yes	
row_10	BBC3	BCL2 binding component 3 [Source:HGNC Symbol;Acc:HGNC:17868]	643	0.17256039381027222	0.1012337	Yes	
row_11	TNK2	tyrosine kinase non receptor 2 [Source:HGNC Symbol;Acc:HGNC:19297]	680	0.1699514091014862	0.109337986	Yes	
row_12	DLK2	delta like non-canonical Notch ligand 2 [Source:HGNC Symbol;Acc:HGNC:21113]	684	0.16974683105945587	0.11940067	Yes	
row_13	MICALL2	MICAL like 2 [Source:HGNC Symbol;Acc:HGNC:29672]	781	0.1646595448255539	0.12360251	Yes	
row_14	PRMT7	protein arginine methyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:25557]	832	0.1610386222600937	0.13033296	Yes	
row_15	PAGR1	PAXIP1 associated glutamate rich protein 1 [Source:HGNC Symbol;Acc:HGNC:28707]	899	0.15698011219501495	0.13586304	Yes	
row_16	TAF1C	TATA-box binding protein associated factor, RNA polymerase I subunit C [Source:HGNC Symbol;Acc:HGNC:11534]	934	0.1555110067129135	0.14321549	Yes	
row_17	TRPM4	transient receptor potential cation channel subfamily M member 4 [Source:HGNC Symbol;Acc:HGNC:17993]	1114	0.14764752984046936	0.1414342	Yes	
row_18	CDK18	cyclin dependent kinase 18 [Source:HGNC Symbol;Acc:HGNC:8751]	1141	0.14631985127925873	0.14870983	Yes	
row_19	QTRT1	queuine tRNA-ribosyltransferase catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:23797]	1347	0.13830070197582245	0.14481188	Yes	
row_20	VAC14	VAC14 component of PIKFYVE complex [Source:HGNC Symbol;Acc:HGNC:25507]	1425	0.1355639547109604	0.14839289	Yes	
row_21	ABCB8	ATP binding cassette subfamily B member 8 [Source:HGNC Symbol;Acc:HGNC:49]	1428	0.13529996573925018	0.15643689	Yes	
row_22	PNPLA3	patatin like phospholipase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18590]	1464	0.13401924073696136	0.16243291	Yes	
row_23	PRICKLE3	prickle planar cell polarity protein 3 [Source:HGNC Symbol;Acc:HGNC:6645]	1486	0.13322629034519196	0.16921714	Yes	
row_24	AP1G2	adaptor related protein complex 1 subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:556]	1521	0.13215503096580505	0.17516038	Yes	
row_25	AMDHD2	amidohydrolase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24262]	1542	0.1315307915210724	0.18190204	Yes	
row_26	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 [Source:HGNC Symbol;Acc:HGNC:8875]	1548	0.13125525414943695	0.18952285	Yes	
row_27	CEP131	centrosomal protein 131 [Source:HGNC Symbol;Acc:HGNC:29511]	1563	0.1306130439043045	0.19656745	Yes	
row_28	TOP3B	DNA topoisomerase III beta [Source:HGNC Symbol;Acc:HGNC:11993]	1609	0.12916012108325958	0.20167308	Yes	
row_29	MICAL1	microtubule associated monooxygenase, calponin and LIM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20619]	1744	0.12474945187568665	0.20119756	Yes	
row_30	LSS	lanosterol synthase [Source:HGNC Symbol;Acc:HGNC:6708]	1749	0.12458033859729767	0.20847537	Yes	
row_31	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	1751	0.12455885857343674	0.21593103	Yes	
row_32	FIRRM	FIGNL1 interacting regulator of recombination and mitosis [Source:HGNC Symbol;Acc:HGNC:25565]	1859	0.12128462642431259	0.2168589	Yes	
row_33	MISP	mitotic spindle positioning [Source:HGNC Symbol;Acc:HGNC:27000]	1892	0.12015628069639206	0.22219762	Yes	
row_34	BTBD2	BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:15504]	1961	0.1182217001914978	0.22526972	Yes	
row_35	ZNF446	zinc finger protein 446 [Source:HGNC Symbol;Acc:HGNC:21036]	1965	0.11806044727563858	0.23221385	Yes	
row_36	CDCA8	cell division cycle associated 8 [Source:HGNC Symbol;Acc:HGNC:14629]	2139	0.11295603960752487	0.22869773	Yes	
row_37	OSGEPL1	O-sialoglycoprotein endopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:23075]	2334	0.10779707133769989	0.22361623	Yes	
row_38	INSIG1	insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]	2378	0.10704861581325531	0.22750717	Yes	
row_39	MCM10	minichromosome maintenance 10 replication initiation factor [Source:HGNC Symbol;Acc:HGNC:18043]	2398	0.10661578178405762	0.23280527	Yes	
row_40	PHKG2	phosphorylase kinase catalytic subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:8931]	2412	0.10620742291212082	0.23843706	Yes	
row_41	RTL10	retrotransposon Gag like 10 [Source:HGNC Symbol;Acc:HGNC:26112]	2417	0.10613366216421127	0.24460185	Yes	
row_42	WIZ	WIZ zinc finger [Source:HGNC Symbol;Acc:HGNC:30917]	2432	0.10589507967233658	0.25015506	Yes	
row_43	MVD	mevalonate diphosphate decarboxylase [Source:HGNC Symbol;Acc:HGNC:7529]	2450	0.10560667514801025	0.25551173	Yes	
row_44	RDH5	retinol dehydrogenase 5 [Source:HGNC Symbol;Acc:HGNC:9940]	2582	0.10214337706565857	0.2538514	Yes	
row_45	SLC35C2	solute carrier family 35 member C2 [Source:HGNC Symbol;Acc:HGNC:17117]	2590	0.10198362916707993	0.25958666	Yes	
row_46	ABCB9	ATP binding cassette subfamily B member 9 [Source:HGNC Symbol;Acc:HGNC:50]	2636	0.10059081763029099	0.26296854	Yes	
row_47	TUBGCP2	tubulin gamma complex component 2 [Source:HGNC Symbol;Acc:HGNC:18599]	2645	0.1003623828291893	0.26854622	Yes	
row_48	TEDC2	tubulin epsilon and delta complex 2 [Source:HGNC Symbol;Acc:HGNC:25849]	2663	0.0999462753534317	0.27356136	Yes	
row_49	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	2714	0.09860046952962875	0.27652454	Yes	
row_50	ACY1	aminoacylase 1 [Source:HGNC Symbol;Acc:HGNC:177]	2813	0.09606681019067764	0.27646834	Yes	
row_51	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	2854	0.0951753705739975	0.27982208	Yes	
row_52	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	2937	0.0936683788895607	0.28057665	Yes	
row_53	STXBP2	syntaxin binding protein 2 [Source:HGNC Symbol;Acc:HGNC:11445]	3002	0.09207456558942795	0.28231004	Yes	
row_54	TRIM46	tripartite motif containing 46 [Source:HGNC Symbol;Acc:HGNC:19019]	3059	0.09094150364398956	0.2844528	Yes	
row_55	EHMT2	euchromatic histone lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14129]	3122	0.08942608535289764	0.2861458	Yes	
row_56	RECQL4	RecQ like helicase 4 [Source:HGNC Symbol;Acc:HGNC:9949]	3194	0.08809205889701843	0.28722087	Yes	
row_57	GALK1	galactokinase 1 [Source:HGNC Symbol;Acc:HGNC:4118]	3206	0.08785605430603027	0.2918648	Yes	
row_58	ALG12	ALG12 alpha-1,6-mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:19358]	3293	0.08595823496580124	0.29191533	Yes	
row_59	NHERF2	NHERF family PDZ scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:11076]	3348	0.08465103805065155	0.293798	Yes	
row_60	WFDC1	WAP four-disulfide core domain 1 [Source:HGNC Symbol;Acc:HGNC:15466]	3761	0.07560060173273087	0.27375507	No	
row_61	TACC3	transforming acidic coiled-coil containing protein 3 [Source:HGNC Symbol;Acc:HGNC:11524]	3911	0.07262174040079117	0.2692386	No	
row_62	PACSIN3	protein kinase C and casein kinase substrate in neurons 3 [Source:HGNC Symbol;Acc:HGNC:8572]	4073	0.06906605511903763	0.26379097	No	
row_63	NYNRIN	NYN domain and retroviral integrase containing [Source:HGNC Symbol;Acc:HGNC:20165]	4085	0.06890790164470673	0.26729167	No	
row_64	RASSF1	Ras association domain family member 1 [Source:HGNC Symbol;Acc:HGNC:9882]	4157	0.0675535574555397	0.2671275	No	
row_65	SURF2	surfeit 2 [Source:HGNC Symbol;Acc:HGNC:11475]	4358	0.06390738487243652	0.25903955	No	
row_66	ODF2	outer dense fiber of sperm tails 2 [Source:HGNC Symbol;Acc:HGNC:8114]	4478	0.06200350448489189	0.255674	No	
row_67	INCENP	inner centromere protein [Source:HGNC Symbol;Acc:HGNC:6058]	4485	0.06193222478032112	0.25905243	No	
row_68	CRYBG2	crystallin beta-gamma domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17295]	4508	0.06141647323966026	0.2614442	No	
row_69	PLXNB3	plexin B3 [Source:HGNC Symbol;Acc:HGNC:9105]	4519	0.06118863821029663	0.2645389	No	
row_70	ATP13A2	ATPase cation transporting 13A2 [Source:HGNC Symbol;Acc:HGNC:30213]	4627	0.059090759605169296	0.26171425	No	
row_71	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	4660	0.058547984808683395	0.26333576	No	
row_72	PCDHGA3	protocadherin gamma subfamily A, 3 [Source:HGNC Symbol;Acc:HGNC:8701]	4675	0.058348193764686584	0.2660202	No	
row_73	TRMT2A	tRNA methyltransferase 2 homolog A [Source:HGNC Symbol;Acc:HGNC:24974]	4803	0.056073736399412155	0.2618191	No	
row_74	CSPG4	chondroitin sulfate proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:2466]	4819	0.0557279959321022	0.2642857	No	
row_75	FRS2	fibroblast growth factor receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:16971]	4947	0.05362340435385704	0.25993678	No	
row_76	TNS4	tensin 4 [Source:HGNC Symbol;Acc:HGNC:24352]	5027	0.05229838192462921	0.25837442	No	
row_77	KIF4A	kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339]	5031	0.052199818193912506	0.2613448	No	
