NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRAPPC2	trafficking protein particle complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:23068]	5	0.31049996614456177	0.014072417	No	
row_1	PTK6	protein tyrosine kinase 6 [Source:HGNC Symbol;Acc:HGNC:9617]	357	0.1941445916891098	0.0019780854	No	
row_2	MEX3D	mex-3 RNA binding family member D [Source:HGNC Symbol;Acc:HGNC:16734]	514	0.1801294982433319	9.4672106E-4	No	
row_3	AP5Z1	adaptor related protein complex 5 subunit zeta 1 [Source:HGNC Symbol;Acc:HGNC:22197]	546	0.17802868783473969	0.0073256204	No	
row_4	DMTF1	cyclin D binding myb like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:14603]	599	0.17473286390304565	0.0122906985	No	
row_5	GOLGA8A	golgin A8 family member A [Source:HGNC Symbol;Acc:HGNC:31972]	960	0.15406139194965363	-0.0021995837	No	
row_6	GALNT12	polypeptide N-acetylgalactosaminyltransferase 12 [Source:HGNC Symbol;Acc:HGNC:19877]	983	0.15316201746463776	0.003568804	No	
row_7	ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:24097]	1029	0.15165188908576965	0.007885908	No	
row_8	NCK2	NCK adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:7665]	1207	0.14367161691188812	0.0039056852	No	
row_9	DNMT3B	DNA methyltransferase 3 beta [Source:HGNC Symbol;Acc:HGNC:2979]	1254	0.14208877086639404	0.0077200625	No	
row_10	MREG	melanoregulin [Source:HGNC Symbol;Acc:HGNC:25478]	1358	0.1380174458026886	0.007922559	No	
row_11	CLDN4	claudin 4 [Source:HGNC Symbol;Acc:HGNC:2046]	1463	0.13403943181037903	0.007880857	No	
row_12	TMEM41B	transmembrane protein 41B [Source:HGNC Symbol;Acc:HGNC:28948]	1714	0.12563613057136536	-0.0013185935	No	
row_13	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	1751	0.12455885857343674	0.0022849431	No	
row_14	ACYP1	acylphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:179]	1760	0.12420525401830673	0.0075537935	No	
row_15	TBPL1	TATA-box binding protein like 1 [Source:HGNC Symbol;Acc:HGNC:11589]	1804	0.12286366522312164	0.010658441	No	
row_16	GPX2	glutathione peroxidase 2 [Source:HGNC Symbol;Acc:HGNC:4554]	1874	0.12059091031551361	0.012096323	No	
row_17	PIP4K2C	phosphatidylinositol-5-phosphate 4-kinase type 2 gamma [Source:HGNC Symbol;Acc:HGNC:23786]	2071	0.11514116078615189	0.005654315	No	
row_18	OSBPL2	oxysterol binding protein like 2 [Source:HGNC Symbol;Acc:HGNC:15761]	2135	0.11303608119487762	0.0071028527	No	
row_19	RABIF	RAB interacting factor [Source:HGNC Symbol;Acc:HGNC:9797]	2150	0.1125146672129631	0.011470198	No	
row_20	RAD51AP1	RAD51 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16956]	2179	0.11179156601428986	0.01496323	No	
row_21	GPHN	gephyrin [Source:HGNC Symbol;Acc:HGNC:15465]	2310	0.10837787389755249	0.01217212	No	
row_22	NT5C2	5'-nucleotidase, cytosolic II [Source:HGNC Symbol;Acc:HGNC:8022]	2387	0.10690788179636002	0.012556209	No	
row_23	EFNA1	ephrin A1 [Source:HGNC Symbol;Acc:HGNC:3221]	2565	0.1025080606341362	0.006670569	No	
row_24	TMEM40	transmembrane protein 40 [Source:HGNC Symbol;Acc:HGNC:25620]	2585	0.10208114236593246	0.010254657	No	
row_25	FKBP1B	FKBP prolyl isomerase 1B [Source:HGNC Symbol;Acc:HGNC:3712]	2644	0.10040007531642914	0.0114185875	No	
row_26	DLG3	discs large MAGUK scaffold protein 3 [Source:HGNC Symbol;Acc:HGNC:2902]	2776	0.09716422110795975	0.008048349	No	
row_27	DCUN1D2	defective in cullin neddylation 1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20328]	2789	0.09668399393558502	0.011803029	No	
row_28	GOLPH3L	golgi phosphoprotein 3 like [Source:HGNC Symbol;Acc:HGNC:24882]	2794	0.09658604860305786	0.016033655	No	
row_29	GCA	grancalcin [Source:HGNC Symbol;Acc:HGNC:15990]	2803	0.09635607898235321	0.020013396	No	
row_30	TNFRSF10B	TNF receptor superfamily member 10b [Source:HGNC Symbol;Acc:HGNC:11905]	2892	0.09438156336545944	0.019096935	No	
row_31	ARIH2	ariadne RBR E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:690]	2943	0.09345149993896484	0.020419704	No	
row_32	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	2982	0.09261142462491989	0.022424307	No	
row_33	NME3	NME/NM23 nucleoside diphosphate kinase 3 [Source:HGNC Symbol;Acc:HGNC:7851]	3061	0.09089074283838272	0.021946859	No	
row_34	PLPP2	phospholipid phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:9230]	3295	0.08590308576822281	0.011929229	No	
row_35	C3orf52	chromosome 3 open reading frame 52 [Source:HGNC Symbol;Acc:HGNC:26255]	3414	0.08331098407506943	0.008698519	No	
row_36	AOPEP	aminopeptidase O (putative) [Source:HGNC Symbol;Acc:HGNC:1361]	3454	0.08231134712696075	0.010166283	No	
row_37	SLC37A1	solute carrier family 37 member 1 [Source:HGNC Symbol;Acc:HGNC:11024]	3532	0.08062167465686798	0.0092735505	No	
row_38	ADAM8	ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:HGNC:215]	3584	0.07939065992832184	0.009885398	No	
row_39	TNFAIP2	TNF alpha induced protein 2 [Source:HGNC Symbol;Acc:HGNC:11895]	3595	0.07921493798494339	0.012951573	No	
row_40	NFKBIE	NFKB inhibitor epsilon [Source:HGNC Symbol;Acc:HGNC:7799]	3598	0.07915910333395004	0.016495645	No	
row_41	CPTP	ceramide-1-phosphate transfer protein [Source:HGNC Symbol;Acc:HGNC:28116]	3659	0.07779516279697418	0.016493097	No	
row_42	BID	BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]	3820	0.07445191591978073	0.010329789	No	
row_43	GFOD3P	Gfo/Idh/MocA-like oxidoreductase domain containing 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:29052]	3881	0.07346097379922867	0.010126617	No	
row_44	GINS1	GINS complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28980]	3989	0.0709867998957634	0.0069860946	No	
row_45	CLCA2	chloride channel accessory 2 [Source:HGNC Symbol;Acc:HGNC:2016]	4048	0.0695820301771164	0.0067234905	No	
row_46	PHF10	PHD finger protein 10 [Source:HGNC Symbol;Acc:HGNC:18250]	4136	0.06795520335435867	0.00464384	No	
row_47	PRP4K	pre-mRNA processing factor kinase PRP4K [Source:HGNC Symbol;Acc:HGNC:17346]	4425	0.06294568628072739	-0.009739768	No	
row_48	GTF2E1	general transcription factor IIE subunit 1 [Source:HGNC Symbol;Acc:HGNC:4650]	4604	0.059527941048145294	-0.017674973	No	
row_49	SMCO4	single-pass membrane protein with coiled-coil domains 4 [Source:HGNC Symbol;Acc:HGNC:24810]	4716	0.05738518387079239	-0.02168534	No	
row_50	TP53I3	tumor protein p53 inducible protein 3 [Source:HGNC Symbol;Acc:HGNC:19373]	4752	0.05690717324614525	-0.02115327	No	
row_51	RGS20	regulator of G protein signaling 20 [Source:HGNC Symbol;Acc:HGNC:14600]	4788	0.0562472939491272	-0.020651743	No	
row_52	UBA3	ubiquitin like modifier activating enzyme 3 [Source:HGNC Symbol;Acc:HGNC:12470]	4820	0.05571651831269264	-0.019934546	No	
row_53	CAMK2G	calcium/calmodulin dependent protein kinase II gamma [Source:HGNC Symbol;Acc:HGNC:1463]	4915	0.054121531546115875	-0.023074962	No	
row_54	PELI1	pellino E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:8827]	5051	0.051907025277614594	-0.028780349	No	
row_55	TUFT1	tuftelin 1 [Source:HGNC Symbol;Acc:HGNC:12422]	5066	0.05166051909327507	-0.027229879	No	
row_56	CCNJL	cyclin J like [Source:HGNC Symbol;Acc:HGNC:25876]	5085	0.051346659660339355	-0.025934177	No	
row_57	DDAH2	DDAH family member 2, ADMA-independent [Source:HGNC Symbol;Acc:HGNC:2716]	5145	0.05027324706315994	-0.027150625	No	
row_58	PRSS3	serine protease 3 [Source:HGNC Symbol;Acc:HGNC:9486]	5213	0.04903952404856682	-0.028904662	No	
row_59	SNCA	synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]	5273	0.048064783215522766	-0.030223336	No	
row_60	ZC3H12A	zinc finger CCCH-type containing 12A [Source:HGNC Symbol;Acc:HGNC:26259]	5308	0.04727684706449509	-0.030076982	No	
row_61	KCTD14	potassium channel tetramerization domain containing 14 [Source:HGNC Symbol;Acc:HGNC:23295]	5322	0.04702496901154518	-0.028681027	No	
row_62	SLC38A6	solute carrier family 38 member 6 [Source:HGNC Symbol;Acc:HGNC:19863]	5334	0.04685773700475693	-0.027172692	No	
row_63	TEX2	testis expressed 2 [Source:HGNC Symbol;Acc:HGNC:30884]	5419	0.04558626562356949	-0.030107597	No	
row_64	RRAS	RAS related [Source:HGNC Symbol;Acc:HGNC:10447]	5485	0.04442690685391426	-0.031955026	No	
row_65	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	5510	0.043871428817510605	-0.031365704	No	
row_66	TGFA	transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]	5529	0.04349255934357643	-0.030433562	No	
row_67	ENDOG	endonuclease G [Source:HGNC Symbol;Acc:HGNC:3346]	5617	0.0422913134098053	-0.033701167	No	
